exact_card_id	surfaces	component_recipe	material_members	material_roles	third_grammar_reading_de	events	stacked_material_roles
PROC002	cthoor	CTH+O+OR	OR	CURRENT_PREPARATION	BEREITEN · VORGANG · ANSATZ	1	NO
PROC006	chair	CH+AIR	AIR	WORKING_LIQUID	ENTNEHMEN · WASSER	1	NO
PROC015	ycheor	Y+CH+E+OR	OR	CURRENT_PREPARATION	DIES · ENTNEHMEN · KURZ · ANSATZ	1	NO
PROC016	chor|or|shor|sor	OR	OR	CURRENT_PREPARATION	ANSATZ	7	NO
PROC020	otchor|qotchor	OT+CH+OR	OR	CURRENT_PREPARATION	DANACH · ENTNEHMEN · ANSATZ	2	NO
PROC022	cholor|olor	OL+OR	OR	CURRENT_PREPARATION	WEITER · ANSATZ	2	NO
PROC023	oykchor	O+Y+K+OR	OR	CURRENT_PREPARATION	VORGANG · DIES · ZUGEBEN · ANSATZ	1	NO
PROC050	orain	OR+AIN	OR	CURRENT_PREPARATION	ANSATZ · PORTION	1	NO
PROC051	chochor	HO+CH+OR	OR+HO	CURRENT_PREPARATION+INPUT_INGREDIENT	ZUTAT · ENTNEHMEN · ANSATZ	1	YES
PROC052	cho|sho	HO	HO	INPUT_INGREDIENT	ZUTAT	4	NO
PROC053	chodaly	HO+AL+Y	HO	INPUT_INGREDIENT	ZUTAT · ZIELSTELLE · DIES	1	NO
PROC056	choy	HO+Y	HO	INPUT_INGREDIENT	ZUTAT · DIES	1	NO
PROC063	kchoar	K+HO+AR	HO	INPUT_INGREDIENT	ZUGEBEN · ZUTAT · QUELLE	1	NO
PROC068	kair	K+AIR	AIR	WORKING_LIQUID	ZUGEBEN · WASSER	1	NO
PROC138	okair	OK+AIR	AIR	WORKING_LIQUID	ANSETZEN · WASSER	1	NO
PROC148	chealror	AL+R+OR	OR	CURRENT_PREPARATION	ZIELSTELLE · KUEHLEN · ANSATZ	1	NO
PROC150	schedair	CHD+AIR	AIR	WORKING_LIQUID	UMSETZEN · WASSER	1	NO
PROC162	dairydy	AIR+Y+DY	AIR	WORKING_LIQUID	WASSER · DIES · SCHLUSS	1	NO
PROC173	ldalor	L+AL+OR	OR	CURRENT_PREPARATION	LEITEN · ZIELSTELLE · ANSATZ	1	NO
