statement_id	record_unit_id	page	owner_slot	field_path	visible_event_count	read_source_token_count	surface_punctuated	fluent_imperative_de	punctuation_class
H1-S001	H1	f10r	abgebildete Pflanze auf f10r	F001	10	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd ↪	Nimm die Wurzel; dann stelle den Ansatz bereit; dann nimm davon; dann nimm den bezeichneten Teil; dann stelle das Aufnahmegefäß bereit; dann gieße das laufende Medium zu; dann nimm danach den folgenden Teil; dann setze den Posten ein; dann arbeite nach dem vorgeschriebenen Maß; dann nimm den kleinen Rest ↪	OPEN_TO_NEXT_STATEMENT
H1-S002	H1	f10r	abgebildete Pflanze auf f10r	F002	4	4	qokchy · qotchol · chol · cthy …	Setze den laufenden Posten ein und bearbeite ihn weiter; dann wechsle zum Folgegang; dann arbeite weiter; dann halte ihn bereit …	OPEN_RECORD_RELEASE
H2-S001	H2	f10r	abgebildete Pflanze auf f10r	F003	9	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy ↪	Verwende den laufenden Auszugsansatz; dann halte ihn bereit; dann verwende den Ansatz; dann stelle die vorgeschriebene Vorbereitung ein; dann arbeite danach mit diesem Posten weiter; dann halte diesen Posten aktiv; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv ↪	OPEN_TO_NEXT_STATEMENT
H2-S002	H2	f10r	abgebildete Pflanze auf f10r	F004	8	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar ↪	Wechsle zum folgenden Ansatz; dann verwende den Ansatz; dann arbeite danach im selben Gang weiter; dann arbeite weiter; dann verwende denselben Ansatz weiter; dann arbeite weiter; dann arbeite nach dem vorgeschriebenen Maß; dann nimm davon ↪	OPEN_TO_NEXT_STATEMENT
H2-S003	H2	f10r	abgebildete Pflanze auf f10r	F005	7	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin …	Stelle das Ansatzgefäß bereit; dann verwende den Ansatz; dann verwende den Ansatz; dann halte diesen Posten aktiv; dann stelle die Arbeitsstufe ein; dann halte diesen Posten aktiv; dann gib die vorgeschriebene Menge zu …	OPEN_RECORD_RELEASE
H3-S001	H3	f11r	abgebildete Pflanze auf f11r	F006	7	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody;	Setze das Kochgut an; dann bereite den Sudansatz; dann wringe den Posten aus; dann lass ihn die vorgeschriebene Zeit stehen; dann seihe ihn danach erneut; dann nimm den klaren Ablauf; dann stelle ihn kalt;	COMMIT_SEMICOLON
H3-S002	H3	f11r	abgebildete Pflanze auf f11r	F007	1	1	shoyty ↪	Nimm den Teil für die Zugabe ↪	OPEN_TO_NEXT_STATEMENT
H3-S003	H3	f11r	abgebildete Pflanze auf f11r	F008	5	5	dchol · chy · kchy · dy · daiin ↪	Nimm ihn aus dem vorigen Arbeitsgang; dann halte diesen Posten aktiv; dann bearbeite den laufenden Posten; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß ↪	OPEN_TO_NEXT_STATEMENT
H3-S004	H3	f11r	abgebildete Pflanze auf f11r	F009	4	4	qotchy · okchol · cthy · dy …	Wechsle zum nächsten Posten; dann setze die Fortsetzung ein; dann halte ihn bereit; dann halte diesen Posten aktiv …	OPEN_RECORD_RELEASE
H4-S001	H4	f55v	abgebildete Pflanze auf f55v	F010	5	5	qokaiin · chaiin · ykain · ykan · ody;	Messe den Posten ab; dann arbeite nach dem vorgeschriebenen Maß; dann nimm die erste Portion; dann nimm die zweite Portion; dann nimm ihn aus der Wärme und lass ihn abkühlen;	COMMIT_SEMICOLON
H4-S002	H4	f55v	abgebildete Pflanze auf f55v	F011	3	3	daiin · chedy · talam;	Arbeite nach dem vorgeschriebenen Maß; dann führe den Posten über; dann verwahre ihn;	COMMIT_SEMICOLON
H4-S003	H4	f55v	abgebildete Pflanze auf f55v	F012	4	4	ykaiin · cheoar · cheeky · oldy;	Nimm die vorgeschriebene Portion; dann nimm den Auszug aus der Quelle; dann bearbeite ihn länger; dann beende den Arbeitsschritt;	COMMIT_SEMICOLON
H4-S004	H4	f55v	abgebildete Pflanze auf f55v	F013	6	6	aiin · okal · oltchy · or · y · orain …	Arbeite nach dem vorgeschriebenen Maß; dann setze ihn dort ein; dann führe die laufende Bereitung fort; dann verwende den Ansatz; dann halte diesen Posten aktiv; dann nimm einen Anteil der Bereitung …	OPEN_RECORD_RELEASE
H5-S001	H5	f56r	abgebildete Pflanze auf f56r	F014|F015	9	9	chochor · cho · chodaly · daiin / sho · kchol · otchor · choky · dal ↪	Bereite den Zugabeansatz; dann nimm die nächste Zutat; dann gib ihn an der aktuellen Stelle zu; dann arbeite nach dem vorgeschriebenen Maß; dann öffne das nächste Feld; dann nimm die nächste Zutat; dann bearbeite ihn weiter; dann wechsle zum folgenden Ansatz; dann setze den Posten ein; dann führe ihn dorthin ↪	OPEN_TO_NEXT_STATEMENT
H5-S002	H5	f56r	abgebildete Pflanze auf f56r	F016	4	4	schol · choy · choky · cheeckhody;	Nimm ihn aus dem vorigen Arbeitsgang; dann nimm die aktuelle Zutat; dann setze den Posten ein; dann trage ihn auf;	COMMIT_SEMICOLON
H5-S003	H5	f56r	abgebildete Pflanze auf f56r	F017	4	4	sh · cho · kchey · qokokchy ↪	Nimm den Stängel; dann nimm die nächste Zutat; dann bearbeite den laufenden Posten kurz; dann setze denselben Posten erneut ein ↪	OPEN_TO_NEXT_STATEMENT
H5-S004	H5	f56r	abgebildete Pflanze auf f56r	F018	3	3	okchy · chokcheo · kchal ↪	Setze den laufenden Posten ein und bearbeite ihn weiter; dann setze den Auszug ein; dann bearbeite ihn an der Zielstelle ↪	OPEN_TO_NEXT_STATEMENT
H5-S005	H5	f56r	abgebildete Pflanze auf f56r	F019	4	4	sho · chokchy · kchoar · sotodan ↪	Nimm die nächste Zutat; dann setze den laufenden Posten ein und bearbeite ihn weiter; dann nimm den bearbeiteten Quellauszug; dann führe ihn zur folgenden Anwendung weiter ↪	OPEN_TO_NEXT_STATEMENT
H5-S006	H5	f56r	abgebildete Pflanze auf f56r	F020	3	3	otchey · keol · daiin …	Nimm das nächste; dann bearbeite ihn kurz weiter; dann arbeite nach dem vorgeschriebenen Maß …	OPEN_RECORD_RELEASE
B1-S001	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F021	1	1	qokedy;	Lass ihn kurz einwirken;	COMMIT_SEMICOLON
B1-S002	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F022|F023	19	19	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl / olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy;	Messe den Posten ab; dann führe durch den Beckenlauf; dann setze ihn dort ein; dann nimm davon; dann arbeite weiter; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann führe ihn dorthin; dann arbeite weiter; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann öffne das nächste Feld; dann verwende denselben Ansatz weiter; dann arbeite weiter; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über;	COMMIT_SEMICOLON
B1-S003	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F024|F025	2	2	qol / sshkchdy;	Arbeite weiter; dann öffne das nächste Feld; dann übertrage ihn;	COMMIT_SEMICOLON
B1-S004	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F026	3	3	chedy · ol · shedy;	Führe den Posten über; dann arbeite weiter; dann lass ihn kurz absetzen;	COMMIT_SEMICOLON
B1-S005	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F027	1	1	qolchedy;	Führe ihn weiter;	COMMIT_SEMICOLON
B1-S006	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F028	4	4	qokain · shckhy · dl · ral ↪	Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein ↪	OPEN_TO_NEXT_STATEMENT
B1-S007	B1	f81v	gemeinsames Becken- und Figurenfeld auf f81v	F029	1	1	qokchdy;	Setze einen neuen Posten ein;	COMMIT_SEMICOLON
