master_card_id	master_form	source_short_value_de	old_imperative_de	selected_atomic_action_de	new_imperative_de	strongest_rival_de	context_reason_de	occurrence_count	occurrence_contexts
MC024	qokol	Weiter einsetzen	Setze den Posten weiter ein	setze erneut ein	Setze den verbleibenden Posten erneut ein	nur 'weiter einsetzen'	folgt auf Weiterabzug und Abführung, vor Absetzen	1	E346:B4/B4-S013:<START>>qokol>shedy
MC063	oteey	Langfolge	Führe die lange Folge aus	führe länger weiter	Führe ihn länger im Folgegang weiter	beliebige lange Folge	beide Belege stehen zwischen Voroperation und neuer Ziel-/Zuführungsphase	2	E185:B2/B2-S006:<START>>oteey>qokal | E218:B2/B2-S016:aiin>oteey>qokaiin
MC089	skar	Quellausguss	Gieße ihn aus der Quelle zu	gieße von der Quelle zu	Gieße ihn von der Quellseite zu	Quellausguss als Nomen	steht nach Zieladresse und vor Absetzen/Nachtransfer	1	E360:B4/B4-S016:dal>skar>shedy
MC102	rsheal	Kurzhalt am Ziel	Halte ihn kurz am Ziel	halte kurz am Ziel	Halte den zugeführten Posten kurz am Ziel	beliebiger Kurzhalt	steht genau zwischen Zuführung und Zielschluss	1	E222:B2/B2-S017:<START>>rsheal>daldy
MC112	octheol	Fortsetzung vorbereiten	Bereite die Fortsetzung vor	setze nächsten Durchgang an	Setze den nächsten Durchgang an	Fortsetzung vorbereiten	folgt auf Durchleiten plus Maß und eröffnet Wärme-Abzug-Folge	1	E182:B2/B2-S005:qokaiin>octheol>chkeey
MC135	otedy	Kurzfolge	Führe die kurze Folge aus	führe kurz zum Folgeschritt	Führe ihn kurz zum Folgeschritt weiter	beliebige Kurzfolge	beide Belege verbinden eine Ziel-/Maßphase mit dem nächsten Transfer oder Abzug	2	E249:B3/B3-S010:pchedal>otedy><END> | E307:B3/B3-S032:otaiin>otedy><END>
MC138	dshedy	Frischwasser zugeben	Gib frisches Wasser zu	lass frische Spülflüssigkeit ein	Lass frische Spülflüssigkeit ein	Frischwasser zugeben	beginnt nach sichtbarem Stationswechsel eine neue Inline-Spülphase	1	E189:B2/B2-S007:<START>>dshedy><END>
MC144	chldaiin	Sollabsetzung	Lass ihn bis zum Sollzustand absetzen	lass bis Sollstand absetzen	Lass ihn bis zum Sollstand absetzen	Sollabsetzung als Nomen	steht zwischen Quelltransfer und weiterem Überführen/Zugeben/Bereit	1	E286:B3/B3-S026:cheedar>chldaiin>chedy
MC146	chealror	Zielbereitung	Bereite ihn am Ziel	stelle am Zielgefäß bereit	Stelle ihn am Zielgefäß bereit	Zielbereitung	folgt auf Bereitkarte und geht langer Sammlung voraus	1	E290:B3/B3-S026:checthy>chealror>solkeedy
MC162	qolchey	Weiterposten	Nimm den nächsten Posten zur Fortsetzung	nimm nächsten Einsatzposten	Nimm den nächsten Einsatzposten	Weiterposten	steht nach langem Einwirken und vor einer neuen langen/kurzen Einwirkungsfolge	1	E316:B4/B4-S002:<START>>qolchey>qokeey
