held_id	candidate_surface	gdt747_passage_core_axes	gdt747_passage_value_de	serial_position_evidence_units	serial_pages	serial_consensus_axes	strongest_single_evidence_axes	serial_status	serial_prior_result	serial_working_default_de	best_serial_evidence_de	literal_identity	confirmed_lexeme	component_export_credit
G748-H01	alom	MATERIAL	Stoff-/Materialform; Maßlesung offen	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H02	chckh	DRY	trocken; Mischung oder Zubereitung offen	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H03	cheeey	DRY	trockener Zustand; Endbereich wahrscheinlich	1	1	DRY	DRY	S1_SINGLE_WRITTEN_SERIAL_LEAD	GDT747_PRIOR_REINFORCED	trocken; genaue Funktion und Identität offen	f113r.49 cheeey cheo kcheey :: cheo=trocken angesetzte Zubereitung || kcheey=heiß und trocken am Ende des Grades	OPEN	0	0
G748-H04	chetar	DRY	trockene Fraktion; Mittelstufe wahrscheinlich	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H05	chtar	DRY	trockene Teil-/Fraktionsform; Temperatur und Träger offen	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H06	chtl	NONE	[trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H07	dsheedy	END_STAGE	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H08	okeeody	END_STAGE|PREPARATION	Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H09	qochey	DRY	trocken; Mittelstufe wahrscheinlich, Funktion offen	3	2	NONE	DRY|MIDDLE_STAGE	S0_MIXED_SERIAL_PREDICTIONS	GDT747_PRIOR_STRONGEST_FRAME_REINFORCED_WITH_RIVALS	Serienwert widersprüchlich; Funktion offen	f103r.29 shokeey qochey qokeey :: shokeey=heiß-feuchter Ansatz am Gradende || qokeey=heiß am Ende des Grades	OPEN	0	0
G748-H10	sheeol	END_STAGE	behandelter Stoff im Endzustand; feucht gegen trocken offen	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H11	ykeeey	END_STAGE	bis zur Endstufe führen; heiß und Abschluss wahrscheinlich	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
G748-H12	ykeeody	END_STAGE|HOT	heißer Endzustand; Abschluss gegen Ansatz offen	0	0	NONE	NONE	H0_NO_ELIGIBLE_SERIAL_FRAME	NO_SERIAL_TEST	NONE	NONE	OPEN	0	0
