calibration_id	page	locus	target_ordinal	target_surface	target_reader_exact	window_length	target_position_in_window	target_window_slot	known_surfaces	known_card_values_de	predicted_axes	actual_target_axes	known_union_axes	contrast_dimensions	all_reader_exact	frame_tier	minimum_whole_edit_distance	known_wholes_within_edit1	known_wholes_within_edit2	whole_form_bridge_tier	eva_window	overlapping_calibration_frames	any_axis_hit	full_prediction_subset_of_actual	opposition_contradiction	literal_identity_credit	component_export_credit
G748-C0001	f102r1	f102r1.13	4	qokey	1	3	1	FIRST	okshey|qokeol	okshey=heiß-feuchter Ansatz in der Mitte des Grades || qokeol=erhitze den Drogenstoff bis zur Mittelstufe	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	HOT|MOIST|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	NONE	0	F1_READER_VARIABLE_CARDS	2	0	1	B1_DIRECT_EDIT2_WHOLE_BRIDGE	qokey okshey qokeol	1	1	1	0	0	0
G748-C0002	f102r1	f102r1.13	5	okshey	1	3	2	INNER	qokeol|qokey	qokey=heiß in der Mitte des Grades || qokeol=erhitze den Drogenstoff bis zur Mittelstufe	HOT|MIDDLE_STAGE	HOT|MOIST|MIDDLE_STAGE	HOT|MATERIAL|PROCESS|MIDDLE_STAGE	NONE	0	F1_READER_VARIABLE_CARDS	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	qokey okshey qokeol	1	1	1	0	0	0
G748-C0003	f102r1	f102r1.13	6	qokeol	0	3	3	LAST	okshey|qokey	qokey=heiß in der Mitte des Grades || okshey=heiß-feuchter Ansatz in der Mitte des Grades	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	HOT|MOIST|PREPARATION|MIDDLE_STAGE	NONE	0	F1_READER_VARIABLE_CARDS	2	0	1	B1_DIRECT_EDIT2_WHOLE_BRIDGE	qokey okshey qokeol	1	1	1	0	0	0
G748-C0004	f102r1	f102r1.5	4	olaiin	1	3	3	LAST	she|sheol	sheol=feuchtes Material || she=feucht, attributiv gebunden	MOIST	NONE	MOIST|MATERIAL	NONE	1	F2_TWO_EXACT_CARDS	6	0	0	B0_NO_WHOLE_FORM_BRIDGE	sheol she olaiin	1	0	0	0	0	0
G748-C0005	f102v1	f102v1.14	2	cheor	1	3	1	FIRST	ckhey|oteol	ckhey=Arzneikompositum in der Gradmitte || oteol=Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	MIDDLE_STAGE	DRY	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	NONE	1	F2_TWO_EXACT_CARDS	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	cheor ckhey oteol	1	0	0	0	0	0
G748-C0006	f102v1	f102v1.23	2	sho	1	3	2	INNER	ksheody|qokey	ksheody=Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen || qokey=heiß in der Mitte des Grades	HOT|MIDDLE_STAGE	MOIST	HOT|MOIST|PREPARATION|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	STAGE	1	F2_TWO_EXACT_CARDS	4	0	0	B0_NO_WHOLE_FORM_BRIDGE	ksheody sho qokey	1	0	0	0	0	0
G748-C0007	f102v1	f102v1.23	3	qokey	1	3	3	LAST	ksheody|sho	ksheody=Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen || sho=feuchter Ansatz	MOIST	HOT|MIDDLE_STAGE	HOT|MOIST|PREPARATION|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	STAGE	1	F2_TWO_EXACT_CARDS	5	0	0	B0_NO_WHOLE_FORM_BRIDGE	ksheody sho qokey	1	0	0	0	0	0
G748-C0008	f102v1	f102v1.8	8	cheor	0	3	1	FIRST	choky|qokey	qokey=heiß in der Mitte des Grades || choky=heiß-trockene Zubereitung, Grundform	HOT	DRY	HOT|DRY|PREPARATION|BEGIN_STAGE|MIDDLE_STAGE	STAGE	0	F1_READER_VARIABLE_CARDS	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	cheor qokey choky	1	0	0	0	0	0
G748-C0009	f102v1	f102v1.8	9	qokey	1	3	2	INNER	cheor|choky	cheor=trockener Drogenteil || choky=heiß-trockene Zubereitung, Grundform	DRY	HOT|MIDDLE_STAGE	HOT|DRY|PART|MATERIAL|PREPARATION|BEGIN_STAGE	NONE	0	F1_READER_VARIABLE_CARDS	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	cheor qokey choky	1	0	0	0	0	0
G748-C0010	f103r	f103r.12	4	oteey	1	3	1	FIRST	keedy|qokeol	qokeol=erhitze den Drogenstoff bis zur Mittelstufe || keedy=heiß am Ende des Grades, abgeschlossen	HOT	COLD|END_STAGE	HOT|MATERIAL|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	STAGE	0	F1_READER_VARIABLE_CARDS	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	oteey qokeol keedy	1	0	0	1	0	0
