evidence_id	page	physical_folio	locus	target_ordinal	target_position_in_window	target_window_slot	target_surface	target_reader_exact	target_source_before	target_render_before_de	target_axes_before	retired_literal_withheld	overlapping_predictive_frames	frame_ids	best_frame_id	best_frame_tier	best_window_length	best_known_card_count	best_known_surfaces	best_known_signed_offsets	minimum_whole_edit_distance	known_wholes_within_edit1	known_wholes_within_edit2	whole_form_bridge_tier	whole_form_bridge_weight	best_known_card_axes	best_known_card_values_de	predicted_axes_intersection_across_frames	predicted_axes_union_across_frames	best_predicted_axes	best_contrast_dimensions	gdt747_prior_axes	gdt747_prior_value_de	gdt747_prior_comparison	eva_window	working_prediction_de	literal_identity	confirmed_lexeme	component_export_credit
G748-E0001	f100r	f100	f100r.13	2	1	FIRST	cthey	1	WITHHELD_RETIRED_LITERAL_TARGET	[cthey: zurückgehaltene Altidentität]	NONE	1	1	G748-F00001	G748-F00001	F2_TWO_EXACT_CARDS	3	2	oteey|qokeey	1|2	2	0	1	B1_DIRECT_EDIT2_WHOLE_BRIDGE	1	qokeey=HOT|END_STAGE || oteey=COLD|PREPARATION|END_STAGE	qokeey=heiß am Ende des Grades || oteey=kalter Ansatz am Ende des Grades	END_STAGE	END_STAGE	END_STAGE	THERMAL	NONE	NONE	NO_GDT747_PRIOR	cthey qokeey oteey	End-/Vollstufe; genaue Funktion und Identität offen	OPEN	0	0
G748-E0002	f100r	f100	f100r.13	5	3	LAST	ykeeodain	1	OPEN_TARGET	[ykeeodain:?]	NONE	0	1	G748-F00002	G748-F00002	F2_TWO_EXACT_CARDS	3	2	oteey|qokeey	-1|-2	7	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	qokeey=HOT|END_STAGE || oteey=COLD|PREPARATION|END_STAGE	qokeey=heiß am Ende des Grades || oteey=kalter Ansatz am Ende des Grades	END_STAGE	END_STAGE	END_STAGE	THERMAL	NONE	NONE	NO_GDT747_PRIOR	qokeey oteey ykeeodain	End-/Vollstufe; genaue Funktion und Identität offen	OPEN	0	0
G748-E0003	f100r	f100	f100r.26	6	1	FIRST	olchor	1	OPEN_TARGET	[olchor:?]	NONE	0	1	G748-F00005	G748-F00005	F1_READER_VARIABLE_CARDS	3	2	okeeol|qokeol	1|2	4	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	qokeol=HOT|MATERIAL|PROCESS|MIDDLE_STAGE || okeeol=HOT|MATERIAL|PREPARATION|END_STAGE	qokeol=erhitze den Drogenstoff bis zur Mittelstufe || okeeol=vollständig erhitzter Ansatzstoff	HOT	HOT	HOT	STAGE	NONE	NONE	NO_GDT747_PRIOR	olchor qokeol okeeol	heiß/warm; genaue Funktion und Identität offen	OPEN	0	0
G748-E0004	f100r	f100	f100r.26	9	3	LAST	cheols	1	OPEN_TARGET	[cheols:?]	NONE	0	1	G748-F00006	G748-F00006	F1_READER_VARIABLE_CARDS	3	2	okeeol|qokeol	-1|-2	4	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	qokeol=HOT|MATERIAL|PROCESS|MIDDLE_STAGE || okeeol=HOT|MATERIAL|PREPARATION|END_STAGE	qokeol=erhitze den Drogenstoff bis zur Mittelstufe || okeeol=vollständig erhitzter Ansatzstoff	HOT	HOT	HOT	STAGE	NONE	NONE	NO_GDT747_PRIOR	qokeol okeeol cheols	heiß/warm; genaue Funktion und Identität offen	OPEN	0	0
G748-E0005	f100v	f100	f100v.16	8	2	INNER	ches	1	GDT734_WEAK_AXIS_TARGET	[trockenes Drogenmaterial, Mittelstufe; schwach]	DRY|MATERIAL|MIDDLE_STAGE	0	3	G748-F00011|G748-F00012|G748-F00015	G748-F00015	F3_THREE_EXACT_CARDS	4	3	okeol|okeor	-1|1|2	4	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	okeol=HOT|PREPARATION|MIDDLE_STAGE || okeor=HOT|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE || okeol=HOT|PREPARATION|MIDDLE_STAGE	okeol=Grundansatz bis zur mittleren Heizstufe erwärmt || okeor=eine Portion Ansatz bis zur Mittelstufe erhitzen || okeol=Grundansatz bis zur mittleren Heizstufe erwärmt	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	NONE	NONE	NONE	NO_GDT747_PRIOR	okeol ches okeor okeol	heiß/warm; Mittelstufe; genaue Funktion und Identität offen	OPEN	0	0
G748-E0006	f100v	f100	f100v.16	11	3	LAST	dy	1	GDT734_WEAK_AXIS_TARGET	[Qualitäts-/Wertfeld geschlossen; schwach]	CLOSE	0	1	G748-F00013	G748-F00013	F2_TWO_EXACT_CARDS	3	2	okeol|okeor	-1|-2	5	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	okeor=HOT|AMOUNT|PREPARATION|PROCESS|MIDDLE_STAGE || okeol=HOT|PREPARATION|MIDDLE_STAGE	okeor=eine Portion Ansatz bis zur Mittelstufe erhitzen || okeol=Grundansatz bis zur mittleren Heizstufe erwärmt	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	NONE	NONE	NONE	NO_GDT747_PRIOR	okeor okeol dy	heiß/warm; Mittelstufe; genaue Funktion und Identität offen	OPEN	0	0
G748-E0007	f100v	f100	f100v.17	2	2	INNER	sholkcheol	0	OPEN_TARGET	[sholkcheol:?]	NONE	0	1	G748-F00016	G748-F00016	F1_READER_VARIABLE_CARDS	3	2	chockhey|qokeol	-1|1	5	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	chockhey=DRY|PREPARATION|MIDDLE_STAGE || qokeol=HOT|MATERIAL|PROCESS|MIDDLE_STAGE	chockhey=Arzneikompositum im Trockenansatz in der Gradmitte || qokeol=erhitze den Drogenstoff bis zur Mittelstufe	MIDDLE_STAGE	MIDDLE_STAGE	MIDDLE_STAGE	NONE	NONE	NONE	NO_GDT747_PRIOR	chockhey sholkcheol qokeol	Mittelstufe; genaue Funktion und Identität offen	OPEN	0	0
G748-E0008	f100v	f100	f100v.18	3	1	FIRST	ol	0	GDT734_WEAK_AXIS_TARGET	[Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]	MATERIAL|PREPARATION	0	1	G748-F00017	G748-F00017	F1_READER_VARIABLE_CARDS	3	2	cheeor|cheo	1|2	4	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	cheo=DRY|PREPARATION || cheeor=DRY|AMOUNT|MATERIAL|END_STAGE	cheo=trocken angesetzte Zubereitung || cheeor=eine Portion vollständig getrocknete Droge	DRY	DRY	DRY	NONE	NONE	NONE	NO_GDT747_PRIOR	ol cheo cheeor	trocken; genaue Funktion und Identität offen	OPEN	0	0
G748-E0009	f100v	f100	f100v.18	6	3	LAST	odaidy	1	OPEN_TARGET	[odaidy:?]	NONE	0	1	G748-F00018	G748-F00018	F2_TWO_EXACT_CARDS	3	2	cheeor|cheo	-1|-2	6	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	cheo=DRY|PREPARATION || cheeor=DRY|AMOUNT|MATERIAL|END_STAGE	cheo=trocken angesetzte Zubereitung || cheeor=eine Portion vollständig getrocknete Droge	DRY	DRY	DRY	NONE	NONE	NONE	NO_GDT747_PRIOR	cheo cheeor odaidy	trocken; genaue Funktion und Identität offen	OPEN	0	0
G748-E0010	f100v	f100	f100v.20	2	2	INNER	shokeesy	1	OPEN_TARGET	[shokeesy:?]	NONE	0	1	G748-F00021	G748-F00021	F2_TWO_EXACT_CARDS	3	2	qokeey|ycheoky	-1|1	3	0	0	B0_NO_WHOLE_FORM_BRIDGE	0	ycheoky=HOT|DRY|PREPARATION|MIDDLE_STAGE || qokeey=HOT|END_STAGE	ycheoky=trockne hiervon den Ansatz bis zur Mittelstufe und erwärme ihn leicht || qokeey=heiß am Ende des Grades	HOT	HOT	HOT	STAGE	NONE	NONE	NO_GDT747_PRIOR	ycheoky shokeesy qokeey	heiß/warm; genaue Funktion und Identität offen	OPEN	0	0
