backprojection_id	source_event_id	record_id	record_event_ordinal	bundle_id	physical_page	register	locus	surface	working_recipe	active_model	literal_working_reading_de	normalized_literal_de	semantic_tokens	semantic_separators	source_event_reading_de	current_event_reading_de	order_occurrence_count	order_root_sequence	state_operation_sequence	scope_orientation_sequence	order_scope_trace_de	literal_name_slots	event_support_tier	event_support_detail	exact_source_event_preserved	exact_component_sequence_preserved	exact_order_trace_preserved
G485-E001	P1003-E0079	G475-R001	1	G474-B001	f17r	HERBAL	f17r.13	oteeeon	OT	CATALOGUE	DANACH · [PFLANZENNAME:eeeon]	DANACH · {N1}	DANACH|{N1}	DOT	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	1	OT	START_FRESH_SIBLING	FORWARD_OPEN	OT:danach Pflanze »eeeon«	PFLANZENNAME:eeeon	RECURRENT_STRICT_EVENT	G481-ET001 ×5	YES	YES	YES
G485-E002	P1003-E0080	G475-R001	2	G474-B001	f17r	HERBAL	f17r.13	oiil	NONE	CATALOGUE	[PFLANZENNAME:oiil]	{N1}	{N1}	NONE	Pflanzenname »oiil«.	Pflanzenname »oiil«.	0	NONE	NONE	NONE	NONE	PFLANZENNAME:oiil	LOCAL_EVENT_CARRIED_BY_STRONGER_RECORD_SUPPORT	Record-level template or mixed fragment support	YES	YES	YES
G485-E003	P1003-E0595	G475-R002	1	G474-B002	f71v	CELESTIAL	f71v.2	char	AR	CATALOGUE	AUSGANG	AUSGANG	AUSGANG	NONE	Eintrag »char« — Ausgangszuordnung.	Eintrag »char« — Ausgangszuordnung.	0	NONE	NONE	NONE	NONE	NONE	RECURRENT_STRICT_EVENT	G481-ET003 ×3	YES	YES	YES
G485-E004	P1003-E0596	G475-R002	2	G474-B002	f71v	CELESTIAL	f71v.2	arom	AR	CATALOGUE	AUSGANG · [STERNSTELLENNAME:om]	AUSGANG · {N1}	AUSGANG|{N1}	DOT	Sternstelle »om« — Ausgangszuordnung.	Sternstelle »om« — Ausgangszuordnung.	0	NONE	NONE	NONE	NONE	STERNSTELLENNAME:om	RECURRENT_STRICT_EVENT	G481-ET004 ×2	YES	YES	YES
G485-E005	P1003-E0597	G475-R003	1	G474-B003	f71v	CELESTIAL	f71v.3	chfaly	AL+Y	CATALOGUE	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	{N1} · ZIELORT · POSTEN	{N1}|ZIELORT|POSTEN	DOT|DOT	Sternstelle »chf« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	0	NONE	NONE	NONE	NONE	STERNSTELLENNAME:chf	RECURRENT_STRICT_EVENT	G481-ET005 ×3	YES	YES	YES
G485-E006	P1003-E0598	G475-R004	1	G474-B004	f71v	CELESTIAL	f71v.4	okolar	OK+OL+AR	INSTRUCTION	SETZEN · FORTSETZEN · AUSGANG	SETZEN · FORTSETZEN · AUSGANG	SETZEN|FORTSETZEN|AUSGANG	DOT|DOT	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	1	OL	KEEP_ACTIVE_UNIT	BRIDGE_LEFT_TO_RIGHT	OL:Setzen in Ausgang weiterführen	NONE	LOCAL_COMPONENT_RECURRENT	[SETZEN · FORTSETZEN ×2] + [AUSGANG ×44]	YES	YES	YES
G485-E007	P1003-E0599	G475-R005	1	G474-B005	f71v	CELESTIAL	f71v.5	otchody	OT	CATALOGUE	DANACH · [STERNSTELLENNAME:chody]	DANACH · {N1}	DANACH|{N1}	DOT	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	1	OT	START_FRESH_SIBLING	FORWARD_OPEN	OT:danach Sternstelle »chody«	STERNSTELLENNAME:chody	RECURRENT_STRICT_EVENT	G481-ET001 ×5	YES	YES	YES
G485-E008	P1003-E0600	G475-R006	1	G474-B006	f71v	CELESTIAL	f71v.6	alcphy	AL+CH+P+Y	INSTRUCTION	ZIELORT · NEHMEN · EINSETZEN · POSTEN	ZIELORT · NEHMEN · EINSETZEN · POSTEN	ZIELORT|NEHMEN|EINSETZEN|POSTEN	DOT|DOT|DOT	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	0	NONE	NONE	NONE	NONE	NONE	LOCAL_COMPONENT_RECURRENT	[ZIELORT ×47] + [NEHMEN ×9] + [EINSETZEN ×1] + [POSTEN ×39]	YES	YES	YES
G485-E009	P1003-E0601	G475-R007	1	G474-B007	f71v	CELESTIAL	f71v.7	otaiin	OT+AIIN	COORDINATE	DANACH · WERT	DANACH · WERT	DANACH|WERT	DOT	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	1	OT	START_FRESH_SIBLING	FORWARD_OPEN	OT:danach Wert	NONE	RECURRENT_STRICT_EVENT	G481-ET008 ×2	YES	YES	YES
G485-E010	P1003-E0602	G475-R008	1	G474-B008	f71v	CELESTIAL	f71v.8	okaraiin	OK+AR+AIIN	INSTRUCTION	SETZEN · AUSGANG · WERT	SETZEN · AUSGANG · WERT	SETZEN|AUSGANG|WERT	DOT|DOT	Setze den Positionswert von der Ausgangsposition.	Setze den Positionswert von der Ausgangsposition.	0	NONE	NONE	NONE	NONE	NONE	RECURRENT_ROLE_EVENT	G481-ES009 ×3	YES	YES	YES
