master_card_id	master_head_form	registered_surface_family	composition_layer	atom_sequence	portable_nucleus_de	concrete_default_de	prose_event_count	teaching_mode_de	imperative_phrase_de	apprentice_reading_rule_de
MC001	chdal	chdal	FIRST_RING_PREDICTED	CHD+AL	ZUM ZIEL ÜBERTRAGEN	dort umsetzen	1	zusammensetzen	Übertrage zum Ziel	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC002	okeey	okeey|qokeey	FIRST_RING_SHARED_SEED	OK+EE+Y	LANGE STUFE SETZEN	länger ansetzen	7	zusammensetzen	Setze die lange Stufe	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC003	sheedy	sheedy	SECOND_RING_COMPOSED	SHED+EE+CLOSE	LÄNGER ABSETZEN; SCHLUSS	länger absetzen; Schluss	1	zusammensetzen	Lass länger absetzen und schließe	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC004	ldy	ldy	SECOND_RING_COMPOSED	L+CLOSE	ABFÜHREN; SCHLUSS	abziehen; Ende	2	zusammensetzen	Führe ab und schließe	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC005	okchedy	okchedy|qokchedy	FIRST_RING_PREDICTED	OK+CHD+CLOSE	SETZEN UND ÜBERTRAGEN; SCHLUSS	angesetzten Inhalt überführen; Schluss	2	zusammensetzen	Setze an, übertrage und schließe	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC006	chokcheo	chokcheo	SECOND_RING_COMPOSED	OK+CHEO	AUSZUG SETZEN	Auszug zugeben	1	zusammensetzen	Setze den Auszug	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC007	okey	okey|qokey	FIRST_RING_SHARED_SEED	OK+E+Y	KURZE STUFE SETZEN	kurz ansetzen	2	zusammensetzen	Setze die kurze Stufe	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC008	lchy	lchy	SECOND_RING_COMPOSED	L+Y	AKTUELLEN POSTEN ABZIEHEN	abziehen	1	zusammensetzen	Ziehe den aktuellen Posten ab	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC009	chary	chary	FIRST_RING_PREDICTED	AR+Y	POSTEN VOM AUSGANG	aus diesem Posten	1	zusammensetzen	Nimm den Posten vom Ausgang	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC010	chodaly	chodaly	FIRST_RING_PREDICTED	HO+AL+Y	EINGANGSPOSTEN ZUM ZIEL	diese Zutat zur Stelle bringen	1	zusammensetzen	Führe den Eingangsposten zum Ziel	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC011	lchedar	lchedar	SECOND_RING_COMPOSED	L+CHD+AR	VOM AUSGANG ABFÜHREN	von dort abführen	1	zusammensetzen	Führe vom Ausgang ab	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC012	dl	dl	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	ZUSATZ	Zusatz	2	exakte Ganzkarte lernen	Gib den Zusatz zu	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC013	otchor	otchor|qotchor	FIRST_RING_PREDICTED	OT+OR	FOLGEANSATZ	Folgeansatz	2	zusammensetzen	Bereite den Folgeansatz	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC014	chair	chair	SECOND_RING_COMPOSED	AIR	WASSERLAUF	Wasserzulauf	1	zusammensetzen	Nutze den Wasserlauf	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC015	qokokchy	qokokchy	SECOND_RING_COMPOSED	OK+OK+Y	AKTUELLEN POSTEN ERNEUT SETZEN	erneut ansetzen	1	zusammensetzen	Setze den aktuellen Posten erneut	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC016	rol	rol	FIRST_RING_PREDICTED	OL	FORTSETZEN	vom vorigen Gang weiterführen	1	zusammensetzen	Führe fort	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
MC017	okain	okain|qokain	FIRST_RING_SHARED_SEED	OK+AIN	GEZÄHLTEN TEIL ZUGEBEN	eine Portion zugeben	7	zusammensetzen	Gib einen gezählten Anteil zu	Atomfolge lesen, Lehrimperativ bilden, danach konkreten Besitzerwert einsetzen
