linkage_candidate_id	source_gdt510_rectangle_id	source_gdt510_card_id	target_matrix_cell_id	target_register	target_action_recipe	s_event_id	chd_event_id	s_component_recipe	chd_component_recipe	s_y_mode	chd_y_mode	s_frame_atoms	chd_frame_atoms	s_before_chd	intervening_event_count	same_page	same_owner	same_statement	corridor_event_count	corridor_page_count	corridor_owner_count	corridor_statement_count	corridor_argument_after_roots	corridor_argument_run_trace	corridor_argument_state_change_count	corridor_active_y_event_count	corridor_non_y_event_count	active_y_uninterrupted	immediate_same_statement_same_y	gdt507_grade_immediate_shared_inherited_argument	locality_tier	guard
G511-L001	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0906	G407-E1144	S+O+EE+Y	CHD+AL	EXPLICIT_Y	INHERITED_Y	O+EE	AL	YES	237	NO	NO	NO	239	4	6	21	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIIN>Y>AIIN>Y>AIN>Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y	73	138	101	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L002	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0906	G407-E1276	S+O+EE+Y	AL+CHD+DY	EXPLICIT_Y	INHERITED_Y	O+EE	AL+DY	YES	369	NO	NO	NO	371	4	10	28	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIIN>Y>AIIN>Y>AIN>Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y	112	203	168	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L003	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0906	G407-E1408	S+O+EE+Y	CHD+Y	EXPLICIT_Y	EXPLICIT_Y	O+EE	NONE	YES	501	NO	NO	NO	503	4	14	39	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIIN>Y>AIIN>Y>AIN>Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>AIIN>Y>AIIN>Y>AIIN>OR>Y>AIIN>Y>AIIN>OR>AIIN>Y>AIN>NONE>Y>AIIN>Y>AIIN>OR>Y>OR>Y>OR>Y>AIIN>OR>Y>AIIN>Y	145	289	214	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L004	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0906	G407-E1409	S+O+EE+Y	CHD+Y	EXPLICIT_Y	EXPLICIT_Y	O+EE	NONE	YES	502	NO	NO	NO	504	4	14	39	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIIN>Y>AIIN>Y>AIN>Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>AIIN>Y>AIIN>Y>AIIN>OR>Y>AIIN>Y>AIIN>OR>AIIN>Y>AIN>NONE>Y>AIIN>Y>AIIN>OR>Y>OR>Y>OR>Y>AIIN>OR>Y>AIIN>Y	145	290	214	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L005	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0924	G407-E1144	S+AR+AL	CHD+AL	INHERITED_Y	INHERITED_Y	AR+AL	AL	YES	219	NO	NO	NO	221	4	6	20	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y	65	126	95	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L006	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0924	G407-E1276	S+AR+AL	AL+CHD+DY	INHERITED_Y	INHERITED_Y	AR+AL	AL+DY	YES	351	NO	NO	NO	353	4	10	27	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y	104	191	162	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L007	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0924	G407-E1408	S+AR+AL	CHD+Y	INHERITED_Y	EXPLICIT_Y	AR+AL	NONE	YES	483	NO	NO	NO	485	4	14	38	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>AIIN>Y>AIIN>Y>AIIN>OR>Y>AIIN>Y>AIIN>OR>AIIN>Y>AIN>NONE>Y>AIIN>Y>AIIN>OR>Y>OR>Y>OR>Y>AIIN>OR>Y>AIIN>Y	137	277	208	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L008	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0924	G407-E1409	S+AR+AL	CHD+Y	INHERITED_Y	EXPLICIT_Y	AR+AL	NONE	YES	484	NO	NO	NO	486	4	14	38	AIIN|AIN|NONE|OR|Y	Y>AIN>Y>AIN>Y>OR>Y>OR>AIIN>Y>AIIN>OR>AIIN>OR>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>AIIN>Y>AIIN>Y>AIIN>OR>Y>AIIN>Y>AIIN>OR>AIIN>Y>AIN>NONE>Y>AIIN>Y>AIIN>OR>Y>OR>Y>OR>Y>AIIN>OR>Y>AIIN>Y	137	278	208	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L009	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0979	G407-E1144	E+S	CHD+AL	INHERITED_Y	INHERITED_Y	E	AL	YES	164	NO	NO	NO	166	4	6	13	AIIN|AIN|NONE|OR|Y	Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y	46	109	57	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-L010	G510-R01	G509-C04	G498-M294	CELESTIAL	S+CHD+Y	G407-E0979	G407-E1276	E+S	AL+CHD+DY	INHERITED_Y	INHERITED_Y	E	AL+DY	YES	296	NO	NO	NO	298	4	10	20	AIIN|AIN|NONE|OR|Y	Y>AIIN>AIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>AIN>Y>OR>Y>OR>Y>OR>Y>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>OR>Y>NONE>Y>AIIN>Y>OR>Y>OR>Y>AIIN>OR>Y>NONE>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>NONE>Y>OR>AIIN>Y>OR>AIIN>Y>NONE>Y>AIIN>OR>AIIN>OR>Y>NONE>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y>AIIN>Y	85	174	124	NO	NO	NO	D_REGISTER_ONLY_CROSS_PAGE	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
