selected_corridor_event_id	register_linkage_strength_card_id	target_register	selected_linkage_candidate_id	corridor_offset	corridor_endpoint_role	event_id	statement_id	physical_page	owner_de	surface	component_recipe	explicit_action_roots	explicit_argument_roots	inherited_argument_root	active_argument_before	active_argument_after	active_argument_after_is_y	state_matches_reference	guard
G511-E001	G511-C01	CELESTIAL	G511-L018	0	S_ENDPOINT	G407-E1243	P1009-S057	f72r	Tierkreis-Ringgruppe D	s	S	S	NONE	Y	Y	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E002	G511-C01	CELESTIAL	G511-L018	1	INTERVENING	G407-E1244	P1009-S057	f72r	Tierkreis-Ringgruppe D	ckhal	CH+K+AL	CH|K	NONE	Y	Y	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E003	G511-C01	CELESTIAL	G511-L018	2	INTERVENING	G407-E1245	P1009-S057	f72r	Tierkreis-Ringgruppe D	chekaiin	CH+K+AIIN	CH|K	AIIN	NONE	Y	AIIN	NO	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E004	G511-C01	CELESTIAL	G511-L018	3	INTERVENING	G407-E1246	P1009-S057	f72r	Tierkreis-Ringgruppe D	otaiin	OT+AIIN	NONE	AIIN	NONE	AIIN	AIIN	NO	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E005	G511-C01	CELESTIAL	G511-L018	4	INTERVENING	G407-E1247	P1009-S057	f72r	Tierkreis-Ringgruppe D	chy	Y	NONE	Y	NONE	AIIN	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E006	G511-C01	CELESTIAL	G511-L018	5	INTERVENING	G407-E1248	P1009-S057	f72r	Tierkreis-Ringgruppe D	d	D_ADDR	NONE	NONE	Y	Y	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E007	G511-C01	CELESTIAL	G511-L018	6	INTERVENING	G407-E1249	P1009-S057	f72r	Tierkreis-Ringgruppe D	r	R	R	NONE	Y	Y	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E008	G511-C01	CELESTIAL	G511-L018	7	INTERVENING	G407-E1250	P1009-S057	f72r	Tierkreis-Ringgruppe D	aiin	AIIN	NONE	AIIN	NONE	Y	AIIN	NO	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E009	G511-C01	CELESTIAL	G511-L018	8	INTERVENING	G407-E1251	P1009-S057	f72r	Tierkreis-Ringgruppe D	al	AL	NONE	NONE	AIIN	AIIN	AIIN	NO	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
G511-E010	G511-C01	CELESTIAL	G511-L018	9	INTERVENING	G407-E1252	P1009-S057	f72r	Tierkreis-Ringgruppe D	y	Y	NONE	Y	NONE	AIIN	Y	YES	YES	LINKAGE_STRENGTH_ONLY__LOCAL_HEAD_RECTANGLES_NOT_PROMOTED_TO_LOCAL_PAIR
