global_token_order	exercise	exercise_token_order	field	master_card_id	surface	source_step	dictionary_value_de	grammar_slot	slot_reading_de	embedded_close
1	A_CLEAR_EXTRACT_DOUBLE_PASS	1	1	MC142	dchol	RESUME_PREVIOUS	vom vorigen	G1	QUELLE_UND_KONTEXT	NO
2	A_CLEAR_EXTRACT_DOUBLE_PASS	2	1	MC119	shey	SELECT_CLEAR_EXTRACT	Klarauszug	G2	AUSWAHL_MASS_UND_TEILUNG	NO
3	A_CLEAR_EXTRACT_DOUBLE_PASS	3	1	MC039	aiin	SET_MEASURE	Sollmaß	G2	AUSWAHL_MASS_UND_TEILUNG	NO
4	A_CLEAR_EXTRACT_DOUBLE_PASS	4	2	MC147	cheky	WARM_BRIEFLY	kurz wärmen	G3	ZUSTAND_WERKZEUG_UND_STATION	NO
5	A_CLEAR_EXTRACT_DOUBLE_PASS	5	2	MC059	dain	PLACE_INSERT	Einlage	G3	ZUSTAND_WERKZEUG_UND_STATION	NO
6	A_CLEAR_EXTRACT_DOUBLE_PASS	6	2	MC074	chedy	TRANSFER_CHARGE	überführen	G4	VORGANG_UND_KONTAKT	NO
7	A_CLEAR_EXTRACT_DOUBLE_PASS	7	2	MC082	qokeedy	HOLD_LONG_CLOSE	lange einwirken; Schluss	G4	VORGANG_UND_KONTAKT	YES
8	A_CLEAR_EXTRACT_DOUBLE_PASS	8	3	MC143	shckhedy	FIRST_PASS_CLOSE	durchlassen; Schluss	G4	VORGANG_UND_KONTAKT	YES
9	A_CLEAR_EXTRACT_DOUBLE_PASS	9	4	MC143	shckhedy	SECOND_PASS_CLOSE	durchlassen; Schluss	G4	VORGANG_UND_KONTAKT	YES
10	A_CLEAR_EXTRACT_DOUBLE_PASS	10	5	MC105	kain	SELECT_PORTION	Anteil	G2	AUSWAHL_MASS_UND_TEILUNG	NO
11	A_CLEAR_EXTRACT_DOUBLE_PASS	11	5	MC154	dal	MOVE_TO_TARGET	dorthin	G5	ZIEL_UND_REIHENFOLGE	NO
12	A_CLEAR_EXTRACT_DOUBLE_PASS	12	5	MC026	qoky	SET_AT_TARGET	einsetzen	G5	ZIEL_UND_REIHENFOLGE	NO
13	A_CLEAR_EXTRACT_DOUBLE_PASS	13	5	MC038	lshedy	WASH_CLOSE	Waschgang; Schluss	G6	FREIGABE_WASCHUNG_UND_ABSCHLUSS	YES
14	B_STOCK_TWO_TARGET	1	1	MC160	talam	LOCATE_STOCK	Verwahrort	G1	QUELLE_UND_KONTEXT	NO
15	B_STOCK_TWO_TARGET	2	1	MC142	dchol	RESUME_STOCK	vom vorigen	G1	QUELLE_UND_KONTEXT	NO
16	B_STOCK_TWO_TARGET	3	1	MC170	ykaiin	SELECT_MEASURED_PORTION	Sollportion	G2	AUSWAHL_MASS_UND_TEILUNG	NO
17	B_STOCK_TWO_TARGET	4	1	MC152	ches	DIVIDE	Teilen	G2	AUSWAHL_MASS_UND_TEILUNG	NO
18	B_STOCK_TWO_TARGET	5	2	MC047	ykain	FIRST_PORTION	erste Portion	G2	AUSWAHL_MASS_UND_TEILUNG	NO
19	B_STOCK_TWO_TARGET	6	2	MC100	ody	COOL	Abkühlen	G3	ZUSTAND_WERKZEUG_UND_STATION	NO
20	B_STOCK_TWO_TARGET	7	2	MC160	talam	STORE	Verwahrort	G3	ZUSTAND_WERKZEUG_UND_STATION	NO
21	B_STOCK_TWO_TARGET	8	2	MC019	oldy	MARK_READY	fertig	G6	FREIGABE_WASCHUNG_UND_ABSCHLUSS	NO
22	B_STOCK_TWO_TARGET	9	3	MC148	ykan	SECOND_PORTION	zweite Portion	G2	AUSWAHL_MASS_UND_TEILUNG	NO
23	B_STOCK_TWO_TARGET	10	3	MC147	cheky	WARM_BRIEFLY	kurz wärmen	G3	ZUSTAND_WERKZEUG_UND_STATION	NO
24	B_STOCK_TWO_TARGET	11	3	MC040	okal	SET_FIRST_TARGET	dorthin einsetzen	G5	ZIEL_UND_REIHENFOLGE	NO
25	B_STOCK_TWO_TARGET	12	3	MC083	qokedy	SHORT_CONTACT_CLOSE	kurz einwirken; Schluss	G4	VORGANG_UND_KONTAKT	YES
26	B_STOCK_TWO_TARGET	13	4	MC107	qotchy	NEXT_ITEM	Folgeposten	G5	ZIEL_UND_REIHENFOLGE	NO
27	B_STOCK_TWO_TARGET	14	4	MC093	otal	NEXT_TARGET	danach dorthin	G5	ZIEL_UND_REIHENFOLGE	NO
28	B_STOCK_TWO_TARGET	15	4	MC026	qoky	SET_THERE	einsetzen	G5	ZIEL_UND_REIHENFOLGE	NO
29	B_STOCK_TWO_TARGET	16	4	MC084	rshedy	WASH_CLOSE	Waschschluss	G6	FREIGABE_WASCHUNG_UND_ABSCHLUSS	YES
