rule_id	family	left_surface	right_surface	primary_render_de	alternate_1_de	alternate_2_de	working_confidence	when_observed	rationale	claim_scope
Q01	QUANTITY_VALUE	s	an	eine Drachme	ein gleicher Teil	eine Unze	C0_UNOBSERVED_PAIR	LICENSE_EXACT_PAIR_ONLY	Der s-Wert-Rahmen konkurriert zwischen Gewichtszeichen und ana-artiger Gleichmengenformel; Drachme ist der konkrete historische Leitkandidat.	EXACT_OBSERVED_SPAN_ONLY
Q02	QUANTITY_VALUE	s	ain	zwei Drachmen	zwei gleiche Teile	zwei Unzen	C0_SINGLETON_PAIR	LICENSE_EXACT_PAIR_ONLY	Ein getrenntes Paar und die produktive fusionierte s-Wert-Familie tragen eine Einheit-plus-Wert-Lesung; die konkrete Einheit bleibt austauschbar.	EXACT_OBSERVED_SPAN_ONLY
Q03	QUANTITY_VALUE	s	aiin	drei Drachmen	drei gleiche Teile	drei Unzen	C1_BOUNDARY_REPLICATED	LICENSE_EXACT_PAIR_ONLY	23 exakte getrennte Paare und mehrfach gleiche fusionierte/getrennte Leserzeilen machen dies zur stärksten s-Wert-Konstruktion.	EXACT_OBSERVED_SPAN_ONLY
Q04	QUANTITY_VALUE	s	aiiin	vier Drachmen	vier gleiche Teile	vier Unzen	C0_SINGLETON_PAIR	LICENSE_EXACT_PAIR_ONLY	Ein getrenntes Paar hält die Wert-IV-Erweiterung offen; die konkrete Einheit ist nicht identifiziert.	EXACT_OBSERVED_SPAN_ONLY
Q05	QUANTITY_VALUE	or	an	eine Portion	ein Anteil	Wertstufe I	C0_UNOBSERVED_PAIR	LICENSE_EXACT_PAIR_ONLY	Die OR-Familie trägt den Portionsleitkandidaten, aber dieses getrennte Paar ist unbelegt.	EXACT_OBSERVED_SPAN_ONLY
Q06	QUANTITY_VALUE	or	ain	zwei Portionen	zwei Anteile	Wertstufe II	C1_BOUNDARY_SUPPORTED	LICENSE_EXACT_PAIR_ONLY	Das getrennte Paar hat eine vollständig normalisierte orain-Grenzbrücke; die fusionierte Form ist wiederholt.	EXACT_OBSERVED_SPAN_ONLY
Q07	QUANTITY_VALUE	or	aiin	drei Portionen	drei Anteile	Wertstufe III	C2_RECURRENT_BOUNDARY_SUPPORTED	LICENSE_EXACT_PAIR_ONLY	36 getrennte Paare, eine vollständig normalisierte oraiin-Grenzbrücke und der vorhandene fusionierte Ganzwortdefault konvergieren.	EXACT_OBSERVED_SPAN_ONLY
Q08	QUANTITY_VALUE	or	aiiin	vier Portionen	vier Anteile	Wertstufe IV	C1_RECURRENT_PAIR	LICENSE_EXACT_PAIR_ONLY	Sieben getrennte Vorkommen erweitern die Portionsreihe auf Wert IV.	EXACT_OBSERVED_SPAN_ONLY
Q09	QUANTITY_VALUE	ar	an	ein Anteil	eine Portion	Wertstufe I	C0_UNOBSERVED_PAIR	LICENSE_EXACT_PAIR_ONLY	Der Anteilkopf ist wiederholt, aber dieses getrennte Paar ist unbelegt.	EXACT_OBSERVED_SPAN_ONLY
Q10	QUANTITY_VALUE	ar	ain	zwei Anteile	zwei Portionen	Wertstufe II	C1_RECURRENT_PAIR	LICENSE_EXACT_PAIR_ONLY	Fünf getrennte Vorkommen tragen die Anteil-plus-Wert-Lesung.	EXACT_OBSERVED_SPAN_ONLY
