master_card_id	master_form	registered_surfaces	event_count	old_default_de	period_sized_default_de	decision	reason
MC002	okeey	okeey|qokeey	7	länger einwirken	länger einwirken	KEEP	Retain pending a stronger multi-context phrase match
MC004	ldy	ldy	2	abziehen; schließen	abziehen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC005	okchedy	okchedy|qokchedy	2	einsetzen, übertragen; schließen	einsetzen, übertragen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC007	okey	okey|qokey	2	kurz einwirken	kurz einwirken	KEEP	Retain pending a stronger multi-context phrase match
MC012	dl	dl	2	Zusatz	Zusatz	KEEP	Retain pending a stronger multi-context phrase match
MC013	otchor	otchor|qotchor	2	nächster Arbeitsansatz	nächster Arbeitsansatz	KEEP	Retain pending a stronger multi-context phrase match
MC017	okain	okain|qokain	7	einen Anteil zugeben	einen Anteil zugeben	KEEP	Retain pending a stronger multi-context phrase match
MC019	oldy	oldy	2	fortsetzen; abschließen	fertig	REVISE	A standalone or final card is better read as DONE than as two verbs
MC025	dchedy	dchedy|schedy|tchedy	4	übertragen; schließen	übertragen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC026	choky	choky|oky|qoky	10	diesen Posten einsetzen	einsetzen	REVISE	The inherited work item need not be repeated inside the verb
MC028	olchedy	olchedy|qolchedy	3	weiter übertragen; schließen	weiter übertragen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC032	cheeky	cheeky	2	länger bearbeiten	länger bearbeiten	KEEP	No specific heat or contact sense is forced
MC034	cho	cho|sho	4	weitere Zutat	weitere Zutat	KEEP	Retain pending a stronger multi-context phrase match
MC035	chckhy	chckhy|shckhy	4	durchführen	durchführen	KEEP	Retain pending a stronger multi-context phrase match
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	20	Sollmaß	Sollmaß	KEEP	Already period-sized and stable
MC040	okal	okal|qokal	6	dorthin einsetzen	dorthin einsetzen	KEEP	Action plus late target matches recipe order
MC045	olkeedy	olkeedy|solkeedy	3	länger auffangen; schließen	länger auffangen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC055	char	char|dar|sar	5	davon	davon	KEEP	Period recipes repeatedly resume a prepared batch with thereof/from it
MC060	otaiin	otaiin|sotaiin	3	nächstes Sollmaß	nächstes Sollmaß	KEEP	Retain pending a stronger multi-context phrase match
MC074	chdy	chdy|chedy	11	diesen Posten übertragen	überführen	REVISE	Current-item reference is supplied by the running register
MC080	chor	chor|or|shor|sor	7	Arbeitsansatz	Ansatz	REVISE	Short preparation noun is enough
MC082	qokeedy	qokeedy	10	länger einwirken; schließen	länger einwirken; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC083	qokedy	qokedy	8	kurz einwirken; schließen	kurz einwirken; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC086	chety	chety|chty	2	einen Teil abtrennen	Anteil	REVISE	After DAVON and before measure/target it behaves better as a part noun
MC088	qokchdy	qokchdy	3	einsetzen, übertragen; schließen	einsetzen, übertragen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC093	otal	otal|qotal	3	danach dorthin	danach dorthin	KEEP	Retain pending a stronger multi-context phrase match
MC103	chokchy	chokchy|okchy|qokchy	3	diesen Posten weiterbearbeiten	diesen Posten weiterbearbeiten	KEEP	Retain pending a stronger multi-context phrase match
MC105	chkain	chkain|kain	3	einen Anteil	einen Anteil	KEEP	Retain pending a stronger multi-context phrase match
MC119	cheey	cheey|shey	4	Klarlauf	Klarauszug	REVISE	A compact recovered product is better than a whole until-clear clause
MC120	okaiin	okaiin|qokaiin	9	auf Sollmaß stellen	bemessen	REVISE	Imperative measure action fits early and medial recipe slots
MC123	chey	chey|chy|dy|shy|sy|y	18	dieser Posten	dies	REVISE	The active-item register supplies the noun
MC128	cheedy	cheedy|shedy|tedy	12	kurz absetzen; schließen	kurz absetzen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC142	dchol	dchol|schol	2	vom vorigen Posten	vom vorigen Posten	KEEP	Retain pending a stronger multi-context phrase match
MC143	shckhedy	shckhedy	3	seihen; schließen	seihen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC147	cheky	cheky	3	kurz wärmen	kurz wärmen	KEEP	Retain pending a stronger multi-context phrase match
MC153	cheol	cheol|chol|ol|qol|sol|tol	19	weiter	weiter	KEEP	Already atomic
MC154	al	al|chal|cheal|dal|sal|tal	10	dorthin	dorthin	KEEP	Already atomic target anaphor
MC155	lchedy	lchedy	8	abführen; schließen	abführen; schließen	KEEP	Retain pending a stronger multi-context phrase match
MC157	cholor	cholor|olor	2	damit weiter	damit weiter	KEEP	Compact carried-preparation construction
MC161	checthy	checthy|cthy|shcthy	7	diesen Posten bereitstellen	bereit	REVISE	State/result is shorter and works before a share or target
MC171	otchey	otchey	2	der nächste Posten	das nächste	REVISE	Item class is inherited from the active register
