reading_unit_id	reading_unit_type	register	page	local_record_or_namespace	visible_owner_or_role	visible_group_count	visible_sequence	grammar_or_template	status_or_address_mode	complete_reading_de	section_purpose	source_pass
H1-S001	PROSE_STATEMENT	HERBAL	f10r	H1	WURZEL_WASSER_AUSZUG	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	FLOW_TRANSFER_PROCESS	OPEN	Nimm von der Wurzel einen Teil, richte den Ansatz her und gib ihn in das Aufnahmegefäß. Gieße Arbeitsflüssigkeit – hier am ehesten Wasser – zu, setze den Folgeposten ein, miss die Sollmenge ab und behalte einen kleinen Rest zurück.	pictured plant material and its preparation	R282
H1-S002	PROSE_STATEMENT	HERBAL	f10r	H1	WURZEL_WASSER_AUSZUG	4	qokchy · qotchol · chol · cthy	GRADED_PROCESS	OPEN	Setze diesen Posten erneut ein, arbeite im folgenden Gang mit demselben Ansatz weiter und halte ihn bereit.	pictured plant material and its preparation	R282
H2-S001	PROSE_STATEMENT	HERBAL	f10r	H2	FORTGESETZTER_AUSZUG	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	GRADED_PROCESS	OPEN	Nimm den laufenden Auszugsansatz, bringe ihn in Bereitschaft und stelle ihn auf die vorgeschriebene Stufe. Führe denselben Posten weiter und verwende davon das Sollmaß.	pictured plant material and its preparation	R282
H2-S002	PROSE_STATEMENT	HERBAL	f10r	H2	FORTGESETZTER_AUSZUG	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	QUANTIFIED_PROCESS	OPEN	Für den Folgeansatz arbeite mit derselben Zubereitung weiter; nimm vom laufenden Ansatz aus derselben Quelle die vorgeschriebene Menge.	pictured plant material and its preparation	R282
H2-S003	PROSE_STATEMENT	HERBAL	f10r	H2	FORTGESETZTER_AUSZUG	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	GRADED_PROCESS	OPEN	Gib den Ansatz in sein Gefäß, halte denselben Posten aktiv, stelle die Arbeitsstufe ein und füge die vorgeschriebene Eingabemenge hinzu.	pictured plant material and its preparation	R282
H3-S001	PROSE_STATEMENT	HERBAL	f11r	H3	GEKLAERTER_SUD	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	FLOW_TRANSFER_PROCESS	CLOSED	Koche das Pflanzenmaterial als Sud, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Bewahre nur den klaren Lauf, stelle ihn kalt und schließe die Zubereitung ab.	pictured plant material and its preparation	R282
H3-S002	PROSE_STATEMENT	HERBAL	f11r	H3	GEKLAERTER_SUD	1	shoyty	SIMPLE_OR_ELLIPTIC_PROCESS	OPEN	Halte einen weiteren Teil des Pflanzenmaterials für die folgende Zubereitung bereit.	pictured plant material and its preparation	R282
H3-S003	PROSE_STATEMENT	HERBAL	f11r	H3	GEKLAERTER_SUD	5	dchol · chy · kchy · dy · daiin	QUANTIFIED_PROCESS	OPEN	Nimm vom vorigen Arbeitsgang, bearbeite denselben Posten weiter und miss die vorgeschriebene Menge ab.	pictured plant material and its preparation	R282
H3-S004	PROSE_STATEMENT	HERBAL	f11r	H3	GEKLAERTER_SUD	4	qotchy · okchol · cthy · dy	GRADED_PROCESS	OPEN	Wechsle zum nächsten Posten, setze die Fortsetzung ein und halte diesen Teil bereit.	pictured plant material and its preparation	R282
H4-S001	PROSE_STATEMENT	HERBAL	f55v	H4	GEKUEHLTER_BLATTAUSZUG	5	qokaiin · chaiin · ykain · ykan · ody	GRADED_PROCESS	CLOSED	Miss die Sollmenge ab, teile sie in eine erste und eine zweite Portion, nimm sie danach aus der Wärme und lasse sie abkühlen; damit ist dieser Schritt festgesetzt.	pictured plant material and its preparation	R282
