page_order	page	register	page_title_de	reading_unit_count	visible_group_count	page_role	continuous_page_reading_de	cross_page_rule
1	f10r	HERBAL	Wurzel-Auszug und fortgesetzter Ansatz	5	38	MATERIAL_AND_EXTRACTION	Wurzel-Auszug mit Wasser: Nimm einen Teil der abgebildeten Wurzel, bereite ihn im Aufnahmegefäß und gieße Wasser oder die örtliche Arbeitsflüssigkeit zu. Fange den folgenden Posten auf, miss die vorgeschriebene Menge ab und bewahre einen kleinen Rest. Setze denselben Ansatz im nächsten Gang wieder ein und halte ihn gebrauchsfertig. Fortgesetzter Auszugsansatz: Bereite den laufenden Auszug bis zur vorgeschriebenen Stufe. Arbeite für den Folgeansatz mit derselben Zubereitung und derselben Quelle weiter, miss die Sollmenge ab, gib sie in das Gefäß und ergänze die vorgeschriebene Eingabemenge.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
2	f11r	HERBAL	Klären eines Pflanzensuds	4	17	CLARIFICATION_AND_STORAGE	Geklärter Sud: Koche das Pflanzenmaterial zu einem Sud, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es erneut. Bewahre den klaren Lauf und stelle ihn kalt. Halte einen weiteren Pflanzenteil bereit; nimm später vom vorigen Arbeitsgang die Sollmenge und führe sie als nächsten gebrauchsfertigen Posten weiter.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
3	f55v	HERBAL	Bemessener, gekühlter Blatt-Auszug	4	18	MEASURED_PREPARATION_AND_APPLICATION	Bemessener, gekühlter Blatt-Auszug: Teile die Sollmenge in zwei Portionen, nimm sie aus der Wärme und lasse sie abkühlen. Überführe und verwahre die vorgeschriebene Menge. Nimm später eine Portion des Auszugs, halte oder temperiere sie länger und verwende sie an der bezeichneten Stelle.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
4	f56r	HERBAL	Stängel- und Zusatz-Auszug für mehrere Anwendungen	6	27	MULTISTEP_INGREDIENT_AND_APPLICATION	Stängel- und Zusatz-Auszug in mehreren Anwendungen: Bereite aus dem abgebildeten Stängel und weiteren Pflanzenteilen einen Ansatz in der vorgeschriebenen Menge. Trage einen Teil auf, bearbeite einen weiteren kurz und wiederhole den Einsatz. Gib Auszug hinzu, arbeite an der Zielstelle weiter und reiche den fertigen Posten zur nächsten Anwendung weiter.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
5	f81v	BIO	Gemeinsames Doppelbecken	21	66	SHARED_BATH_OR_WASH_STATION	Gemeinsames Doppelbecken: ansetzen, bemessen, halten und abführen: Die beiden Figurenreihen gehören zu einem gemeinsamen Bade- oder Waschplatz. Der Text setzt örtliche Portionen ein, bemisst sie, führt sie an Teilstellen, lässt sie stehen, temperiert und spült sie und führt verbrauchten Lauf wieder ab. Die vielen kurzen Zellen lesen sich wie Varianten desselben Stationsbetriebs, nicht wie ein einziger langer Satz.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
6	f82r	BIO	Vier lokale Bade-, Wasch- und Übergabestationen	22	62	MULTI_STATION_BATH_WASH_TRANSFER	Vier getrennte Arbeitsplätze auf f82r: Oben werden zwei Becken mit einem Anschluss bedient; links in der Mitte folgt ein eigenes Gerät, rechts ein einzelner Übergabeplatz und unten ein Mehrpersonenbecken mit Randposten. Der Text beschreibt Füllen, Umsetzen, Bemessen, Halten, Spülen und Ablassen innerhalb dieser Plätze. Beim Wechsel vom rechten Mittelplatz zum unteren Becken läuft eine Aussage über die Bildgrenze weiter: Das ist eine ausgelassene Werkstattverknüpfung, keine gezeichnete Rohrleitung.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
7	f83r	BIO	Randgefäße, Hauptbogen und technische Nachträge	54	153	LOCAL_VESSEL_APPLICATION_AND_HANDOFF	Randgefäße, Zwischenzone und verbundenes Hauptpaar: Drei Randgefäße tragen getrennte Vorbereitungs- und Absetzfolgen. Danach führt der Text durch einen nicht gezeichnet verbundenen Zwischenraum zum Hauptfeld; erst dort ist ein Gefäßpaar wirklich sichtbar verbunden. Die plausible Werkstattlesung ist portionsweises Bereiten, Ruhen, Durchlassen, Auffangen und erneutes Einsetzen. Zwei textliche Besitzerwechsel über Bildlücken bleiben ausdrücklich Ellipsen und werden nicht zu einem Kreislauf ergänzt. Geschlossene Anwendungen am Hauptbogen und am S-Lauf: Die ersten zehn Zellen arbeiten am sichtbar verbundenen Paar, dann folgen ein linker offener Randplatz und ein rechter S-förmiger Mehranschlusslauf. Alle sechzehn Aussagen schließen ihren Arbeitsschritt. Das passt zu einer Reihe festgesetzter Anwendungen, Spülungen oder Einsätze; der Wechsel vom linken zum rechten Lauf ist textlich, aber nicht als durchgehende Bildkante gezeichnet. Linker technischer Übergabenachtrag: Drei kurze Aussagen nehmen eine Quelle auf, verbinden den nächsten Posten und führen ihn an einen lokalen Arbeitsplatz. Zwei Schritte werden festgesetzt, der letzte bleibt für eine Fortsetzung offen. Das ist eher eine Bedien- oder Übergabenotiz als eine neue Therapiebeschreibung. Offener Mehranschluss-Nachtrag: Die einzige lange Aussage adressiert Quelle, Maß, Ziel und Fortsetzung am rechten S-förmigen Lauf, bleibt aber offen. Am besten liest sie sich als vorbereitende Einstellung oder Zuweisung für den nächsten Arbeitsschritt, nicht als abgeschlossene Anwendung.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
8	f67r2	ASTRO	Doppelrad für Sektor- und Phasenwerte	74	190	CELESTIAL_SECTOR_AND_PHASE_LOOKUP	Doppelrad für Sektor- und Phasenwerte: Benutze die beiden Räder getrennt. Am rechten Rad wählst du einen der zwölf Sektorplätze, liest zwei Ringwerte und bei Bedarf einen der acht Phasenposten. Das linke Rad trägt ein dichteres Feldregister und zwölf äußere Sternstationen. Ein Eintrag kann einen örtlichen Namen, eine Adresse, einen Grad, eine Bedingung oder eine Quelle-Ziel-Zuweisung enthalten. Die beiden Außenlegenden benennen ihre Räder; die gemeinsame Legende erklärt nur die Paarung. Beginne dort, wo Bild oder Auftrag hinweist, nicht an einer angenommenen Zwölf-Uhr-Stelle.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
9	f68r1	ASTRO	Mehrpaneel-Sternstationsregister	37	65	SPATIAL_STAR_STATION_LOOKUP	Mehrpaneel-Sternstationsregister: Lies zuerst nur den Kopf des tatsächlich benutzten Paneels. Der Mittelbereich besitzt einen eigenen Schlüssel, aber kein sicher einziges Zentrum. Danach wählst du eine der achtundzwanzig räumlichen Sternstellen und liest deren gelernten Namen zusammen mit Adresse, Bedingung, Grad oder Bahn. Die Sternplätze sind ein räumliches Register, keine zwingend umlaufende Liste. Diese Tafel identifiziert eine Himmelsstelle und ihren Arbeitswert; sie liefert keinen Schlüssel für f69v.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
10	f69v	ASTRO	Drei Wahlräder mit 28er-Register links	31	140	CELESTIAL_WORK_CONDITION_CHOICE	Drei getrennte Wahlräder mit 28er-Register links: Behandle linkes, mittleres und rechtes Rad als drei selbständige Nachschlagetafeln. Die Ringtexte der drei Räder geben je eine eigene Adresse oder Quelle-Ziel-Regel. Nur das linke Rad besitzt achtundzwanzig lokale Plätze: dort liest du Namen, Grad, Bedingung, Bahn oder Zuweisung des ausgewählten Postens. Die mittlere und rechte Rosette sind Vergleichs- oder Nebenräder, nicht Fortsetzungen der 28er-Liste. Der wahrscheinlichste Zweck ist eine Wahl günstiger Arbeitsbedingungen; die Plätze werden aber nicht automatisch als Tage durchnummeriert.	same learned stem deck; page-local pictured or diagram owner; no automatic pointer to another page
