surface	occurrence_count	physical_pages	truth_recipe	revised_working_recipe	working_revision_class	candidate_count_capped	old_base_surface_count	gdt524_rank	gdt524_top1	gdt525_rank	gdt524_revised_rank	gdt525_revised_rank	gdt525_top1	gdt525_top5	truth_gdt524_score	truth_chain_feature	truth_gdt525_score	truth_chain_trace	top1_gdt524_score	top1_chain_feature	top1_gdt525_score	top1_chain_trace	top1_alignment_trace	decision_change_class	working_policy
aiicthy	1	f31r	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	INHERITED_RECIPE_RETAINED	48	5	9	AIIN+CH+T+Y	9	9	9	AIIN+CH+T+Y	AIIN+CH+T+Y | IIN+CH+T+Y | AIIN+LOCAL_C+T+Y | A_ADDR+LOCAL_CHAR_I+CH+T+Y | A_ADDR+IIN+CH+T+Y	10.745123160	0.000000000	10.745123160	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	5.733798402	0.000000000	5.733798402	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501	GDT524_ERROR_UNCHANGED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
akar	1	f66r	A_ADDR+K+AR	A_ADDR+K+AR	INHERITED_RECIPE_RETAINED	11	3	1	A_ADDR+K+AR	1	1	1	A_ADDR+K+AR	A_ADDR+K+AR | K+A_ADDR+AR | A_ADDR+K+R | A_ADDR+A_ADDR+K+AR | A_ADDR+K+A_ADDR+R	3.830351983	0.000000000	3.830351983	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.830351983	0.000000000	3.830351983	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	a=>a~A_ADDR@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | ar=>ar~AR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
alkey	1	f66r	AL+K+E+Y	AL+K+E+Y	INHERITED_RECIPE_RETAINED	6	11	1	AL+K+E+Y	1	1	1	AL+K+E+Y	AL+K+E+Y | A_ADDR+L+K+E+Y | A_ADDR+AL+K+E+Y | AL+CH+Y+K+E | A_ADDR+L+CH+Y+K+E	3.942539772	0.000000000	3.942539772	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.942539772	0.000000000	3.942539772	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	al=>al~AL@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
axor	1	f66r	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR	INHERITED_RECIPE_RETAINED	3	4	1	A_ADDR+LOCAL_X+OR	1	1	1	A_ADDR+LOCAL_X+OR	A_ADDR+LOCAL_X+OR | A_ADDR+LOCAL_X+O+R | A_ADDR+LOCAL_X+O+AR	3.377113959	0.000000000	3.377113959	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	3.377113959	0.000000000	3.377113959	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	a=>a~A_ADDR@edit0+alias0.000 | x=>x~LOCAL_X@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
c	1	f66r	LOCAL_C	LOCAL_C	INHERITED_RECIPE_RETAINED	2	0	1	LOCAL_C	1	1	1	LOCAL_C	LOCAL_C | CH	3.334871375	0.000000000	3.334871375	NO_TWO_HOP_OLD_BASE	3.334871375	0.000000000	3.334871375	NO_TWO_HOP_OLD_BASE	c=>c~LOCAL_C@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chady	1	f66r	CH+A_ADDR+DY	CH+A_ADDR+DY	INHERITED_RECIPE_RETAINED	23	7	3	CH+DY	3	3	3	CH+DY	CH+DY | CH+A_ADDR+Y | CH+A_ADDR+DY | CH+D_ADDR+Y | CH+Y	6.072581093	0.000000000	6.072581093	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	4.887151731	0.000000000	4.887151731	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	cha=>cha~CH@edit0+alias0.268 | dy=>dy~DY@edit0+alias0.000	GDT524_ERROR_UNCHANGED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chap	1	f66r	CH+A_ADDR+P	CH+A_ADDR+P	INHERITED_RECIPE_RETAINED	5	1	2	CH+P	2	2	2	CH+P	CH+P | CH+A_ADDR+P | LOCAL_C+A_ADDR+P | LOCAL_C+SH+A_ADDR+P | CH+SH+A_ADDR+P	4.394574143	0.000000000	4.394574143	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.642233122	0.000000000	3.642233122	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	cha=>cha~CH@edit0+alias0.268 | p=>p~P@edit0+alias0.000	GDT524_ERROR_UNCHANGED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chckhedy	1	f66r	CH+CH+K+E+DY	CH+CH+K+E+DY	INHERITED_RECIPE_RETAINED	100	17	1	CH+CH+K+E+DY	1	1	1	CH+CH+K+E+DY	CH+CH+K+E+DY | CH+K+E+DY | CH+CH+K+E+Y | CH+CH+K+E+D_ADDR+Y | CH+LOCAL_C+K+E+DY	4.042052192	0.000000000	4.042052192	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	4.042052192	0.000000000	4.042052192	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | ckhe=>ckhe~CH+K+E@edit0+alias0.514 | dy=>dy~DY@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chcpheor	1	f66r	CH+CH+P+E+OR	CH+CH+P+E+OR	INHERITED_RECIPE_RETAINED	90	9	1	CH+CH+P+E+OR	1	1	1	CH+CH+P+E+OR	CH+CH+P+E+OR | CH+CH+P+E+O+R | CH+P+E+OR | LOCAL_C+CH+CH+P+E+OR | LOCAL_C+CH+P+E+OR	4.197994858	0.000000000	4.197994858	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	4.197994858	0.000000000	4.197994858	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	chcph=>chcph~CH+CH+P@edit0+alias0.500 | e=>e~E@edit0+alias0.000 | or=>or~OR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chctho	1	f66r	CH+CH+T+O	CH+CH+T+O	INHERITED_RECIPE_RETAINED	31	6	1	CH+CH+T+O	1	1	1	CH+CH+T+O	CH+CH+T+O | CH+T+O | CH+CH+T+SH+O | CH+LOCAL_C+T+O | CH+CH+T+O+D_ADDR	3.070681291	0.000000000	3.070681291	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.070681291	0.000000000	3.070681291	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	chcth=>chcth~CH+CH+T@edit0+alias0.507 | o=>o~O@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
