event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note	selected_previous_segmentation	selected_previous_nucleus_de	selected_previous_gloss_de	selected_previous_context_de	selected_medium_family	selected_medium_rationale	r3_thermal_previous_segmentation	r3_thermal_previous_nucleus_de	r3_thermal_previous_gloss_de	r3_thermal_previous_context_de	r3_thermal_family	r3_thermal_status	r3_thermal_note	selected_thermal_previous_segmentation	selected_thermal_previous_nucleus_de	selected_thermal_previous_gloss_de	selected_thermal_previous_context_de	selected_thermal_source	selected_thermal_family	selected_thermal_reason
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	UNCHANGED	UNCHANGED	NOT_APPLICABLE	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	UNCHANGED	UNCHANGED	NOT_APPLICABLE	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	cthoor=säubern	säubern	säubern	Säubere ihn	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	cthoor=säubern	säubern	säubern	Säubere ihn	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cthoor=säubern	säubern	säubern	Säubere ihn	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	cthoor=säubern	säubern	säubern	Säubere ihn	UNCHANGED	UNCHANGED	NOT_APPLICABLE	cthoor=säubern	säubern	säubern	Säubere ihn	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ar=aus	aus	aus demselben Ansatz	Führe ihn als denselben Arbeitsansatz weiter	DIRECTION_WORKSHOP	SELECTED_RECURRENT					UNCHANGED	UNCHANGED	SOURCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	CH_INLET+AIR_WATER	AIR=Wasser	Wasserzulauf	Wasser zulaufen lassen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	air=fließende Flüssigkeit	fließende Flüssigkeit	Quellwasser	Gieße Quellwasser darüber	DIRECTION_WORKSHOP	SELECTED_THIN					UNCHANGED	UNCHANGED	MEDIUM+FLOW_TRANSFER					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CH_LEARNED+AIR_FLOW	AIR=fließende Flüssigkeit im Lauf	Flüssigkeitszulauf	Flüssigkeitszulauf	AIR_WATER	SELECTED_SINGLETON_COMPOSITION	Vessel then CHAIR then collection supports water entering the Herbal preparation.	CH_LEARNED_INLET+AIR_WATER	AIR=Wasser; CH=gelernte Zulaufhülle	Wasserzulauf	Lass Wasser zulaufen	AIR_WATER	Plant preparation, vessel and collection make an aqueous inlet coherent.	CH_INLET+AIR_WATER	AIR=Wasser	Wasserzulauf	Wasser zulaufen lassen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	CH_INLET+AIR_WATER	AIR=Wasser	Wasserzulauf	Wasser zulaufen lassen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	Auffangen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	FLOW_TRANSFER					UNCHANGED	UNCHANGED	otytchol=ersten Auszug auffangen	ersten Auszug auffangen	ersten Auszug auffangen	Fange den ersten Auszug in einem Glas auf	COLLECT_STORE_NOMENCLATOR	SELECTED_SINGLETON_WHOLE_CARD					UNCHANGED	UNCHANGED	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	Auffangen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	Auffangen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	Auffangen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	Auffangen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	OK_SET+Y_OPEN	OK=ansetzen; Y=offener Posten	Posten ansetzen	Posten ansetzen	LOCAL_SEQUENCE	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Gebrauche diesen Auszug innerlich	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE	OK+Y	E-Grad=UNMARKED; Zustand=OPEN_ACTIVE	aktiven Ansatz einsetzen oder anwenden	Aktiven Ansatz einsetzen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION	OK+Y_REFERENT	OK=in Arbeit setzen; Y=laufender Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	OK_STATE_GRID	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+Y_CURRENT_ITEM	OK=in Arbeit setzen; Y=aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	OK_GRID	REVISED_R3	Ungraded open base of the OK grid.	OK_SET+Y_OPEN	OK=ansetzen; Y=offener Posten	Posten ansetzen	Posten ansetzen	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Nimm davon das örtlich vorgeschriebene kleine Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
