category	joint_tuple_id	surface_family	atomic_role	selected_segmentation	selected_nucleus_de	selected_default_de	previous_default_de	occurrences	events	statements	pages	records	open_close_behavior	composition_status	technical_note
01_MEASURE_TIME	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	AIIN_MEASURE	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	vorgeschriebenes Maß	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	H1-S001|H2-S001|H2-S002|H3-S003|H4-S001|H4-S002|H4-S004|H5-S001|H5-S006|B1-S002|B2-S012|B2-S016|B3-S003|B3-S021|B3-S030|B4-S008|B4-S011|B5-S003|B6-S001	f10r|f11r|f55v|f56r|f81v|f82r|f83r	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	OPEN_OR_NONTERMINAL	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.
01_MEASURE_TIME	21ed2873b71e57269c08	chckhal	DURATION	chckhal=Dauer	Dauer	Dauer	Dauer	1	E355	B4-S015	f83r	B4	OPEN_OR_NONTERMINAL	RETAINED_AUDIT	CHCKHAL is the learned duration card.
01_MEASURE_TIME	d72f71baff01cd0a0406	chldaiin	AIIN_STATE_EXTENSION	CHLD_SETTLE+AIIN_TARGET_MEASURE	CHLD=absetzen; AIIN=Sollmaß	Absetzstand	bis zum vorgeschriebenen Stand absetzen lassen	1	E286	B3-S026	f83r	B3	OPEN_OR_NONTERMINAL	REVISED_R3	CHLD converts the generic measure into the prescribed settling level.
01_MEASURE_TIME	b5fcea1eaed06b2f2291	okaiin|qokaiin	AIIN_MEASURE	OK_SET+AIIN_TARGET_MEASURE	OK=einstellen; AIIN=Sollmaß	auf Sollmaß einstellen	auf das vorgeschriebene Maß einstellen	9	E056|E102|E180|E181|E219|E236|E243|E256|E270	H4-S001|B1-S002|B2-S005|B2-S016|B3-S004|B3-S007|B3-S013|B3-S021	f55v|f81v|f82r|f83r	H4|B1|B2|B3	OPEN_OR_NONTERMINAL	REVISED_R3	OK turns the stored measure into an instruction to set it.
01_MEASURE_TIME	54d0e228ca346110af05	otaiin|sotaiin	AIIN_MEASURE	OT_FOLLOW+AIIN_TARGET_MEASURE	OT=Folge; AIIN=Sollmaß	nächstes Sollmaß	das nächste Maß	3	E190|E306|E312	B2-S008|B3-S032|B3-S034	f82r|f83r	B2|B3	OPEN_OR_NONTERMINAL	REVISED_R3	OT selects the following measure without changing AIIN.
01_MEASURE_TIME	a8af08e69edab8e54f15	shfydaiin	AIIN_TIME_EXTENSION	SHFY_STAND+AIIN_TARGET_MEASURE	SHFY=stehen; AIIN=Sollmaß	Standzeit	für die vorgeschriebene Zeit stehen lassen	1	E042	H3-S001	f11r	H3	OPEN_OR_NONTERMINAL	REVISED_R3	SHFY converts the generic prescribed measure into standing time.
01_MEASURE_TIME	f7dc90b2c31fd341f0a4	ykaiin	AIIN_MEASURE	Y_CURRENT_ITEM+AIIN_TARGET_MEASURE	Y=Posten; AIIN=Sollmaß	Sollmaß des Postens	Maß des laufenden Postens	1	E064	H4-S003	f55v	H4	OPEN_OR_NONTERMINAL	REVISED_R3	The current-item carrier owns the measure.
02_TARGET_GRADE	fcc1deda9e24ec268eb0	daiiin	IIN_GRADE	DA_SECOND_OPENING+IIN_TARGET_GRADE	DA=zweite Öffnung; IIN=Zielstufe	zweite Öffnungsstufe	zweite Öffnungsstufe	1	E371	B5-S003	f83r	B5	OPEN_OR_NONTERMINAL	REVISED_R3	The local DA hull supplies the second opening; IIN supplies its grade.
02_TARGET_GRADE	409de02322e7b2ca0c62	kaiiin	IIN_GRADE	K_SOFT_HULL+IIN_TARGET_GRADE	K=weich; IIN=Zielstufe	weiche Zielstufe	weiche Sollstufe	1	E036	H2-S003	f10r	H2	OPEN_OR_NONTERMINAL	REVISED_R3	The K hull specializes the target grade as soft.
02_TARGET_GRADE	2c82523794dcb7d2b343	oiiin|soiiin	IIN_GRADE	IIN_TARGET_GRADE	IIN=Zielstufe	Zielstufe	Sollstufe	2	E161|E309	B1-S018|B3-S034	f81v|f83r	B1|B3	OPEN_OR_NONTERMINAL	REVISED_R3	IIN is the target grade and remains distinct from AIIN measure.
