family	inventory_kind	event_id	statement_id	record	page	locus	joint_tuple_id	surface	selected_segmentation	short_default_de	contextual_readback_de	complete_statement_de	apprentice_copy_rule	likely_apprentice_error	strongest_rival_or_limit
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E007	H1-S001	H1	f10r	f10r.2	62ff059766b21c7de083	otytchol	OTYTCHOL_COLLECT_WHOLE_CARD	auffangen	Auffangen	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Wasser zulaufen lassen; Auffangen; Den laufenden Posten einsetzen; Vorgeschriebenes Maß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	OTYTCHOL=auffangen, not OT+OL	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
THERMAL_WHOLE_CARD	REVISED_SELECTED_CARD	E012	H1-S002	H1	f10r	f10r.5	e8a6105b5c3a6220b440	qotchol	QOTCHOL_WARM_WHOLE_CARD	anwärmen	Anwärmen	Den laufenden Posten einsetzen; Wärme ihn an; mit dem vorigen Ansatz fortsetzen; Bereit	QOTCHOL ist die zweite gelernte ANWÄRMEN-Karte.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	A memorized operation whose temperature is supplied by the exemplar.
OL_CONTINUATION	REVISED_SELECTED_CARD	E013	H1-S002	H1	f10r	f10r.5	dcda95c81a5460feb191	chol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Den laufenden Posten einsetzen; Wärme ihn an; mit dem vorigen Ansatz fortsetzen; Bereit	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
CTH_READINESS	REVISED_SELECTED_CARD	E014	H1-S002	H1	f10r	f10r.5	e0b630cb1b5df5e7105b	cthy	CTHY_READY_CARD	bereit	Bereit	Den laufenden Posten einsetzen; Wärme ihn an; mit dem vorigen Ansatz fortsetzen; Bereit	CTHY heißt BEREIT.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	CTH may mark release/availability rather than semantic readiness.
CTH_READINESS	REVISED_SELECTED_CARD	E016	H2-S001	H2	f10r	f10r.6	e0b630cb1b5df5e7105b	cthy	CTHY_READY_CARD	bereit	Bereit	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Bereit; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten	CTHY heißt BEREIT.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	CTH may mark release/availability rather than semantic readiness.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E018	H2-S001	H2	f10r	f10r.6	f3c23f42baf625639e1e	cthaiin	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Bereit; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten	CTHAIIN=Kraut zerstoßen, not CTH+AIIN	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
OT_OL_ORDER	REVISED_SELECTED_CARD	E024	H2-S002	H2	f10r	f10r.8	10488b911aae52b3b334	qotchor	OT_FOLLOW+OR_BATCH	Folgeansatz	Folgeansatz	Folgeansatz; Ansatz; Danach fortsetzen; mit dem vorigen Ansatz fortsetzen; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Vorgeschriebenes Maß; Aus demselben Vorrat	OT vor einem Gegenstand heißt FOLGE-.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Record-order selector rather than chronological succession.
OT_OL_ORDER	REVISED_SELECTED_CARD	E026	H2-S002	H2	f10r	f10r.8	497cbd9c7401810ff56b	otol	OT_FOLLOW+OL_CONTINUE	danach fortsetzen	Danach fortsetzen	Folgeansatz; Ansatz; Danach fortsetzen; mit dem vorigen Ansatz fortsetzen; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Vorgeschriebenes Maß; Aus demselben Vorrat	OT springt vor, OL setzt fort.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Record-order selector rather than chronological succession.
OL_CONTINUATION	REVISED_SELECTED_CARD	E027	H2-S002	H2	f10r	f10r.8	dcda95c81a5460feb191	chol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Folgeansatz; Ansatz; Danach fortsetzen; mit dem vorigen Ansatz fortsetzen; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Vorgeschriebenes Maß; Aus demselben Vorrat	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
OL_CONTINUATION	PRODUCTIVE_ORDER	E028	H2-S002	H2	f10r	f10r.8	dec401773c1f0347793d	cholor	OL_PREVIOUS+OR_BATCH	voriger Ansatz	Voriger Ansatz	Folgeansatz; Ansatz; Danach fortsetzen; mit dem vorigen Ansatz fortsetzen; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Vorgeschriebenes Maß; Aus demselben Vorrat	OL=previous; OR=batch	OL und OT vertauschen: fortsetzen versus vorrücken	Formal recurrence link rather than temporal continuation.
