inventory_group	joint_tuple_id	surface_family	active_before_de	r2_default_de	r2_nucleus_de	occurrences	event_ids	statement_ids	pages	status	important_limit
01_CONTACT_GRADE	08bd5ca0c2ad137a056d	okey|qokey	kurz anlegen	kurz anlegen	OK=ansetzen; E=Kurzgrad; Y=Posten	2	E142|E220	B1-S012|B2-S016	f81v|f82r	E_GRADE	Contact host supplies laying-on; E supplies only the short/mild grade.
01_CONTACT_GRADE	0275fbf14e07935b0a45	okeey|qokeey	länger halten	länger halten	OK=ansetzen; EE=Haltegrad; Y=Posten	7	E153|E175|E194|E205|E293|E317|E322	B1-S016|B2-S004|B2-S010|B2-S012|B3-S028|B4-S002|B4-S003	f81v|f82r|f83r	E_GRADE	EE supplies sustained grade, not a universal number of hours.
01_CONTACT_GRADE	7db18b2f0fb7ed0fcfd3	qokedy	kurz benetzen; Schluss	kurz benetzen; Schluss	OK=einsetzen; E=Kurzgrad; DY=Schluss	8	E101|E137|E138|E259|E294|E297|E318|E335	B1-S001|B1-S009|B1-S010|B3-S013|B3-S028|B3-S029|B4-S002|B4-S008	f81v|f83r	E_GRADE	Wet-contact host supplies benetzen; E remains Kurzgrad.
01_CONTACT_GRADE	7d25241b0e56c836372a	qokeedy	länger einwirken; Schluss	länger einwirken; Schluss	OK=ansetzen; EE=Haltegrad; DY=Schluss	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	B2-S003|B2-S011|B2-S015|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005	f82r|f83r	E_GRADE	EE is the sustained grade across ten liquid, cloth and site cells.
01_CONTACT_GRADE	d25110e0d8488927278f	qokeeedy	vollständig durchtränken; Schluss	voll durchtränken; Schluss	OK=einsetzen; EEE=Vollgrad; DY=Schluss	1	E209	B2-S012	f82r	E_GRADE	EEE supplies completion/fullness inside this saturation host.
01_CONTACT_GRADE	93f69c38fdedee1598e9	qokeedal	länger an der Stelle halten	länger an der Stelle halten	OK=einsetzen; EE=Haltegrad; AL=Stelle	1	E117	B1-S002	f81v	E_GRADE	The site host supplies location; EE supplies holding grade.
02_THERMAL_GRADE	d904bf7b044dd3922781	cheky	kurz oder mild erwärmen	mild wärmen	CHK=wärmen; E=Kurzgrad; Y=Posten	3	E134|E164|E339	B1-S008|B1-S020|B4-S011	f81v|f83r	CHK_THERMAL	E realizes the mild/brief warming grade.
02_THERMAL_GRADE	2c1a5fd92b9e3c762242	cheeky	länger warm halten	warm halten	CHK=wärmen; EE=Haltegrad; Y=Posten	2	E066|E333	H4-S003|B4-S008	f55v|f83r	CHK_THERMAL	EE realizes sustained warmth.
02_THERMAL_GRADE	f0db6d30cd34f4cb2a4d	chkeey	den laufenden Posten länger warm halten	Posten warm halten	CHK=wärmen; EE=Haltegrad; Y=Posten	1	E183	B2-S005	f82r	CHK_THERMAL	The current item receives sustained warmth.
02_THERMAL_GRADE	a84fbe3ad380df345b97	chkeedy	länger warm halten; Schluss	warm halten; Schluss	CHK=wärmen; EE=Haltegrad; DY=Schluss	1	E231	B3-S002	f83r	CHK_THERMAL	CHK supplies warming and EE sustained heat.
03_COLLECTION_GRADE	42cdc187d5b9ffc60063	solkey	kurz auffangen	kurz auffangen	SOLK=Auffangstelle; E=Kurzgrad; Y=Posten	1	E356	B4-S015	f83r	E_GRADE	Collection rather than contact realizes the short grade.
03_COLLECTION_GRADE	1bfd786e6b8b63734a59	solkeey	länger auffangen	länger auffangen	SOLK=Auffangstelle; EE=Haltegrad; Y=Posten	1	E373	B6-S001	f83r	E_GRADE	Collection realizes the sustained grade.
03_COLLECTION_GRADE	3b70942557b3a40e8030	olkeedy|solkeedy	länger auffangen; Schluss	länger auffangen; Schluss	SOLK=Auffangstelle; EE=Haltegrad; DY=Schluss	3	E162|E229|E291	B1-S018|B3-S001|B3-S026	f81v|f83r	E_GRADE	Terminal collection preserves the EE grade.
04_SETTLING_GRADE	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	ruhen oder absetzen; Schluss	absetzen lassen; Schluss	SHED=absetzen; E=Kurzgrad; DY=Schluss	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016	f81v|f82r|f83r	SHED_SETTLING	Twelve terminal cells support a default settling step; E is default/short grade.
04_SETTLING_GRADE	03626ca94cb17800d767	sheedy	länger ruhen oder absetzen; Schluss	länger absetzen lassen; Schluss	SHED=absetzen; EE=Haltegrad; DY=Schluss	1	E261	B3-S014	f83r	SHED_SETTLING	The liquid-process default is settling, with EE supplying duration grade.
05_FOLLOW_GRADE	c45ebac60774620561e2	otedy	danach kurz einwirken lassen; Schluss	danach kurz einwirken; Schluss	OT=Folge; E=Kurzgrad; DY=Schluss	2	E249|E307	B3-S010|B3-S032	f83r	E_GRADE	OT orders the step and E supplies its short grade.
05_FOLLOW_GRADE	5d5e0b288cf36864ed9d	oteey	den nächsten Posten länger einwirken lassen	Folgeposten länger einwirken	OT=Folge; EE=Haltegrad; Y=Posten	2	E185|E218	B2-S006|B2-S016	f82r	E_GRADE	The same EE grade applies to the following item.
05_FOLLOW_GRADE	ff178343c18e287ce3b7	qoteedy	danach länger einwirken lassen; Schluss	danach länger einwirken; Schluss	OT=Folge; EE=Haltegrad; DY=Schluss	2	E226|E292	B2-S020|B3-S027	f82r|f83r	E_GRADE	Following-step order and sustained grade remain separate.
06_READY_CONTINUE_GRADE	6b89d6dd70635bc60fe0	qcthey|shcthey	den laufenden Posten gebrauchsfertig halten	kurz bereithalten	CTH=bereit; E=Kurzgrad; Y=Posten	2	E204|E258	B2-S012|B3-S013	f82r|f83r	CTH_READY	Readiness is a state; E gives the brief holding grade.
06_READY_CONTINUE_GRADE	daf32e6db9e04413ce7f	okeeol	länger mit dem Vorigen fortführen	länger fortsetzen	OK=einsetzen; EE=Haltegrad; OL=Fortsetzung	1	E340	B4-S011	f83r	OL_CONTINUATION	EE supplies sustained grade while OL links to prior work.
07_IIN_TARGET_GRADE	2c82523794dcb7d2b343	oiiin|soiiin	Sollstufe	Sollgrad	IIN=Grad	2	E161|E309	B1-S018|B3-S034	f81v|f83r	IIN_GRADE	The two base carriers name a target grade, not a duration.
07_IIN_TARGET_GRADE	409de02322e7b2ca0c62	kaiiin	weiche Sollstufe	Weichgrad	K=weich; IIN=Grad	1	E036	H2-S003	f10r	IIN_GRADE	K supplies softness and IIN the graded target.
07_IIN_TARGET_GRADE	fcc1deda9e24ec268eb0	daiiin	zweite Öffnungsstufe	Öffnungsgrad II	DA=zweite Öffnung; IIN=Grad	1	E371	B5-S003	f83r	IIN_GRADE	The opening hull supplies the station; IIN remains grade.
08_EXPLICIT_TIME_ENDPOINT	a8af08e69edab8e54f15	shfydaiin	für die vorgeschriebene Zeit stehen lassen	Standzeit	SHFYDAIIN=Standzeit	1	E042	H3-S001	f11r	TIME_WHOLE_CARD	One compact process noun replaces the sentence-sized standing instruction.
08_EXPLICIT_TIME_ENDPOINT	21ed2873b71e57269c08	chckhal	Dauer	Dauer	Dauer	1	E355	B4-S015	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
08_EXPLICIT_TIME_ENDPOINT	d72f71baff01cd0a0406	chldaiin	bis zum vorgeschriebenen Stand absetzen lassen	Absetzstand	CHLDAIIN=Absetzstand	1	E286	B3-S026	f83r	TIME_WHOLE_CARD	The local endpoint combines settling with a prescribed stand; AIIN is not globally time.
08_EXPLICIT_TIME_ENDPOINT	d788d8d72d41b25a3c71	chealror	bis klar	Klarpunkt	CHEALROR=Klarpunkt	1	E290	B3-S026	f83r	ENDPOINT_WHOLE_CARD	The card names the observable clear endpoint rather than the sentence 'until clear'.
