family	joint_tuple_id	surface_family	selected_nucleus_de	selected_default_de	occurrences	event_ids	statements	pages	selection_reason
IIN_STAGE	2c82523794dcb7d2b343	oiiin|soiiin	IIN=Stufe	Stufe	2	E161|E309	B1-S018|B3-S034	f81v|f83r	The recurrent base should name the stage, not a whole desired-state sentence.
IIN_STAGE	409de02322e7b2ca0c62	kaiiin	IIN=Stufe; K=weich	weiche Stufe	1	E036	H2-S003	f10r	K supplies the learned soft qualifier.
IIN_STAGE	fcc1deda9e24ec268eb0	daiiin	IIN=Stufe; DA=zweite	zweite Stufe	1	E371	B5-S003	f83r	The local opening is inherited; the card need only distinguish the second stage.
E_GRADE	08bd5ca0c2ad137a056d	okey|qokey	OK=ansetzen; E=kurz; Y=Posten	kurz einwirken	2	E142|E220	B1-S012|B2-S016	f81v|f82r	Remove application-specific laying-on from the portable grid.
E_GRADE	0275fbf14e07935b0a45	okeey|qokeey	OK=ansetzen; EE=lang; Y=Posten	lang einwirken	7	E153|E175|E194|E205|E293|E317|E322	B1-S016|B2-S004|B2-S010|B2-S012|B3-S028|B4-S002|B4-S003	f81v|f82r|f83r	The sustained open cell keeps the item active.
E_GRADE	7db18b2f0fb7ed0fcfd3	qokedy	OK=ansetzen; E=kurz; Endkarte=Schluss	kurz einwirken; Schluss	8	E101|E137|E138|E259|E294|E297|E318|E335	B1-S001|B1-S009|B1-S010|B3-S013|B3-S028|B3-S029|B4-S002|B4-S008	f81v|f83r	Wet/contact is local; the portable value is brief action.
E_GRADE	7d25241b0e56c836372a	qokeedy	OK=ansetzen; EE=lang; Endkarte=Schluss	lang einwirken; Schluss	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	B2-S003|B2-S011|B2-S015|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005	f82r|f83r	The terminal pair closes sustained action.
E_GRADE	d25110e0d8488927278f	qokeeedy	OK=ansetzen; EEE=ganz; Endkarte=Schluss	ganz einwirken; Schluss	1	E209	B2-S012	f82r	Saturation is local; EEE supplies completion.
E_GRADE	93f69c38fdedee1598e9	qokeedal	OK=ansetzen; EE=lang; AL=Stelle	lang an der Stelle einwirken	1	E117	B1-S002	f81v	The target replaces the current-item output.
E_GRADE	daf32e6db9e04413ce7f	okeeol	OK=ansetzen; EE=lang; OL=weiter	lang weiter einwirken	1	E340	B4-S011	f83r	OL continues rather than naming a previous substance.
CHK_WARM	d904bf7b044dd3922781	cheky	CHK=wärmen; E=kurz; Y=Posten	kurz wärmen	3	E134|E164|E339	B1-S008|B1-S020|B4-S011	f81v|f83r	The short open warmth cell.
CHK_WARM	2c1a5fd92b9e3c762242	cheeky	CHK=wärmen; EE=lang; Y=Posten	lang warmhalten	2	E066|E333	H4-S003|B4-S008	f55v|f83r	The long open warmth cell.
CHK_WARM	f0db6d30cd34f4cb2a4d	chkeey	CHK=wärmen; EE=lang; Y=Posten	lang warmhalten	1	E183	B2-S005	f82r	Second learned rendering of the same long open warmth cell.
CHK_WARM	a84fbe3ad380df345b97	chkeedy	CHK=wärmen; EE=lang; Endkarte=Schluss	lang warmhalten; Schluss	1	E231	B3-S002	f83r	Closed counterpart to CHKEEY.
SHED_REST	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	SHED=ruhen; E=Grundgrad; Endkarte=Schluss	ruhen; Schluss	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	B1-S004|B1-S008|B1-S016|B1-S019|B2-S008|B3-S012|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013|B4-S016	f81v|f82r|f83r	Settling remains a local liquid expansion of rest.
SHED_REST	03626ca94cb17800d767	sheedy	SHED=ruhen; EE=lang; Endkarte=Schluss	lang ruhen; Schluss	1	E261	B3-S014	f83r	The extra E supplies duration.
SHED_REST	abb23e5e6936b4147f76	shedal	SHED=ruhen; AL=Stelle	Ruheplatz	2	E275|E364	B3-S021|B5-S003	f83r	The local owner may specialize it as a settling station.
SHED_REST	daa1347f456415fe8737	solshedy	OL=weiter; SHED=ruhen; Endkarte=Schluss	weiter ruhen; Schluss	1	E193	B2-S009	f82r	Continuation is shorter than 'with the previous'.
SHED_REST	db167f8e9b53eefb58f8	qokshedy	OK=ansetzen; SHED=ruhen; Endkarte=Schluss	zur Ruhe setzen; Schluss	1	E267	B3-S019	f83r	OK initiates the rest state.
CTHY_READY	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	CTHY=fertig	fertig	7	E014|E016|E054|E271|E279|E289|E310	H1-S002|H2-S001|H3-S004|B3-S021|B3-S026|B3-S034	f10r|f11r|f83r	One short state replaces the longer ready-for-use phrase.
CTHY_READY	6b89d6dd70635bc60fe0	qcthey|shcthey	CTH=fertig; E=kurz; Y=Posten	kurz bereithalten	2	E204|E258	B2-S012|B3-S013	f82r|f83r	The grade supplies brief holding of the ready item.
ORDER_OT	10488b911aae52b3b334	otchor|qotchor	OT=Folge; OR=Ansatz	Folgeansatz	2	E024|E080	H2-S002|H5-S001	f10r|f56r	One OT contribution works in batch, measure, site and item compounds.
ORDER_OT	54d0e228ca346110af05	otaiin|sotaiin	OT=Folge; AIIN=Maß	Folgemaß	3	E190|E306|E312	B2-S008|B3-S032|B3-S034	f82r|f83r	The next measure is a compact compound.
ORDER_OT	faf321940aed922846a9	otchey	OT=Folge; Y=Posten	Folgeposten	2	E098|E321	H5-S006|B4-S003	f56r|f83r	Remove the full choose-next instruction from the card.
ORDER_OT	90bcf0a9ec0ef56399e6	otal|qotal	OT=Folge; AL=Stelle	Folgestelle	3	E230|E237|E320	B3-S002|B3-S004|B4-S003	f83r	The next local site is a compact compound.
ORDER_OT	497cbd9c7401810ff56b	otol	OT=Folge; OL=weiter	danach weiter	1	E026	H2-S002	f10r	The two order axes compose directly.
ORDER_OT	4de12cf322dfb76ded1e	otchedy|qotchedy	OT=danach; CHED=umsetzen; Endkarte=Schluss	danach umsetzen; Schluss	2	E281|E301	B3-S022|B3-S030	f83r	Remove the unsupported alternative 'or repeat'.
ORDER_OT	601b77449028deed39de	otchdy	OT=danach; CHD=umsetzen; Endkarte=Schluss	danach umsetzen; Schluss	1	E362	B5-S001	f83r	Short allomorph of the same sequential close.
ORDER_OT	b6b654722e55729cc947	otar	OT=danach; AR=aus	danach auslassen	1	E149	B1-S014	f81v	Source direction remains separate.
ORDER_OT	5d5e0b288cf36864ed9d	oteey	OT=Folge; EE=lang; Y=Posten	Folgeposten lang einwirken	2	E185|E218	B2-S006|B2-S016	f82r	The output is the next open item.
ORDER_OT	c45ebac60774620561e2	otedy	OT=danach; E=kurz; Endkarte=Schluss	danach kurz einwirken; Schluss	2	E249|E307	B3-S010|B3-S032	f83r	Brief sequential closed cell.
