component	selected_meaning_de	examples	status	boundary_or_caveat
AIIN	SOLLMASS	2f1c5e…; b5fcea…; 54d0e2…	productive	Not IIN and not inherently time.
IIN	ZIELSTUFE	2c8252…; 409de0…; fcc1de…	productive	Distinct exact-card family from AIIN.
OK	ANSETZEN / IN ARBEIT SETZEN	OKY; OKEY; OKEEY; OKEDY	productive	Local wet-contact wording comes from context.
E	STUFE I	OKEY; CHEKY; SOLKEY	productive grade	Usually short or mild, not a free time word.
EE	STUFE II	OKEEY; CHEEKY; SOLKEEY	productive grade	Usually longer or sustained.
EEE	STUFE III	OKEEEDY	thin productive grade	Usually complete; only one current card.
CHK	WÄRMEN	CHEKY; CHEEKY; CHKEEY; CHKEEDY	productive	Bounded family; CHCKHY is a counterexample.
SHED	ABSETZEN	SHEDY; SHEEDY; SHEDAL; QOKSHEDY	productive	Technical choice over the broader rival RUHEN.
CTH	BEREIT	CTHY; CTH+E+Y	bounded productive	CTHOOR and CTHAIIN remain whole-card counterexamples.
SOLK	AUFFANGEN	SOLKEY; SOLKEEY; SOLKEEDY	productive	Local station/collection family.
OT	FOLGE	OT+OR; OT+AIIN; OT+AL; OT+Y	productive order	Nouns read Folge-, actions read danach.
OL	FORTSETZUNG	OL; OL+OR; OL+AIN; OL+CHED	productive order	Inherited owner supplies the previous item.
OK+OK	ERNEUT	QOKOKCHY	thin productive repetition	One visible doubled-operation witness.
Y	AKTUELLER POSTEN	OKY; OKEY; CHKEEY	productive carrier	It does not itself mean open.
terminal construction	SCHLUSS	OKEDY; OKEEDY; SHEDY	licensed whole construction	Bare dy is not a global close sign.
AIN	PORTION	OLKAIN and prior quantity grid	carried forward	Separate from AIIN and IIN.
AL	STELLE	OTAL; SHEDAL; OKEEDAL	carried forward	Target/site rather than a body gloss.
AR	QUELLE / AUSLASS	OTAR and prior direction grid	carried forward	Direction is locally expanded.
OR	ANSATZ	OTCHOR; CHOLOR	carried forward	Prepared working batch.
