entry_order	entry_key	headword_de	word_class	composition_rule_de	hard_boundary_de	productive_card_types_registered	prose_membership_occurrences	whole_portable_prose_occurrences	astro_membership_occurrences	normalized_card_ids	visible_surfaces	prose_units	astro_units	prose_local_expansions	astro_portable_values	example_prose	example_astro
1	OK	EINSETZEN	Handlungsverb	setzt den folgenden Posten oder Arbeitsgang aktiv ein	kein Stoffname und nicht jede sichtbare o/k-Folge	20	67	16	3	MC002|MC006|MC007|MC015|MC024|MC026|MC040|MC041|MC044|MC054|MC081|MC082|MC083|MC096|MC103|MC120|MC140|MC150|MC151|MC165	chokcheo|chokchy|choky|okaiin|okair|okal|okchol|okchy|okeeol|okeey|okey|oky|qockhey|qokaiin|qokal|qokaly|qokar|qokchy|qokedy|qokeedal|qokeedy|qokeeedy|qokeey|qokey|qokokchy|qokol|qokshedy|qoky	B1|B2|B3|B4|H1|H3|H4|H5	A1|A2|A3	einsetzen (10) | lange einwirken; Schluss (10) | bemessen (9) | kurz einwirken; Schluss (8) | lange einwirken (7) | dorthin einsetzen (6) | weiterbearbeiten (3) | kurz einwirken (2)	einsetzen (2) | dorthin einsetzen (1)	oky	okal
2	OL	WEITER	Fortsetzungspartikel	behält Ansatz, Weg oder Diagrammreihe bei	lokal auch Teil längerer Ganzkarten	23	46	23	8	MC016|MC019|MC021|MC024|MC028|MC041|MC053|MC069|MC076|MC090|MC092|MC097|MC104|MC106|MC112|MC115|MC134|MC149|MC150|MC153|MC157|MC162|MC163	cheol|chol|cholor|dsheol|kchol|keol|lol|octheol|okchol|okeeol|ol|olchedy|oldy|olkain|olor|oltchy|otol|otytchol|qoctholy|qokol|qol|qolchedy|qolchey|qolkain|qolky|qotchol|rol|sol|solshedy|teol|tol	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	A1|A2|A3	weiter (19) | weiterführen; Schluss (3) | derselbe Ansatz (2) | fertig (2) | weiterer Anteil (2) | Folgeteil (1) | Folgegang (1) | bereiter Folgeposten (1)	weiter (6) | fertig (1) | derselbe Ansatz (1)	otytchol	oldy
3	OT	FOLGE	Reihenfolgepartikel	wechselt zum folgenden Posten oder Platz	kein festes Zeitwort wie morgen	16	26	2	1	MC013|MC018|MC053|MC057|MC060|MC063|MC067|MC068|MC069|MC093|MC107|MC121|MC135|MC163|MC171|MC173	otaiin|otal|otar|otchdy|otchedy|otchey|otchor|otedy|oteey|otol|otytchol|qotal|qotchedy|qotchol|qotchor|qotchy|qotedaiin|qoteedy|sotaiin|sotodan	B1|B2|B3|B4|B5|H1|H2|H3|H5	A1	Folgemaß (3) | danach dorthin (3) | Folgeansatz (2) | das nächste (2) | Langfolge (2) | lange Folgestufe; Schluss (2) | Kurzfolge; Schluss (2) | Folgetransfer; Schluss (2)	das nächste (1)	otytchol	otchey
4	AR	VON	Quellrelation	nimmt den Bezug vom aktiven Ausgang	nennt die Quelle nicht selbst	10	14	5	5	MC009|MC011|MC029|MC042|MC044|MC055|MC085|MC089|MC121|MC136	char|chary|cheedar|cheoar|dar|kchoar|lar|lchedar|otar|qokar|sar|skar	B1|B2|B3|B4|H1|H2|H4|H5	A1|A3	davon (5) | Quellauszug (1) | bearbeiteter Quellauszug (1) | Folgequelle (1) | Quelleinsatz (1) | Quellabzug (1) | Quellabführung (1) | Quellposten (1)	davon (5)	char	dar
5	AL	ZIEL	Zielrelation	weist den bezeichneten Zielplatz zu	nennt weder Körperteil noch Gefäß	23	40	16	8	MC001|MC010|MC022|MC031|MC040|MC046|MC049|MC051|MC054|MC056|MC058|MC077|MC078|MC079|MC093|MC096|MC101|MC102|MC113|MC126|MC146|MC154|MC160	al|chal|chckhal|chdal|cheal|chealror|chodaly|dal|dalchdy|daldy|kchal|lchedal|ldalor|okal|olsaly|otal|pchedal|qokal|qokaly|qokeedal|qotal|ral|raly|rsheal|sal|schoal|sheckhal|shedal|tal|talam	B1|B2|B3|B4|B5|B6|H3|H4|H5	A1|A3	dorthin (10) | dorthin einsetzen (6) | danach dorthin (3) | am Ziel absetzen (2) | Sudansatz (1) | Verwahrort (1) | Zielzugabe (1) | Zielbearbeitung (1)	dorthin (7) | dorthin einsetzen (1)	schoal	dal
6	AIIN	SOLLWERT	Parameterwort	ruft einen vorgeschriebenen Wert auf	in nasser Prosa oft Sollmaß, im Diagramm Grad oder Tabellenwert	10	39	20	11	MC018|MC036|MC039|MC060|MC087|MC111|MC120|MC144|MC169|MC170	aiin|chaiin|chldaiin|chodaiin|cthaiin|daiin|okaiin|otaiin|qokaiin|qotedaiin|saiin|shfydaiin|solkaiin|sotaiin|taiin|ykaiin	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	A1|A3	Sollmaß (20) | bemessen (9) | Folgemaß (3) | Sollvorbereitung (1) | Zugabemaß (1) | Stehzeit (1) | Sollportion (1) | Sollsammlung (1)	Sollwert (11)	daiin	daiin
7	Y	DIES	Referenzwort	hält den aktuell gemeinten Posten aktiv	sichtbares y oder dy ist nicht automatisch diese Karte	44	104	41	29	MC002|MC007|MC008|MC009|MC010|MC015|MC020|MC021|MC026|MC032|MC035|MC043|MC046|MC047|MC050|MC054|MC062|MC063|MC064|MC073|MC074|MC075|MC078|MC091|MC095|MC103|MC107|MC115|MC117|MC122|MC123|MC131|MC132|MC137|MC147|MC148|MC161|MC162|MC164|MC165|MC166|MC168|MC170|MC171	chary|chckhy|chdy|checthy|chedchy|chedy|cheeky|cheky|chey|chkeey|chodaly|chokchy|choky|choy|chy|cthy|dairydy|dy|kchey|kchy|lcheckhy|lchy|okchy|okeey|okey|oky|olsaly|oltchy|otchey|oteey|qcthey|qockhey|qoctholy|qokaly|qokchy|qokeey|qokey|qokokchy|qoky|qokylddy|qolchey|qotchy|raly|shckhy|shcthey|shcthy|sheckhy|shecthedchy|shecthy|sheey|shoyty|shy|solkeey|solkey|sy|y|ycheor|ykaiin|ykain|ykan	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	A1|A2|A3	dies (18) | überführen (11) | einsetzen (10) | bereit (7) | lange einwirken (7) | durchleiten (4) | weiterbearbeiten (3) | kurz wärmen (3)	dies (25) | einsetzen (2) | das nächste (1) | überführen (1)	oky	chy
8	DY	FERTIG	Abschlusspartikel	schließt nur die lizenzierte Karten- oder Zellkonstruktion	kein global zerlegbares Suffix	20	53	2	1	MC003|MC004|MC019|MC028|MC037|MC038|MC057|MC067|MC079|MC082|MC083|MC084|MC091|MC099|MC100|MC110|MC128|MC138|MC140|MC167	cheeckhody|cheedy|chkeedy|dairydy|daldy|dshedy|ldy|lochedy|lshedy|ody|olchedy|oldy|otchdy|otchedy|qokedy|qokeedy|qokeeedy|qolchedy|qotchedy|rshedy|shedy|sheedy|tchody|tedy	B1|B2|B3|B4|B5|H3|H4|H5	A1	kurz absetzen; Schluss (12) | lange einwirken; Schluss (10) | kurz einwirken; Schluss (8) | weiterführen; Schluss (3) | fertig (2) | Waschgang; Schluss (2) | abziehen; Schluss (2) | Folgetransfer; Schluss (2)	fertig (1)	tchody	oldy
9	OR	ANSATZ	Arbeitszustandswort	bezeichnet den laufenden Ansatz oder Bedingungssatz	nicht automatisch Flüssigkeit oder Sud	8	16	9	3	MC013|MC072|MC075|MC080|MC125|MC146|MC157|MC158	chealror|chochor|cholor|chor|cthoor|olor|or|orain|otchor|qotchor|shor|sor|ycheor	B1|B3|B4|H1|H2|H4|H5	A1|A2	Ansatz (7) | Folgeansatz (2) | derselbe Ansatz (2) | Vorbereitung (1) | Auszugsansatz (1) | Bereitungsanteil (1) | Zugabeansatz (1) | Zielbereitung (1)	Ansatz (2) | derselbe Ansatz (1)	cthoor	or
10	CHED~CHD	ÜBERFÜHREN	Transferverb	setzt einen Posten zwischen Arbeits- oder Diagrammplätzen um	Schreibgestalt und Schluss bleiben kartengebunden	21	47	11	1	MC001|MC005|MC011|MC025|MC028|MC031|MC042|MC043|MC051|MC057|MC064|MC067|MC070|MC074|MC088|MC126|MC127|MC139|MC145|MC155|MC167	chdal|chdy|chedain|chedchy|chedy|cheedar|dalchdy|dchdy|dchedy|lched|lchedal|lchedar|lchedy|lochedy|okchedy|olchedy|otchdy|otchedy|pchedal|pchedy|qokchdy|qokchedy|qolchedy|qotchedy|schedy|shecthedchy|tchedy	B1|B2|B3|B4|B5|H4	A3	überführen (11) | abführen; Schluss (8) | einführen; Schluss (5) | überführen; Schluss (4) | weiterführen; Schluss (3) | Folgetransfer; Schluss (2) | Zielabführung (1) | Transfer; Schluss (1)	überführen (1)	chedy	chdy
