unified_serial	source_kind	unit_id	page	locus_or_field	source_id	visible_owner	visible_surface	normalized_id	dictionary_entries	portable_core_value_de	local_expansion_de
3	PROSE_EVENT	H1	f10r	F001	E003	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	char	MC055	AR	davon	davon
8	PROSE_EVENT	H1	f10r	F001	E008	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky	MC026	OK+Y	einsetzen	einsetzen
9	PROSE_EVENT	H1	f10r	F001	E009	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	AIIN	Sollwert	Sollmaß
13	PROSE_EVENT	H1	f10r	F002	E013	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	weiter	weiter
17	PROSE_EVENT	H2	f10r	F003	E017	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	MC080	OR	Ansatz	Ansatz
20	PROSE_EVENT	H2	f10r	F003	E020	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	MC123	Y	dies	dies
21	PROSE_EVENT	H2	f10r	F003	E021	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	MC123	Y	dies	dies
22	PROSE_EVENT	H2	f10r	F003	E022	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	taiin	MC039	AIIN	Sollwert	Sollmaß
23	PROSE_EVENT	H2	f10r	F003	E023	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shy	MC123	Y	dies	dies
25	PROSE_EVENT	H2	f10r	F004	E025	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	MC080	OR	Ansatz	Ansatz
27	PROSE_EVENT	H2	f10r	F004	E027	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	weiter	weiter
28	PROSE_EVENT	H2	f10r	F004	E028	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cholor	MC157	OL+OR	derselbe Ansatz	derselbe Ansatz
29	PROSE_EVENT	H2	f10r	F004	E029	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chol	MC153	OL	weiter	weiter
30	PROSE_EVENT	H2	f10r	F004	E030	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	daiin	MC039	AIIN	Sollwert	Sollmaß
31	PROSE_EVENT	H2	f10r	F004	E031	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dar	MC055	AR	davon	davon
33	PROSE_EVENT	H2	f10r	F005	E033	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	shor	MC080	OR	Ansatz	Ansatz
34	PROSE_EVENT	H2	f10r	F005	E034	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chor	MC080	OR	Ansatz	Ansatz
35	PROSE_EVENT	H2	f10r	F005	E035	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chy	MC123	Y	dies	dies
37	PROSE_EVENT	H2	f10r	F005	E037	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dy	MC123	Y	dies	dies
44	PROSE_EVENT	H3	f11r	F006	E044	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shey	MC119	RESULT	Freigabewert	Klarlauf
48	PROSE_EVENT	H3	f11r	F008	E048	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	chy	MC123	Y	dies	dies
50	PROSE_EVENT	H3	f11r	F008	E050	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dy	MC123	Y	dies	dies
51	PROSE_EVENT	H3	f11r	F008	E051	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	daiin	MC039	AIIN	Sollwert	Sollmaß
55	PROSE_EVENT	H3	f11r	F009	E055	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dy	MC123	Y	dies	dies
57	PROSE_EVENT	H4	f55v	F010	E057	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	chaiin	MC039	AIIN	Sollwert	Sollmaß
61	PROSE_EVENT	H4	f55v	F011	E061	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	daiin	MC039	AIIN	Sollwert	Sollmaß
62	PROSE_EVENT	H4	f55v	F011	E062	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	chedy	MC074	Y+CHED~CHD	überführen	überführen
67	PROSE_EVENT	H4	f55v	F012	E067	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	oldy	MC019	OL+DY	fertig	fertig
68	PROSE_EVENT	H4	f55v	F013	E068	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	aiin	MC039	AIIN	Sollwert	Sollmaß
