surface	decision	external_working_meaning_de	render_mode	review_note
polchoy	SOURCE_PAGE_ONLY_UNTESTED	Pulverstoff trocknen, ansetzen und leicht abschließen	LOCAL_UNTESTED	Only the f81r source occurrence is present; retain the full P-OL-CH-O-Y composition locally without exporting it.
olpchedy	HOLD_WITH_ACTION_RESULT_SPLIT	fertiggestelltes Trockenpulver aus Holzdrogenansatz	EXTERNAL_NOMINAL_RESULT	Two external S/B/hand-3 occurrences sit inside powder, drying, heat and quantity fields; the components hold but catalogue position selects the finished result rather than a fresh imperative.
ofshdy	SOURCE_PAGE_ONLY_UNTESTED	Blütenfraktionsansatz einweichen und fertigstellen	LOCAL_UNTESTED	The narrow F_FLOWER extension has no exact external occurrence and therefore remains f81r-local.
dchey	HOLD_WITH_SCOPE_SPLIT	abgemessene Trockendroge der Mittelstufe, abgeschlossen	INITIAL_ACTION_ELSE_NOMINAL	Fourteen external occurrences preserve D-CH-E-Y, but ten line-initial positions admit an action while four medial positions and the following aiin value require a nominal measured-dry result.
lshl	SOURCE_PAGE_ONLY_UNTESTED	eingeweichte Holzdroge	LEARNED_LOCAL_UNTESTED	This learned whole is unique to f81r and remains a local exact name.
alched	HOLD_WITH_ACTION_RESULT_SPLIT	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	EXTERNAL_NOMINAL_RESULT	The external S/B/hand-3 occurrence is nominal inside a raw, fraction and cold-stage chain; RF1b al ched confirms the component boundary while abziehen remains a rival.
qolsheedy	HOLD_WITH_SCOPE_SPLIT	vollständig eingeweichten und fertigen Drogenstoff zugeben	QOL_ACTION_SHEEDY_RESULT	RF1b reads qol sheedy: QOL remains the add action while SHEEDY is its already moist and finished object, not a second invented action.
oeeedy	SOURCE_PAGE_ONLY_UNTESTED	Ansatz lange oder bis zur letzten Stufe ruhen lassen und fertigstellen	LOCAL_UNTESTED	The long-versus-final EEE rival cannot be tested outside f81r; retain both readings locally.
qopchol	HOLD_SAME_CARD	nimm getrockneten Pulverstoff	ACTION_HOLD	Four external occurrences across S, C and T preserve the command plus powder-dry-material order; nominal neighbors do not erase the visible QO command frame.
oraisy	SOURCE_PAGE_ONLY_UNTESTED	eine Portion Arzneispecies der Form I abteilen und abschließen	LOCAL_UNTESTED	The narrow form-I/species/outer-close extension has no external exact occurrence and remains local.
osheedy	SOURCE_PAGE_ONLY_UNTESTED	Ansatz vollständig einweichen und fertigstellen	LOCAL_UNTESTED	The regular complete-moist process is morphologically supported but its exact surface occurs only on f81r.
oror	HOLD_SAME_CARD	zwei Portionen	QUANTITY_ATTACHMENT	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
olam	HOLD_WITH_SCOPE_SPLIT	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	OL_BOUNDARY_OPEN	Four external S/B/hand-3 occurrences are line-final and securely preserve AM as measure I; the surface does not decide O+L+AM versus OL+AM, so wood remains an explicit rival.
eses	SOURCE_PAGE_ONLY_UNTESTED	zwei Arzneispecies der Mittelstufe	LEARNED_LOCAL_UNTESTED	The repeated learned species whole is unique to f81r; no general reduplication rule is exported.
dshees	HOLD_WITH_SCOPE_SPLIT	Dosis oder Charge vollständig eingeweichter Arzneispecies	NOMINAL_MEASURE_OR_CHARGE	The external S/B/hand-3 line begins with the same D-SH-EE-S stack but has no independent action anchor; abmessen is reserved for explicit head syntax.
qoteesy	SOURCE_PAGE_ONLY_UNTESTED	Arzneispecies vollständig abkühlen und abschließen	LOCAL_UNTESTED	The terminal-species versus seed rival has no external exact occurrence and stays visible on f81r.
chcphey	HOLD_WITH_ACTION_RESULT_SPLIT	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	Two external occurrences in S and B place the dry-composite-middle-close form among other composite, add and moist fields; catalogue position selects a result head.
shecphy	HOLD_WITH_ACTION_RESULT_SPLIT	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	Two external S/B and B/B occurrences retain the moist-middle-composite-close stack; grade and field-close neighbors select a nominal result head.
qotaldar	SOURCE_PAGE_ONLY_UNTESTED	erste Fraktion gekühlter Rohdroge I abmessen	LOCAL_UNTESTED	The cold raw-I measured-first-fraction command has no external exact occurrence.
qokesdy	SOURCE_PAGE_ONLY_UNTESTED	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	LOCAL_UNTESTED	The seed versus terminal-species issue cannot be tested outside f81r; retain the seed-heating card locally.
lchl	HOLD_LEARNED_WHOLE	getrocknetes Drogenholz	LEARNED_EXACT_WHOLE	One external S/B/hand-3 occurrence admits the unchanged exact learned wood-drying whole; it does not license L-CH-L as a productive rule.
olkar	HOLD_WITH_SCOPE_SPLIT	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	OL_BOUNDARY_AND_READER_OPEN	Sixteen external positions across B, C, T, H and S secure heat plus fraction I; O+L versus OL remains open and two alternate-reader rivals are quarantined explicitly.
olkshdy	SOURCE_PAGE_ONLY_UNTESTED	Holzdrogenansatz erhitzen, einweichen und fertigstellen	LOCAL_UNTESTED	The ordered wood-heat-moist-finish chain has no external exact occurrence and remains f81r-local.
