sample_id	step	owner	component_parse	selected_surface	card_value_de	surface_source	forward_action	backward_action	roundtrip
X01	1	H1	AIIN	aiin	Maß	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X01	2	H1	AR	dar	von dort	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X01	3	H1	OK+E+Y	okey	ansetzen · kurz · dies	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X01	4	H1	OL	ol	fortsetzen	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X02	1	H3	CFH+Y	cfhy	auswringen · dies	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X02	2	H3	SH+EE+Y	shey	halten · länger · dies	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X02	3	H3	CH+E+O+AR	cheoar	abziehen · kurz · Arbeitsgang · von dort	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X03	1	H4	AIN	dain	Portion	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X03	2	H4	OK+CH+E+O	chokcheo	ansetzen · abziehen · kurz · Arbeitsgang	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X03	3	H4	AL	al	Zielstelle	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X03	4	H4	SH+EE+DY	sheedy	halten · länger · Schluss	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X04	1	H5	OT+AIN	otain	danach · Portion	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X04	2	H5	OK+EEE+Y	okeeey	ansetzen · vollständig · dies	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X04	3	H5	TALAM	talam	verwahren	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X05	1	B1	OK+AIN	okain	ansetzen · Portion	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X05	2	B1	AL	al	Zielstelle	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X05	3	B1	L+CKH+E+DY	lcheckhedy	führen · Durchlass · kurz · Schluss	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X06	1	B1	OL+AIIN	olaiin	fortsetzen · Maß	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X06	2	B1	CHK+E+DY	chekdy	wärmen · kurz · Schluss	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X07	1	B2	OT+E+Y	otey	danach · kurz · dies	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X07	2	B2	SOLK+E+DY	solkedy	auffangen · kurz · Schluss	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X08	1	B2	OT+AIR	otair	danach · Lauf	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X08	2	B2	SH+EEE+DY	sheeedy	halten · vollständig · Schluss	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X09	1	B3	OK+Y+LD+DY	qokylddy	ansetzen · dies · befestigen · Schluss	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X10	1	B4	DA+IIN	daiiin	zweite · Sollstufe	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X10	2	B4	OK+EE+Y	okeey	ansetzen · länger · dies	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X10	3	B4	LS	ls	fortsetzen	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X11	1	B5	OS	os	Arbeitsfach	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X11	2	B5	AIIN	aiin	Maß	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X11	3	B5	OL+AL	olal	fortsetzen · Zielstelle	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X11	4	B5	SH+E+DY	dshedy	halten · kurz · Schluss	ATTESTED_CARD	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X12	1	B6	OL+AIR	olair	fortsetzen · Lauf	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X12	2	B6	OK+EEE+Y	okeeey	ansetzen · vollständig · dies	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
X12	3	B6	SOLK+EEE+DY	solkeeedy	auffangen · vollständig · Schluss	PREDICTED_COMPOSITION	WRITE_CARD	REMOVE_WRAPPER_AND_READ_COMPONENTS	PASS
