rule_no	lesson	instruction_de	required
M01	OWNER	Vor dem Schreiben Bildbesitzer und lokalen Arbeitsbereich ansehen.	YES
M02	ELLIPSIS	Das sichtbare Bildhauptwort nicht wiederholen; es bleibt aktiver Besitzer.	YES
M03	CARD	Jede durch Abstand getrennte Karte als eine gelernte Einheit setzen.	YES
M04	COMPOSE	Innerhalb einer Karte Komponenten von links nach rechts lesen.	YES
M05	REFERENCE	OK setzt an; OL setzt fort; OT wechselt zur folgenden Anweisung.	YES
M06	ADDRESS	AR gibt Quelle, AIIN Maß, AIN Portion, AL Ziel und AIR Lauf an.	YES
M07	TRANSFER	CH/CFH/L/K/CHD/CKH setzen Entnahme, Bewegung oder Durchlass.	YES
M08	STATE	SH hält, CHK wärmt, SOLK fängt auf und CTH meldet bereit.	YES
M09	GRADE	E ist kurz, EE länger, EEE vollständig.	YES
M10	REFERENT	Y hält den aktuell gemeinten Posten offen verfügbar.	YES
M11	CLOSE	Nur die gelernte DY-Endkonstruktion schließt die lokale Zelle.	YES
M12	WHOLE	OS, TALAM und LS als unteilbare Ganzkarten auswendig lernen.	YES
M13	ATOM	CFH, S, LD und DA als kleine Fachstämme auswendig lernen.	YES
M14	WRAPPER	q bevorzugt Eintrag/Kopf; Ø ist Standard; s/d/t/ch/che nur in lizenzierter Familie.	YES
M15	CHK	CHK-Grade entweder CH-E-K oder CHK-E schreiben.	YES
M16	SOLK	SOLK darf initiales s in der lokalen Allographie verlieren.	YES
M17	LINE	Zeilenende beendet die Aussage nicht; offene Karte in der nächsten Zeile fortführen.	YES
M18	READBACK	Beim Rücklesen zuerst Wrapper entfernen, dann Komponenten, Bildbesitzer zuletzt ergänzen.	YES
