component	workshop_value_de	supporting_card_types	card_ids	teaching_status	write_instruction
AIIN	Maß	10	PROC009|PROC017|PROC025|PROC029|PROC038|PROC044|PROC105|PROC112|PROC147|PROC152	PRODUCTIVE	combine left-to-right; keep value invariant
AIN	Portion	9	PROC039|PROC040|PROC050|PROC064|PROC069|PROC070|PROC080|PROC151|PROC156	PRODUCTIVE	combine left-to-right; keep value invariant
AIR	Lauf	5	PROC006|PROC068|PROC138|PROC150|PROC162	PRODUCTIVE	combine left-to-right; keep value invariant
AL	Zielstelle	22	PROC027|PROC048|PROC053|PROC055|PROC062|PROC073|PROC074|PROC081|PROC088|PROC104|PROC126|PROC127|PROC131|PROC134|PROC142|PROC144|PROC148|PROC153|PROC163|PROC168|PROC172|PROC173	PRODUCTIVE	combine left-to-right; keep value invariant
AR	von dort	10	PROC003|PROC045|PROC063|PROC089|PROC113|PROC121|PROC123|PROC137|PROC146|PROC165	PRODUCTIVE	combine left-to-right; keep value invariant
CFH	auswringen	1	PROC028	LEARNED_ATOM	combine left-to-right; keep value invariant
CH	abziehen	15	PROC001|PROC006|PROC007|PROC012|PROC015|PROC020|PROC025|PROC032|PROC045|PROC051|PROC057|PROC061|PROC116|PROC124|PROC163	PRODUCTIVE	combine left-to-right; keep value invariant
CHD	umsetzen	22	PROC042|PROC076|PROC077|PROC079|PROC082|PROC088|PROC091|PROC094|PROC102|PROC120|PROC123|PROC125|PROC130|PROC133|PROC134|PROC136|PROC144|PROC145|PROC150|PROC151|PROC166|PROC168	PRODUCTIVE	combine left-to-right; keep value invariant
CHK	wärmen	4	PROC046|PROC083|PROC107|PROC132	PRODUCTIVE	combine left-to-right; keep value invariant
CKH	Durchlass	9	PROC057|PROC073|PROC075|PROC099|PROC101|PROC103|PROC110|PROC161|PROC163	PRODUCTIVE	combine left-to-right; keep value invariant
CTH	bereit	8	PROC002|PROC014|PROC017|PROC018|PROC106|PROC117|PROC136|PROC143	PRODUCTIVE	combine left-to-right; keep value invariant
DA	zweite	1	PROC169	LEARNED_ATOM	combine left-to-right; keep value invariant
DY	Schluss	37	PROC032|PROC041|PROC047|PROC057|PROC067|PROC076|PROC077|PROC078|PROC079|PROC082|PROC086|PROC091|PROC094|PROC098|PROC099|PROC100|PROC103|PROC108|PROC111|PROC114|PROC119|PROC120|PROC125|PROC127|PROC128|PROC129|PROC130|PROC132|PROC135|PROC139|PROC141|PROC144|PROC145|PROC155|PROC159|PROC162|PROC166	PRODUCTIVE	combine left-to-right; keep value invariant
E	kurz	34	PROC001|PROC010|PROC015|PROC045|PROC059|PROC061|PROC066|PROC067|PROC073|PROC083|PROC085|PROC086|PROC090|PROC093|PROC096|PROC099|PROC103|PROC106|PROC110|PROC111|PROC114|PROC117|PROC122|PROC124|PROC126|PROC135|PROC136|PROC141|PROC143|PROC152|PROC159|PROC161|PROC164|PROC171	PRODUCTIVE	combine left-to-right; keep value invariant
EE	länger	17	PROC031|PROC046|PROC057|PROC074|PROC092|PROC098|PROC100|PROC107|PROC109|PROC118|PROC129|PROC132|PROC139|PROC146|PROC157|PROC158|PROC170	PRODUCTIVE	combine left-to-right; keep value invariant
EEE	vollständig	2	PROC119|PROC149	PRODUCTIVE	combine left-to-right; keep value invariant
HO	Gabe	5	PROC051|PROC052|PROC053|PROC056|PROC063	PRODUCTIVE	combine left-to-right; keep value invariant
IIN	Sollstufe	3	PROC024|PROC097|PROC169	PRODUCTIVE	combine left-to-right; keep value invariant
K	zuführen	18	PROC023|PROC024|PROC035|PROC039|PROC040|PROC044|PROC054|PROC059|PROC062|PROC063|PROC066|PROC068|PROC069|PROC070|PROC077|PROC159|PROC165|PROC171	PRODUCTIVE	combine left-to-right; keep value invariant
L	führen	18	PROC072|PROC088|PROC095|PROC101|PROC102|PROC103|PROC108|PROC116|PROC118|PROC120|PROC121|PROC123|PROC130|PROC140|PROC147|PROC159|PROC167|PROC173	PRODUCTIVE	combine left-to-right; keep value invariant
LD	befestigen	1	PROC155	LEARNED_ATOM	combine left-to-right; keep value invariant
LS	fortsetzen	1	PROC115	LEARNED_ATOM	combine left-to-right; keep value invariant
LSH	Waschgang	2	PROC084|PROC086	PRODUCTIVE	combine left-to-right; keep value invariant
O	Arbeitsgang	18	PROC002|PROC018|PROC023|PROC025|PROC027|PROC032|PROC033|PROC041|PROC045|PROC057|PROC061|PROC064|PROC084|PROC097|PROC106|PROC130|PROC140|PROC161	PRODUCTIVE	combine left-to-right; keep value invariant
OK	ansetzen	23	PROC008|PROC011|PROC037|PROC038|PROC048|PROC060|PROC061|PROC067|PROC074|PROC080|PROC082|PROC085|PROC091|PROC092|PROC100|PROC104|PROC113|PROC119|PROC138|PROC141|PROC155|PROC158|PROC160	PRODUCTIVE	combine left-to-right; keep value invariant
OL	fortsetzen	25	PROC007|PROC012|PROC013|PROC018|PROC021|PROC022|PROC026|PROC034|PROC037|PROC047|PROC049|PROC054|PROC066|PROC070|PROC071|PROC079|PROC093|PROC096|PROC106|PROC114|PROC153|PROC154|PROC158|PROC160|PROC167	PRODUCTIVE	combine left-to-right; keep value invariant
OR	Ansatz	10	PROC002|PROC015|PROC016|PROC020|PROC022|PROC023|PROC050|PROC051|PROC148|PROC173	PRODUCTIVE	combine left-to-right; keep value invariant
OS	Arbeitsfach	1	PROC005	LEARNED_ATOM	combine left-to-right; keep value invariant
OT	danach	16	PROC007|PROC012|PROC020|PROC021|PROC036|PROC064|PROC065|PROC089|PROC109|PROC112|PROC129|PROC131|PROC135|PROC145|PROC152|PROC166	PRODUCTIVE	combine left-to-right; keep value invariant
P	hinein	3	PROC030|PROC125|PROC134	PRODUCTIVE	combine left-to-right; keep value invariant
R	abkühlen	6	PROC071|PROC081|PROC126|PROC128|PROC148|PROC172	PRODUCTIVE	combine left-to-right; keep value invariant
S	teilen	1	PROC124	LEARNED_ATOM	combine left-to-right; keep value invariant
SH	halten	20	PROC026|PROC027|PROC029|PROC031|PROC033|PROC058|PROC073|PROC077|PROC096|PROC099|PROC110|PROC111|PROC114|PROC122|PROC126|PROC136|PROC139|PROC141|PROC143|PROC157	PRODUCTIVE	combine left-to-right; keep value invariant
SHED	absetzen	3	PROC078|PROC128|PROC142	PRODUCTIVE	combine left-to-right; keep value invariant
SOLK	auffangen	5	PROC087|PROC098|PROC105|PROC164|PROC170	PRODUCTIVE	combine left-to-right; keep value invariant
T	eintragen	9	PROC004|PROC007|PROC010|PROC026|PROC032|PROC033|PROC049|PROC090|PROC149	PRODUCTIVE	combine left-to-right; keep value invariant
TALAM	verwahren	1	PROC043	LEARNED_ATOM	combine left-to-right; keep value invariant
Y	dies	60	PROC001|PROC004|PROC007|PROC008|PROC010|PROC011|PROC014|PROC015|PROC018|PROC019|PROC023|PROC028|PROC029|PROC030|PROC031|PROC033|PROC035|PROC036|PROC039|PROC040|PROC042|PROC044|PROC046|PROC049|PROC053|PROC056|PROC059|PROC060|PROC065|PROC075|PROC083|PROC085|PROC087|PROC090|PROC092|PROC095|PROC101|PROC104|PROC107|PROC109|PROC110|PROC116|PROC117|PROC118|PROC122|PROC133|PROC136|PROC137|PROC143|PROC149|PROC153|PROC154|PROC155|PROC157|PROC161|PROC162|PROC164|PROC170|PROC171|PROC172	PRODUCTIVE	combine left-to-right; keep value invariant
