sample_id	owner	silent_owner_de	source_instruction_de	component_program	written_surface_sequence	literal_readback_de	surface_sources	uses_predicted_card	forward_roundtrip	backward_roundtrip
X01	H1	abgebildete Pflanze, erster Abschnitt	Maß setzen; von dort nehmen; diesen Posten kurz ansetzen; fortsetzen	AIIN|AR|OK+E+Y|OL	aiin dar okey ol	Maß; von dort; ansetzen · kurz · dies; fortsetzen	ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD	NO	PASS	PASS
X02	H3	abgebildete Kronenpflanze	diesen Posten auswringen; länger halten; den kurzen Arbeitsgang von dort abziehen	CFH+Y|SH+EE+Y|CH+E+O+AR	cfhy shey cheoar	auswringen · dies; halten · länger · dies; abziehen · kurz · Arbeitsgang · von dort	ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD	NO	PASS	PASS
X03	H4	abgebildete breitblättrige Pflanze	eine Portion nehmen; kurzen Abzugsgang ansetzen; Zielstelle setzen; länger halten und schließen	AIN|OK+CH+E+O|AL|SH+EE+DY	dain chokcheo al sheedy	Portion; ansetzen · abziehen · kurz · Arbeitsgang; Zielstelle; halten · länger · Schluss	ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD	NO	PASS	PASS
X04	H5	abgebildete mehrköpfige Pflanze	danach eine Portion; diesen Posten vollständig ansetzen; verwahren	OT+AIN|OK+EEE+Y|TALAM	otain okeeey talam	danach · Portion; ansetzen · vollständig · dies; verwahren	PREDICTED_COMPOSITION|PREDICTED_COMPOSITION|ATTESTED_CARD	YES	PASS	PASS
X05	B1	gemeinsame Figuren-/Beckenstation	Portion ansetzen; Zielstelle setzen; kurz durch den Durchlass führen und schließen	OK+AIN|AL|L+CKH+E+DY	okain al lcheckhedy	ansetzen · Portion; Zielstelle; führen · Durchlass · kurz · Schluss	ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD	NO	PASS	PASS
X06	B1	gemeinsame Figuren-/Beckenstation	mit dem Maß fortsetzen; kurz wärmen und schließen	OL+AIIN|CHK+E+DY	olaiin chekdy	fortsetzen · Maß; wärmen · kurz · Schluss	PREDICTED_COMPOSITION|PREDICTED_COMPOSITION	YES	PASS	PASS
X07	B2	lokale f82r-Station	danach diesen Posten kurz nehmen; kurz auffangen und schließen	OT+E+Y|SOLK+E+DY	otey solkedy	danach · kurz · dies; auffangen · kurz · Schluss	PREDICTED_COMPOSITION|PREDICTED_COMPOSITION	YES	PASS	PASS
X08	B2	lokale f82r-Station	danach den Lauf nehmen; vollständig halten und schließen	OT+AIR|SH+EEE+DY	otair sheeedy	danach · Lauf; halten · vollständig · Schluss	PREDICTED_COMPOSITION|PREDICTED_COMPOSITION	YES	PASS	PASS
X09	B3	lokale f83r-Rand-/Gefäßstation	diesen Posten ansetzen, befestigen und schließen	OK+Y+LD+DY	qokylddy	ansetzen · dies · befestigen · Schluss	ATTESTED_CARD	NO	PASS	PASS
X10	B4	lokale f83r-Hauptstation	zweite Sollstufe; diesen Posten länger ansetzen; fortsetzen	DA+IIN|OK+EE+Y|LS	daiiin okeey ls	zweite · Sollstufe; ansetzen · länger · dies; fortsetzen	ATTESTED_CARD|ATTESTED_CARD|ATTESTED_CARD	NO	PASS	PASS
X11	B5	linker f83r-Nachtrag	Arbeitsfach; Maß; an der Zielstelle fortsetzen; kurz halten und schließen	OS|AIIN|OL+AL|SH+E+DY	os aiin olal dshedy	Arbeitsfach; Maß; fortsetzen · Zielstelle; halten · kurz · Schluss	ATTESTED_CARD|ATTESTED_CARD|PREDICTED_COMPOSITION|ATTESTED_CARD	YES	PASS	PASS
X12	B6	rechter f83r-Nachtrag	den Lauf fortsetzen; diesen Posten vollständig ansetzen; vollständig auffangen und schließen	OL+AIR|OK+EEE+Y|SOLK+EEE+DY	olair okeeey solkeeedy	fortsetzen · Lauf; ansetzen · vollständig · dies; auffangen · vollständig · Schluss	PREDICTED_COMPOSITION|PREDICTED_COMPOSITION|PREDICTED_COMPOSITION	YES	PASS	PASS
