edition	paragraph	at	word	value	material	material_word
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G007	daiin	C	ZL3b|f100r.13|G002	cthey
ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.1|G010	dain	B	ZL3b|f103r.1|G006	qoteey
ZL3b	f103r|f103r.1-f103r.4	ZL3b|f103r.2|G001	dain	B	ZL3b|f103r.1|G006	qoteey
ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.24|G010	dain	B		
ZL3b	f103v|f103v.17-f103v.19	ZL3b|f103v.19|G001	daiin	C	ZL3b|f103v.17|G003	qoteey
ZL3b	f104v|f104v.41-f104v.44	ZL3b|f104v.44|G001	daiin	C	ZL3b|f104v.42|G005	qoteey
ZL3b	f106r|f106r.42-f106r.47	ZL3b|f106r.43|G003	daiin	C	ZL3b|f106r.42|G005	qoteey
ZL3b	f107v|f107v.45-f107v.49	ZL3b|f107v.47|G008	daiin	C	ZL3b|f107v.46|G008	qoteey
ZL3b	f108r|f108r.8-f108r.13	ZL3b|f108r.11|G009	dain	B	ZL3b|f108r.11|G007	okaiin
ZL3b	f108r|f108r.8-f108r.13	ZL3b|f108r.12|G003	dain	B	ZL3b|f108r.11|G007	okaiin
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.6|G001	dain	B		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.8|G001	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.8|G004	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.11|G011	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.13|G009	dain	B		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.15|G008	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.18|G001	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.21|G001	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.21|G014	dain	B		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.27|G009	daiin	C		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.28|G009	dain	B		
ZL3b	f112v|f112v.39-f112v.41	ZL3b|f112v.40|G007	daiin	C	ZL3b|f112v.39|G007	qoteey
ZL3b	f112v|f112v.39-f112v.41	ZL3b|f112v.40|G011	daiin	C	ZL3b|f112v.39|G007	qoteey
ZL3b	f113r|f113r.37-f113r.38	ZL3b|f113r.38|G001	daiin	C		
ZL3b	f113r|f113r.37-f113r.38	ZL3b|f113r.38|G004	daiin	C	ZL3b|f113r.38|G003	qoteey
ZL3b	f115v|f115v.1-f115v.5	ZL3b|f115v.5|G001	dair	A		
ZL3b	f115v|f115v.13-f115v.17	ZL3b|f115v.16|G001	dain	B	ZL3b|f115v.15|G008	qoteey
ZL3b	f115v|f115v.18-f115v.20	ZL3b|f115v.19|G008	dain	B		
ZL3b	f116r|f116r.1-f116r.3	ZL3b|f116r.3|G001	dain	B	ZL3b|f116r.1|G005	qoteey
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.3|G003	daiin	C	ZL3b|f19v.3|G001	otchy
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G004	daiin	C	ZL3b|f19v.3|G001	otchy
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.4|G005	daiin	C	ZL3b|f19v.3|G001	otchy
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G003	daiin	C	ZL3b|f19v.5|G002	qoteey
ZL3b	f20r|f20r.9-f20r.13	ZL3b|f20r.12|G007	daiin	C	ZL3b|f20r.12|G006	qoteey
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.13|G006	daiin	C	ZL3b|f42v.10|G003	chy
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.13|G008	daiin	C	ZL3b|f42v.10|G003	chy
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.5|G008	daiin	C	ZL3b|f44r.5|G003	qoteey
ZL3b	f56v|f56v.1-f56v.6	ZL3b|f56v.2|G004	daiin	C	ZL3b|f56v.2|G003	qoteey
ZL3b	f56v|f56v.1-f56v.6	ZL3b|f56v.3|G005	daiin	C	ZL3b|f56v.2|G005	qoteey
