edition	paragraph	at	word	input	input_status	recipient	recipient_word
ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.25|G002	shey	qokain	UNKNOWN_INPUT		
ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.26|G004	shey	olcheedar	UNKNOWN_INPUT		
ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.26|G006	shey	lotor	UNKNOWN_INPUT		
ZL3b	f103r|f103r.40-f103r.42	ZL3b|f103r.41|G010	shey	qokeedy	UNKNOWN_INPUT		
ZL3b	f104v|f104v.41-f104v.44	ZL3b|f104v.41|G009	qotaiin	otchdy	UNKNOWN_INPUT		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.13|G010	shey	arain	UNKNOWN_INPUT		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.15|G004	shey	oteody	UNKNOWN_INPUT		
ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.21|G009	shey	chey	UNKNOWN_INPUT		
ZL3b	f114v|f114v.29-f114v.32	ZL3b|f114v.30|G006	qotaiin	otal	UNKNOWN_INPUT		
ZL3b	f116r|f116r.1-f116r.3	ZL3b|f116r.1|G002	shey	qokain	UNKNOWN_INPUT		
ZL3b	f116r|f116r.1-f116r.3	ZL3b|f116r.3|G007	shey	qo	UNKNOWN_INPUT		
ZL3b	f19v|f19v.1-f19v.7	ZL3b|f19v.5|G001	qotchy	qoteey	ASSUMED_MATERIAL	ZL3b|f19v.3|G001	otchy
ZL3b	f20r|f20r.1-f20r.4	ZL3b|f20r.2|G006	qotchy	cthody	UNKNOWN_INPUT	ZL3b|f20r.2|G003	cthey
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.11|G009	shey	teaiin	UNKNOWN_INPUT		
ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.13|G004	shey	che{cthh}y	UNKNOWN_INPUT		
