edition	paragraph	at	word	hypothesis
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G001	pcheol	⟦pcheol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G002	sheod	⟦sheod⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G003	qocpheeckhy	⟦qocpheeckhy⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G004	shodol	⟦shodol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G005	{c@132;h}da	⟦{c@132;h}da⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G006	@168;oto	⟦@168;oto⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G007	cho[?:ch]os	⟦cho[?:ch]os⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G008	sheey	⟦sheey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G009	ch{cthh'}o	⟦ch{cthh'}o⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.12|G010	s	und
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G001	dsheor	⟦dsheor⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G002	cthey	Arzneiform A
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G003	qokeey	⟦qokeey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G004	oteey	⟦oteey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G005	ykeeodain	⟦ykeeodain⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G006	[r:s]orarydaiin	⟦[r:s]orarydaiin⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G007	daiin	Masse C·Uₚ
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.13|G008	deeomchol	⟦deeomchol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G001	shor	Früchte
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G002	chkeey	⟦chkeey⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G003	qoteey	Material U
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G004	qokeody	⟦qokeody⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G005	qoteold	⟦qoteold⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G006	qokeol	⟦qokeol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G007	so	⟦so⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G008	raiin	⟦raiin⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G009	otal	⟦otal⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.14|G010	yk[eee:ech]o	⟦yk[eee:ech]o⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G001	dcheor	⟦dcheor⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G002	shol	feucht
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G003	qokeeol	⟦qokeeol⟧
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G004	chor	Blüten
ZL3b	f100r|f100r.12-f100r.15	ZL3b|f100r.15|G005	chol	getrocknet
