substitution_id	from_form	to_form	slot	status	effect_de
P01	aiin	kain	G2	GRAMMATICAL_BUT_MEANING_CHANGES	Sollmass wird zu Anteil
P02	kain	ykain	G2	SAFE_BRANCH_SPECIALIZATION	allgemeiner Anteil wird erster Anteil
P03	kain	ykan	G2	SAFE_BRANCH_SPECIALIZATION	allgemeiner Anteil wird zweiter Anteil
P04	aiin kain	ykaiin	G2	SAFE_COMPRESSION_WITH_CONTEXT	Mass plus Portion wird kompakte Sollportion
P05	cheky	ody	G3	GRAMMATICAL_OPPOSITE_PROCESS	kurzes Waermen wird Abkuehlen
P06	talam@G1	talam@G3	G1_G3	SAME_CARD_CONTEXT_SHIFT	Verwahrort lokalisiert erst Vorrat und spaeter Lagerhandlung
P07	okey	qokedy	G4	SAFE_CLOSE_ADDITION	kurzer Kontakt erhaelt einen Feldschluss
P08	qokedy	qokeedy	G4	SAFE_GRADE_CHANGE	kurzer geschlossener Kontakt wird langer geschlossener Kontakt
P09	dal	okal	G5	GRAMMATICAL_ACTION_ADDITION	blosse Zieladresse wird Ziel plus Einsetzen
P10	qoky	otal	G5	UNSAFE_SEQUENCE_CHANGE	Einsetzen am aktiven Ziel wird Wechsel zum naechsten Ziel
P11	lshedy	rshedy	G6	LOCAL_WASH_VARIANT_ONLY	Waschgangschluss wird Schluss der Waschfolge
P12	dchol	talam	G1	NOT_SUBSTITUTABLE	voriger Ansatz und Verwahrort setzen verschiedene Referenzen
