master_card_id	master_form	registered_surfaces	portable_value_de	palette_slots	palette_use_count	exercises	teaching_class	literal_atoms	memorized_body	nomenclator_drawer	master_gesture_de
MC007	okey	okey|qokey	kurz einwirken	G4	1	C_REOPEN_THREE_PACKET	FULLY_COMPOSED_FROM_OTHER_CARDS	OK+E+Y	NONE	NONE	ordinary slot card; no separate exception gesture
MC019	oldy	oldy	fertig	G6	2	B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	FULLY_COMPOSED_FROM_OTHER_CARDS	OL+CLOSE	NONE	NONE	ordinary slot card; no separate exception gesture
MC026	choky	choky|oky|qoky	einsetzen	G5	3	A_CLEAR_EXTRACT_DOUBLE_PASS|B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC038	lshedy	lshedy	Waschgang; Schluss	G6	2	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMPOSED_FRAME_PLUS_MEMORIZED_BODY	CLOSE	WASH	N4_WASH_AND_CLOSE	waschen und die Zelle sichtbar schliessen
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollmaß	G2	3	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC040	okal	okal|qokal	dorthin einsetzen	G5	2	B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC047	ykain	ykain	erste Portion	G2	1	B_STOCK_TWO_TARGET	FULLY_COMPOSED_FROM_OTHER_CARDS	Y+AIN	NONE	NONE	ordinary slot card; no separate exception gesture
MC059	dain	dain	Einlage	G3	2	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	MEMORIZED_WHOLE_CARD	NONE	DAIN	N1_MATERIAL_AND_TOOL	ein gefaltetes Tuch in die Oeffnung legen
MC074	chdy	chdy|chedy	überführen	G4	2	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC082	qokeedy	qokeedy	lange einwirken; Schluss	G4	1	A_CLEAR_EXTRACT_DOUBLE_PASS	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC083	qokedy	qokedy	kurz einwirken; Schluss	G4	1	B_STOCK_TWO_TARGET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
