use_order	exercise	field	token_order	micro_packet	grammar_slot	master_card_id	surface	value_de
1	A_CLEAR_EXTRACT_DOUBLE_PASS	1	1	NOT_EXPLICIT_IN_R180	G1	MC142	dchol	vom vorigen
2	A_CLEAR_EXTRACT_DOUBLE_PASS	1	2	NOT_EXPLICIT_IN_R180	G2	MC119	shey	Klarauszug
3	A_CLEAR_EXTRACT_DOUBLE_PASS	1	3	NOT_EXPLICIT_IN_R180	G2	MC039	aiin	Sollmaß
4	A_CLEAR_EXTRACT_DOUBLE_PASS	2	4	NOT_EXPLICIT_IN_R180	G3	MC147	cheky	kurz wärmen
5	A_CLEAR_EXTRACT_DOUBLE_PASS	2	5	NOT_EXPLICIT_IN_R180	G3	MC059	dain	Einlage
6	A_CLEAR_EXTRACT_DOUBLE_PASS	2	6	NOT_EXPLICIT_IN_R180	G4	MC074	chedy	überführen
7	A_CLEAR_EXTRACT_DOUBLE_PASS	2	7	NOT_EXPLICIT_IN_R180	G4	MC082	qokeedy	lange einwirken; Schluss
8	A_CLEAR_EXTRACT_DOUBLE_PASS	3	8	NOT_EXPLICIT_IN_R180	G4	MC143	shckhedy	durchlassen; Schluss
9	A_CLEAR_EXTRACT_DOUBLE_PASS	4	9	NOT_EXPLICIT_IN_R180	G4	MC143	shckhedy	durchlassen; Schluss
10	A_CLEAR_EXTRACT_DOUBLE_PASS	5	10	NOT_EXPLICIT_IN_R180	G2	MC105	kain	Anteil
11	A_CLEAR_EXTRACT_DOUBLE_PASS	5	11	NOT_EXPLICIT_IN_R180	G5	MC154	dal	dorthin
12	A_CLEAR_EXTRACT_DOUBLE_PASS	5	12	NOT_EXPLICIT_IN_R180	G5	MC026	qoky	einsetzen
13	A_CLEAR_EXTRACT_DOUBLE_PASS	5	13	NOT_EXPLICIT_IN_R180	G6	MC038	lshedy	Waschgang; Schluss
14	B_STOCK_TWO_TARGET	1	1	NOT_EXPLICIT_IN_R180	G1	MC160	talam	Verwahrort
15	B_STOCK_TWO_TARGET	1	2	NOT_EXPLICIT_IN_R180	G1	MC142	dchol	vom vorigen
16	B_STOCK_TWO_TARGET	1	3	NOT_EXPLICIT_IN_R180	G2	MC170	ykaiin	Sollportion
17	B_STOCK_TWO_TARGET	1	4	NOT_EXPLICIT_IN_R180	G2	MC152	ches	Teilen
18	B_STOCK_TWO_TARGET	2	5	NOT_EXPLICIT_IN_R180	G2	MC047	ykain	erste Portion
19	B_STOCK_TWO_TARGET	2	6	NOT_EXPLICIT_IN_R180	G3	MC100	ody	Abkühlen
20	B_STOCK_TWO_TARGET	2	7	NOT_EXPLICIT_IN_R180	G3	MC160	talam	Verwahrort
21	B_STOCK_TWO_TARGET	2	8	NOT_EXPLICIT_IN_R180	G6	MC019	oldy	fertig
22	B_STOCK_TWO_TARGET	3	9	NOT_EXPLICIT_IN_R180	G2	MC148	ykan	zweite Portion
23	B_STOCK_TWO_TARGET	3	10	NOT_EXPLICIT_IN_R180	G3	MC147	cheky	kurz wärmen
24	B_STOCK_TWO_TARGET	3	11	NOT_EXPLICIT_IN_R180	G5	MC040	okal	dorthin einsetzen
25	B_STOCK_TWO_TARGET	3	12	NOT_EXPLICIT_IN_R180	G4	MC083	qokedy	kurz einwirken; Schluss
26	B_STOCK_TWO_TARGET	4	13	NOT_EXPLICIT_IN_R180	G5	MC107	qotchy	Folgeposten
27	B_STOCK_TWO_TARGET	4	14	NOT_EXPLICIT_IN_R180	G5	MC093	otal	danach dorthin
28	B_STOCK_TWO_TARGET	4	15	NOT_EXPLICIT_IN_R180	G5	MC026	qoky	einsetzen
29	B_STOCK_TWO_TARGET	4	16	NOT_EXPLICIT_IN_R180	G6	MC084	rshedy	Waschschluss
30	C_REOPEN_THREE_PACKET	1	1	1	G1	MC142	dchol	vom vorigen
31	C_REOPEN_THREE_PACKET	1	2	1	G2	MC039	aiin	Sollmaß
32	C_REOPEN_THREE_PACKET	1	3	1	G3	MC147	cheky	kurz wärmen
33	C_REOPEN_THREE_PACKET	1	4	1	G5	MC040	okal	dorthin einsetzen
34	C_REOPEN_THREE_PACKET	1	5	1	G4	MC007	okey	kurz einwirken
35	C_REOPEN_THREE_PACKET	1	6	2	G2	MC105	kain	Anteil
36	C_REOPEN_THREE_PACKET	1	7	2	G4	MC074	chedy	überführen
37	C_REOPEN_THREE_PACKET	1	8	2	G5	MC154	dal	dorthin
38	C_REOPEN_THREE_PACKET	1	9	3	G2	MC119	shey	Klarauszug
39	C_REOPEN_THREE_PACKET	1	10	3	G2	MC039	aiin	Sollmaß
40	C_REOPEN_THREE_PACKET	1	11	3	G3	MC059	dain	Einlage
41	C_REOPEN_THREE_PACKET	1	12	3	G4	MC143	shckhedy	durchlassen; Schluss
42	C_REOPEN_THREE_PACKET	2	13	1	G5	MC107	qotchy	Folgeposten
43	C_REOPEN_THREE_PACKET	2	14	1	G5	MC093	otal	danach dorthin
44	C_REOPEN_THREE_PACKET	2	15	1	G5	MC026	qoky	einsetzen
45	C_REOPEN_THREE_PACKET	2	16	1	G6	MC038	lshedy	Waschgang; Schluss
46	C_REOPEN_THREE_PACKET	3	17	1	G2	MC105	kain	Anteil
47	C_REOPEN_THREE_PACKET	3	18	1	G3	MC160	talam	Verwahrort
48	C_REOPEN_THREE_PACKET	3	19	1	G6	MC019	oldy	fertig
