order_mark_id	component_recipe	identity	surface	order_id	master_section	page	stage	unit	unit_position	position_index	unit_length	left_surface	right_surface	q_carrier	selector_feature_set	selector_key	predicted_surface	selector_match	renderer_microfunction	intended_trigger_de	revised_selector	revised_selector_key	revised_predicted_surface	revised_match
WH01-R013	OL	PROC013	ol	WH01	WHAT	f10r	MAKE_A.G2	H1-S002	MIDDLE	3	4	qotchol	checthy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R020	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	5	19	char	kain	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R023	AL	PROC055	dal	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	8	19	olkain	ol	NO	MEMORIZED_IDENTITY	PROC055	dal	YES	DEFAULT_TARGET	die gewöhnliche Zielstelle	INTENDED_MICROFUNCTION	DEFAULT_TARGET	dal	YES
WH01-R024	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	9	19	dal	rol	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R028	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S002	MIDDLE	13	19	olor	sheckhal	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R034	CHD+DY	PROC076	schedy	WH01	HOW	f81v	APPLY_B1	B1-S002	LAST	19	19	chckhy	UNIT_END	NO	UNIT	B1-S002	schedy	YES	DEFAULT_TRANSFER_CLOSE	den gewöhnlichen Umsetzschritt schließen	INTENDED_MICROFUNCTION	DEFAULT_TRANSFER_CLOSE	schedy	YES
WH01-R035	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S003	FIRST	1	2	UNIT_START	sshkchdy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R038	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S004	MIDDLE	2	3	chedy	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R046	Y	PROC019	chey	WH01	HOW	f81v	APPLY_B1	B1-S008	FIRST	1	5	UNIT_START	ol	NO	MEMORIZED_IDENTITY	PROC019	chey	YES	MATERIAL_OR_QUALITY_REFERENT	den aktuellen Stoff- oder Qualitätsposten tragen	INTENDED_MICROFUNCTION	MATERIAL_OR_QUALITY_REFERENT	chey	YES
WH01-R047	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S008	MIDDLE	2	5	chey	cheky	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R049	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S008	MIDDLE	4	5	cheky	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R062	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S014	MIDDLE	4	5	lchedal	otar	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
WH01-R068	OL	PROC013	ol	WH01	HOW	f81v	APPLY_B1	B1-S016	MIDDLE	3	4	qokeey	shedy	NO	MEMORIZED_IDENTITY	PROC013	ol	YES	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	INTENDED_MICROFUNCTION	GENERAL_CONTINUATION	ol	YES
