identity	surface	old_default_de	new_whole_word_de	order_id	master_unit_id	unit	page	owner_de	left_value_de	right_value_de	complete_reading_de
PROC077	sshkchdy	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	NACHMISCHEN UND SCHLIESSEN	WH01	MU005	B1-S003	f81v	gemeinsame zweireihige Figuren-/Beckenstation	WEITER	UNIT_END	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
PROC081	ral	KUEHLEN · ZIELSTELLE	ZIELKUEHLEN	WH01	MU008	B1-S006	f81v	gemeinsame zweireihige Figuren-/Beckenstation	WEITERLEITEN	UNIT_END	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
PROC084	lsho	SPUELEN · ARBEITSGANG	SPUELEN	WH01	MU014	B1-S012	f81v	gemeinsame zweireihige Figuren-/Beckenstation	UNIT_START	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.
PROC090	ytey	BEARBEITEN · EIN KURZER ARBEITSGANG · POSTEN	KURZ BEARBEITEN	WH01	MU017	B1-S015	f81v	gemeinsame zweireihige Figuren-/Beckenstation	UNIT_START	ANSETZEN · UMSETZEN · SCHLUSS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.
PROC110	sheckhy	HALTEN · EIN KURZER ARBEITSGANG · DURCHLASS · POSTEN	KURZ IM DURCHLASS HALTEN	WH02	MU034	B2-S006	f82r	oberes Beckenpaar mit Zylinder	ANSETZEN · ZIELSTELLE	ANSETZEN · POSTEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
PROC113	qokar	ANSETZEN · QUELLE	AUS DER QUELLE ANSETZEN	WH02	MU036	B2-S008	f82r	mittleres linkes Handgerät mit Inline-Knoten	DANACH · EIN KLEINER SCHOEPFBECHER	STEHENLASSEN · SCHLUSS	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
PROC115	ls	WEITERARBEITEN	WEITERARBEITEN	WH02	MU038	B2-S010	f82r	mittleres linkes Handgerät mit Inline-Knoten	ANSETZEN · POSTEN	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.
PROC122	tshey	HALTEN · EIN KURZER ARBEITSGANG · POSTEN	KURZ HALTEN	WH02	MU043	B2-S015	f82r	kleine Randstationen des unteren Beckens	UNIT_START	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.
PROC132	chkeedy	WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	LANG ERWAERMEN UND SCHLIESSEN	WH03	MU055	B3-S002	f83r	obere offene Fächerstation am Rand	DANACH · ZIELSTELLE	UNIT_END	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.
PROC133	chedchy	UMSETZEN · POSTEN	POSTEN UMSETZEN	WH03	MU059	B3-S006	f83r	mittlere Randfigur im runden Gefäß	UNIT_START	ANSETZEN · ZIELSTELLE	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.
PROC134	pchedal	EINBRINGEN · UMSETZEN · ZIELSTELLE	AN DER ZIELSTELLE EINBRINGEN	WH03	MU063	B3-S010	f83r	untere Randfigur im korbartigen Gefäß	UNIT_START	KURZEN FOLGESCHRITT SCHLIESSEN	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.
PROC140	lo	LEITEN · ARBEITSGANG	IM ARBEITSGANG LEITEN	WH03	MU069	B3-S016	f83r	untere Randfigur im korbartigen Gefäß -> unverbundener Zwischenbereich	UNIT_START	ANSETZEN · UMSETZEN · SCHLUSS	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.
PROC149	cheeety	BIS DER GANZE POSTEN ERFASST IST · BEARBEITEN · POSTEN	VOLLSTAENDIG DURCHARBEITEN	WH03	MU082	B3-S029	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	WEITER	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.
PROC150	schedair	DAS WASSER UMSETZEN	WASSER UMSETZEN	WH03	MU083	B3-S030	f83r	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	EIN KLEINER SCHOEPFBECHER	DANACH UMSETZEN UND SCHLIESSEN	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.
