master_card_id	joint_tuple_id	master_head_form	registered_surface_family	registered_surface_count	short_meaning_de	component_reading	macro_id	encoder_mode	paradigm_rule_id	observed_occurrences	dossiers	master_copy_rule_de	reader_rule_de
MC001	00d8ebe3c68294eeac39	chdal	chdal	1	dort umsetzen	CHD_TRANSFER+AL_TO	M06	COMPOSE_FROM_COMPONENTS	NONE	1	D3_STORED_APPLICATION_THREE_WHEELS	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC002	0275fbf14e07935b0a45	okeey	okeey|qokeey	2	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	M07	PARADIGM_RULE	P15	7	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC003	03626ca94cb17800d767	sheedy	sheedy	1	länger absetzen; Schluss	SHED_SETTLE+GRADE_2+DY_CLOSE	M07	PARADIGM_RULE	P26	1	D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC004	04a3877f0fc81b7597c9	ldy	ldy	1	abziehen; Ende	L_OUT+CLOSE_EXACT	M06	COMPOSE_FROM_COMPONENTS	NONE	2	D2_CLEAR_EXTRACT_STAR_ATLAS;D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC005	07913ef9b1fb773cd325	okchedy	okchedy|qokchedy	2	umsetzen; Schluss	OK+CHED_TRANSFER+CLOSE	M06	COMPOSE_FROM_COMPONENTS	NONE	2	D1_ROOT_BATH_RIGHT_WHEEL;D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC006	087a47b5423438cd6b6a	chokcheo	chokcheo	1	Auszug zugeben	CH_RENDERER+OK_ADD+CHEO_EXTRACT	M03	COMPOSE_FROM_COMPONENTS	NONE	1	D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC007	08bd5ca0c2ad137a056d	okey	okey|qokey	2	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	M07	PARADIGM_RULE	P14	2	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC008	0ab57b7166de99db3a55	lchy	lchy	1	abziehen	LCH_WITHDRAW+Y_ITEM	M06	COMPOSE_FROM_COMPONENTS	NONE	1	D2_CLEAR_EXTRACT_STAR_ATLAS	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC009	0bdc8b6db811b4e67a63	chary	chary	1	daraus	AR_FROM+Y_CURRENT	M05	COMPOSE_FROM_COMPONENTS	NONE	1	D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
MC010	0ec6a45e2950e8e7061d	chodaly	chodaly	1	Zutat dorthin	HO_INGREDIENT+AL_TO+Y_ITEM	M01	COMPOSE_FROM_COMPONENTS	NONE	1	D4_FRESH_PLANT_LEFT_WHEEL	Meisterkopf wählen; Schreiber darf nur eine Form aus der registrierten Familie einsetzen	sichtbare Form direkt zur Meisterkarte zurückschlagen; danach Komponenten und Kurzsinn lesen
