statement_id	scribe_id	visible_surface_sequence	decoded_master_card_sequence	decoded_master_head_sequence	decoded_tuple_sequence	expected_tuple_sequence	decoded_meaning_sequence_de	expected_meaning_sequence_de	tuple_roundtrip	meaning_roundtrip	context_used_for_card_identity
H1-S001	S1_BARE_MASTER	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chety os chair otytchol choky aiin etyd	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	PASS	PASS	NO
H1-S001	S2_Q_CELL_SCRIBE	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chety os chair otytchol choky aiin etyd	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	PASS	PASS	NO
H1-S001	S3_S_LINE_SCRIBE	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chety os chair otytchol choky aiin etyd	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	PASS	PASS	NO
H1-S001	S4_MIXED_COMPACT	dchey cthoor dar chty os chair otytchol oky saiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chety os chair otytchol choky aiin etyd	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	PASS	PASS	NO
H1-S002	S1_BARE_MASTER	chokchy qotchol cheol checthy	MC103 MC163 MC153 MC161	chokchy qotchol cheol checthy	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	PASS	PASS	NO
H1-S002	S2_Q_CELL_SCRIBE	chokchy qotchol cheol checthy	MC103 MC163 MC153 MC161	chokchy qotchol cheol checthy	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	PASS	PASS	NO
H1-S002	S3_S_LINE_SCRIBE	chokchy qotchol cheol shcthy	MC103 MC163 MC153 MC161	chokchy qotchol cheol checthy	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	PASS	PASS	NO
H1-S002	S4_MIXED_COMPACT	okchy qotchol ol cthy	MC103 MC163 MC153 MC161	chokchy qotchol cheol checthy	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	PASS	PASS	NO
H2-S001	S1_BARE_MASTER	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	PASS	PASS	NO
H2-S001	S2_Q_CELL_SCRIBE	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	PASS	PASS	NO
