statement_id	record_unit_id	page	loci	event_count	original_surface_sequence	master_head_sequence	master_card_sequence	tuple_sequence	card_meaning_sequence_de	macro_sequence	fluent_workshop_reading_de	normalized_token_changes	reverse_reading_status
H1-S001	H1	f10r	f10r.2	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	M01>M08>M05>M04>M05>M06>M04>M07>M04	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H1-S002	H1	f10r	f10r.5	4	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	MC103 MC163 MC153 MC161	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	M07>M02>M08	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H2-S001	H2	f10r	f10r.6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	M03>M08>M03>M04>M08>M02>M04>M02	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	5	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H2-S002	H2	f10r	f10r.8	8	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	10488b911aae52b3b334 7a4bb8136330ee4e6e56 497cbd9c7401810ff56b dcda95c81a5460feb191 dec401773c1f0347793d dcda95c81a5460feb191 2f1c5e56e8f0ff459065 4d4559019a961b834aa1	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> daraus	M03>M02>M03>M02>M04>M05	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	5	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H2-S003	H2	f10r	f10r.9	7	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	MC027 MC080 MC080 MC123 MC048 MC123 MC087	27d97af8c96eb056c2e6 7a4bb8136330ee4e6e56 7a4bb8136330ee4e6e56 b921a237be883a820352 409de02322e7b2ca0c62 b921a237be883a820352 834825c61d048a6b5628	Gefaess -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	M05>M03>M02>M04>M02>M04	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H3-S001	H3	f11r	f11r.1	7	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098 MC049 MC129 MC111 MC156 MC119 MC037	953ad19b79517fc8a211 428a5e3662aa57b4b256 bdad9f9ea8b80f141496 a8af08e69edab8e54f15 deb377381ceaf55ea310 b5df9126607030b95175 2e2027b1951d79911e24	Zutat entnehmen -> Zutat dorthin -> auswringen -> Standmaß -> nachseihen -> Klarlauf -> kalt stellen	M06>M01>M07>M04>M07>M08>M07>M09	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H3-S002	H3	f11r	f11r.1	1	shoyty	shoyty	MC062	577c03a928d674d420d7	Zutatenteil	M04	Lege einen Zutatenteil zurueck.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H3-S003	H3	f11r	f11r.4	5	dchol chy kchy dy daiin	dchol chey kchy chey aiin	MC142 MC123 MC117 MC123 MC039	d665560c8ff80799a82c b921a237be883a820352 b2812c8283c3a62438bd b921a237be883a820352 2f1c5e56e8f0ff459065	Voriges -> dieser Posten -> diesen Posten bearbeiten -> dieser Posten -> Sollmaß	M02>M07>M02>M04	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H3-S004	H3	f11r	f11r.7	4	qotchy okchol cthy dy	qotchy okchol checthy chey	MC107 MC041 MC161 MC123	a48efd6c4491a046ba78 322281bd391aa621f568 e0b630cb1b5df5e7105b b921a237be883a820352	Folgeposten -> Fortsetzung einsetzen -> bereit -> dieser Posten	M02>M07>M08>M02	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H4-S001	H4	f55v	f55v.5	5	qokaiin chaiin ykain ykan ody	okaiin aiin ykain ykan ody	MC120 MC039 MC047 MC148 MC100	b5fcea1eaed06b2f2291 2f1c5e56e8f0ff459065 403c1592f918c8f23b88 d929a14ec45749b2e805 97cc9ac109148723c472	auf Sollmaß einstellen -> Sollmaß -> Postenportion -> dieser Anteil -> kühlen	M04>M07>M09	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H4-S002	H4	f55v	f55v.5	3	daiin chedy talam	aiin chdy talam	MC039 MC074 MC160	2f1c5e56e8f0ff459065 6f7ff8287eddf4da9fdb e026af581c99322fbd46	Sollmaß -> umsetzen -> am Ziel verwahren	M04>M06>M05	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H4-S003	H4	f55v	f55v.11	4	ykaiin cheoar cheeky oldy	ykaiin cheoar cheeky oldy	MC170 MC085 MC032 MC019	f7dc90b2c31fd341f0a4 807591efc3d3f7ddbfab 2c1a5fd92b9e3c762242 1b1ffdd869fb1429ad03	Postenmaß -> Auszug entnehmen -> länger wärmen -> fortsetzen; Schluss	M04>M03>M07>M02>M09	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H4-S004	H4	f55v	f55v.11	6	aiin okal oltchy or y orain	aiin okal oltchy chor chey orain	MC039 MC040 MC021 MC080 MC123 MC072	2f1c5e56e8f0ff459065 308e8ea2d5d190c498e8 204b04837409088c48f9 7a4bb8136330ee4e6e56 b921a237be883a820352 6afeb5c9ab9f6cbdea0d	Sollmaß -> dort ansetzen -> bereit weiterfuehren -> Ansatz -> dieser Posten -> Ansatzportion	M04>M07>M08>M03>M02>M04	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H5-S001	H5	f56r	f56r.5|f56r.7	9	chochor cho chodaly daiin sho kchol otchor choky dal	chochor cho chodaly aiin cho kchol otchor choky al	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	b9d7b6d68209a9019e7a 2cc054357a929df85f64 0ec6a45e2950e8e7061d 2f1c5e56e8f0ff459065 2cc054357a929df85f64 893c570f3fa3fce99711 10488b911aae52b3b334 276a7c2d74d1143446f4 dd0ecaf5e27d81befffc	Zutatenansatz -> Zutat -> Zutat dorthin -> Sollmaß -> Zutat -> weiter bearbeiten -> Folgeansatz -> Posten ansetzen -> dorthin	M03>M01>M04>M01>M07>M03>M07>M05	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
