locus_row	page	diagram_id	locus	namespace_id	visible_owner	owner_status	group_count	opaque_group_ids	loop_trace	local_unit_default_de	orientation	cross_instrument_join	next_locus_rule
1	f67r2	A1	f67r2.1	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	DIRECT_VISIBLE	3	A1:G001|A1:G002|A1:G003	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R01: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
2	f67r2	A1	f67r2.2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	DIRECT_VISIBLE	3	A1:G004|A1:G005|A1:G006	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R02: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
3	f67r2	A1	f67r2.3	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	DIRECT_VISIBLE	3	A1:G007|A1:G008|A1:G009	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R03: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
4	f67r2	A1	f67r2.4	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	DIRECT_VISIBLE	2	A1:G010|A1:G011	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R04: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
5	f67r2	A1	f67r2.5	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	DIRECT_VISIBLE	2	A1:G012|A1:G013	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R05: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
6	f67r2	A1	f67r2.6	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_06	DIRECT_VISIBLE	1	A1:G014	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R06: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
7	f67r2	A1	f67r2.7	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	DIRECT_VISIBLE	3	A1:G015|A1:G016|A1:G017	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
8	f67r2	A1	f67r2.8	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_08	DIRECT_VISIBLE	1	A1:G018	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R08: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
9	f67r2	A1	f67r2.9	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	DIRECT_VISIBLE	2	A1:G019|A1:G020	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R09: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
10	f67r2	A1	f67r2.10	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	DIRECT_VISIBLE	3	A1:G021|A1:G022|A1:G023	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
11	f67r2	A1	f67r2.11	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	DIRECT_VISIBLE	3	A1:G024|A1:G025|A1:G026	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R11: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
12	f67r2	A1	f67r2.12	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	DIRECT_VISIBLE	2	A1:G027|A1:G028	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R12: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	RESET_AND_LOCATE_AFRESH
13	f67r2	A1	f67r2.13	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	INHERITED_VISIBLE	4	A1:G029|A1:G030|A1:G031|A1:G032	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, Ringband R01: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	RESET_AND_LOCATE_AFRESH
14	f67r2	A1	f67r2.14	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	INHERITED_VISIBLE	3	A1:G033|A1:G034|A1:G035	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Rechtes f67r2-Rad, Ringband R02: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	RESET_AND_LOCATE_AFRESH
15	f67r2	A1	f67r2.15	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_15	INHERITED_VISIBLE	1	A1:G036	START>LOCATED>LABEL_OPEN>LABEL_COPIED>RECORDED>RESET	Linkes f67r2-Rad, lokales Radial- oder Ringfeld L15: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	RESET_AND_LOCATE_AFRESH
