group_serial	page	diagram_id	locus	group_in_locus	opaque_group_id	namespace_id	visible_owner	compiler_track	locate_step	read_step	record_step	orientation	crosspage_join	prose_primitive_import	creative_page_default
1	f67r2	A1	f67r2.1	1	A1:G001	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.1 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
2	f67r2	A1	f67r2.1	2	A1:G002	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.1 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
3	f67r2	A1	f67r2.1	3	A1:G003	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.1 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
4	f67r2	A1	f67r2.2	1	A1:G004	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.2 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
5	f67r2	A1	f67r2.2	2	A1:G005	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.2 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
6	f67r2	A1	f67r2.2	3	A1:G006	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.2 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
7	f67r2	A1	f67r2.3	1	A1:G007	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.3 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
8	f67r2	A1	f67r2.3	2	A1:G008	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.3 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
9	f67r2	A1	f67r2.3	3	A1:G009	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_03	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.3 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
10	f67r2	A1	f67r2.4	1	A1:G010	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.4 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
