candidate	orientation	A	B	C	D	phase_prediction_class	observed_prediction_class	ZL3b_DISCOVERY_cases	ZL3b_DISCOVERY_contradictions	ZL3b_ADDITIONAL_cases	ZL3b_ADDITIONAL_contradictions	IT2a_DISCOVERY_cases	IT2a_DISCOVERY_contradictions	IT2a_ADDITIONAL_cases	IT2a_ADDITIONAL_contradictions	RF1b_DISCOVERY_cases	RF1b_DISCOVERY_contradictions	RF1b_ADDITIONAL_cases	RF1b_ADDITIONAL_contradictions	independent_meaning_confirmation
M001	CF	DEW	RAIN	HOAR_FROST	SNOW	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M002	CF	DEW	RAIN	HOAR_FROST	HAIL	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M003	CF	DEW	RAIN	SNOW	HOAR_FROST	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M004	CF	DEW	RAIN	SNOW	HAIL	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M005	CF	DEW	RAIN	HAIL	HOAR_FROST	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M006	CF	DEW	RAIN	HAIL	SNOW	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M007	CF	DEW	HOAR_FROST	RAIN	SNOW	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M008	CF	DEW	HOAR_FROST	RAIN	HAIL	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M009	CF	DEW	HOAR_FROST	SNOW	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M010	CF	DEW	HOAR_FROST	SNOW	HAIL	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M011	CF	DEW	HOAR_FROST	HAIL	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M012	CF	DEW	HOAR_FROST	HAIL	SNOW	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M013	CF	DEW	SNOW	RAIN	HOAR_FROST	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M014	CF	DEW	SNOW	RAIN	HAIL	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M015	CF	DEW	SNOW	HOAR_FROST	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M016	CF	DEW	SNOW	HOAR_FROST	HAIL	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M017	CF	DEW	SNOW	HAIL	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M018	CF	DEW	SNOW	HAIL	HOAR_FROST	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M019	CF	DEW	HAIL	RAIN	HOAR_FROST	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M020	CF	DEW	HAIL	RAIN	SNOW	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M021	CF	DEW	HAIL	HOAR_FROST	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M022	CF	DEW	HAIL	HOAR_FROST	SNOW	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M023	CF	DEW	HAIL	SNOW	RAIN	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M024	CF	DEW	HAIL	SNOW	HOAR_FROST	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M025	CF	RAIN	DEW	HOAR_FROST	SNOW	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M026	CF	RAIN	DEW	HOAR_FROST	HAIL	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M027	CF	RAIN	DEW	SNOW	HOAR_FROST	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M028	CF	RAIN	DEW	SNOW	HAIL	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M029	CF	RAIN	DEW	HAIL	HOAR_FROST	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M030	CF	RAIN	DEW	HAIL	SNOW	E12	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M031	CF	RAIN	HOAR_FROST	DEW	SNOW	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M032	CF	RAIN	HOAR_FROST	DEW	HAIL	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M033	CF	RAIN	HOAR_FROST	SNOW	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M034	CF	RAIN	HOAR_FROST	SNOW	HAIL	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M035	CF	RAIN	HOAR_FROST	HAIL	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M036	CF	RAIN	HOAR_FROST	HAIL	SNOW	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M037	CF	RAIN	SNOW	DEW	HOAR_FROST	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M038	CF	RAIN	SNOW	DEW	HAIL	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M039	CF	RAIN	SNOW	HOAR_FROST	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M040	CF	RAIN	SNOW	HOAR_FROST	HAIL	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M041	CF	RAIN	SNOW	HAIL	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M042	CF	RAIN	SNOW	HAIL	HOAR_FROST	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M043	CF	RAIN	HAIL	DEW	HOAR_FROST	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M044	CF	RAIN	HAIL	DEW	SNOW	E10	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M045	CF	RAIN	HAIL	HOAR_FROST	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M046	CF	RAIN	HAIL	HOAR_FROST	SNOW	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M047	CF	RAIN	HAIL	SNOW	DEW	E09	O02	7	C001,C002,C007	0	NONE	7	C008,C009,C014	0	NONE	3	C015,C016	0	NONE	NONE
M048	CF	RAIN	HAIL	SNOW	HOAR_FROST	E08	O04	7	C004,C007	0	NONE	7	C011,C014	0	NONE	3	NONE	0	NONE	NONE
M049	CF	HOAR_FROST	DEW	RAIN	SNOW	E06	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
M050	CF	HOAR_FROST	DEW	RAIN	HAIL	E06	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
M051	CF	HOAR_FROST	DEW	SNOW	RAIN	E05	O01	7	C001,C002,C003,C005,C006	0	NONE	7	C008,C009,C010,C012,C013	0	NONE	3	C015,C016,C017	0	NONE	NONE
M052	CF	HOAR_FROST	DEW	SNOW	HAIL	E04	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
M053	CF	HOAR_FROST	DEW	HAIL	RAIN	E05	O01	7	C001,C002,C003,C005,C006	0	NONE	7	C008,C009,C010,C012,C013	0	NONE	3	C015,C016,C017	0	NONE	NONE
M054	CF	HOAR_FROST	DEW	HAIL	SNOW	E04	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
M055	CF	HOAR_FROST	RAIN	DEW	SNOW	E06	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
M056	CF	HOAR_FROST	RAIN	DEW	HAIL	E06	O03	7	C003,C004,C005,C006	0	NONE	7	C010,C011,C012,C013	0	NONE	3	C017	0	NONE	NONE
