target_ordinal	surface	final_recipe	pair_ordinal	ordered_pair	old_event_count	old_example_surfaces	interface_status	guard
4	axor	A_ADDR+LOCAL_X+OR	1	A_ADDR>LOCAL_X	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
4	axor	A_ADDR+LOCAL_X+OR	2	LOCAL_X>OR	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
8	chcpheor	CH+CH+P+E+OR	1	CH>CH	36	chchs|chckhal|chckhdy|chckheed|chckhey|chcphdy|chcphedy|chcphey|chcphy|chcth|chcthdy|chcthedy|chcthey|chcthol|chcthy|chcthykedy|cheocphey|lchcphedy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
8	chcpheor	CH+CH+P+E+OR	2	CH>P	39	chcphdy|chcphedy|chcphey|chcphy|checphedy|cheocphey|cheocphy|chlchpsheey|chpchy|chpor|chpsheedy|cphal|cphaldy|cphar|cphealy|cphedy|cpheeedol|cpheody|cphesaiin|cphey|cpho|cphodaiils|cphodal|cphol|cphor|cphoy|cphy|lchcphedy|lchpchdy|ocphoraiin|qocphey|shecphy|shocphedy|ychocphy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
8	chcpheor	CH+CH+P+E+OR	3	P>E	16	chcphedy|chcphey|checphedy|cheocphey|cphealy|cphedy|cpheody|cphesaiin|cphey|lchcphedy|opedy|qocphey|qopchey|shocphedy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
8	chcpheor	CH+CH+P+E+OR	4	E>OR	23	cheokor|cheolor|chkeor|keor|oeor|okeor|okoeor|opcheor|oteor|qoekeor|qokeor|qoteor|sheor|ykeor|ysheor	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
10	cheda	CHD+A_ADDR	1	CHD>A_ADDR	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
11	chedaiir	CHD+IIN+R	1	CHD>IIN	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
11	chedaiir	CHD+IIN+R	2	IIN>R	6	doiir|okaiir|otaiir|syaiir	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
12	cheeo	CH+EE+O	1	CH>EE	37	archeey|cheeb|cheeckhody|cheedy|cheeodam|cheeody|cheeor|cheeteey|cheety|darchey|dcheedy|fcheey|kcheedchdy|kcheey|lcheedy|lcheeor|odchees|olcheedy|opcheeol|qocheey|qokcheey|shokcheey|sokcheey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
12	cheeo	CH+EE+O	2	EE>O	21	cheeodam|cheeody|keeo|keeod|keeodaiin|keeokechy|oeeos|okeeo|okeeody|oteeo|oteeodaiin|oteeody|oteeos|qokeeo|qokeeod|qokeeody|qoteeody|sheeo|sheeos|teeody	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
27	chpady	CH+P+A_ADDR+DY	1	CH>P	39	chcphdy|chcphedy|chcphey|chcphy|checphedy|cheocphey|cheocphy|chlchpsheey|chpchy|chpor|chpsheedy|cphal|cphaldy|cphar|cphealy|cphedy|cpheeedol|cpheody|cphesaiin|cphey|cpho|cphodaiils|cphodal|cphol|cphor|cphoy|cphy|lchcphedy|lchpchdy|ocphoraiin|qocphey|shecphy|shocphedy|ychocphy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
27	chpady	CH+P+A_ADDR+DY	2	P>A_ADDR	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
27	chpady	CH+P+A_ADDR+DY	3	A_ADDR>DY	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
28	chxar	CH+LOCAL_X+AR	1	CH>LOCAL_X	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
28	chxar	CH+LOCAL_X+AR	2	LOCAL_X>AR	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
30	cphaiin	CH+P+AIIN	1	CH>P	39	chcphdy|chcphedy|chcphey|chcphy|checphedy|cheocphey|cheocphy|chlchpsheey|chpchy|chpor|chpsheedy|cphal|cphaldy|cphar|cphealy|cphedy|cpheeedol|cpheody|cphesaiin|cphey|cpho|cphodaiils|cphodal|cphol|cphor|cphoy|cphy|lchcphedy|lchpchdy|ocphoraiin|qocphey|shecphy|shocphedy|ychocphy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
30	cphaiin	CH+P+AIIN	2	P>AIIN	1	oepaiin	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
