target_ordinal	surface	reader_decision	final_recipe	atom_count	visible_route_class	visible_trace	visible_evidence	exact_surface_reconstruction	renderer_segment_count	canonical_segment_count	learned_or_special_segment_count	old26_exact_cover_path_count	direct_interface_count	old26_direct_interface_count	new_direct_interfaces	observed_requirement_modes	observed_incoming_action_roots	observed_incoming_argument_roots	future_action_contract	future_argument_contract	neutral_component_reading_de	known_contextual_readings_de	gdt446_identity_status	gdt446_factor_status_in_observed_context	gdt446_execution_decision	gdt446_portable_factor_rules	gdt446_amber_factor_rules	gdt446_blocked_factor_rules	current_execution_route	visible_route_caution	execution_caution	reading_scope	guard
4	axor	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	A_ADDR+LOCAL_X+OR	3	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	a→A_ADDR | x→LOCAL_X | or→OR	a:CANONICAL_AND_LEARNED:n121:share0.923664 | x:CANONICAL_STEM:n0:share0.000000 | or:CANONICAL_AND_LEARNED:n424:share0.959276	YES	3	3	0	1	2	0	A_ADDR>LOCAL_X|LOCAL_X>OR	REQUIRES_ACTIVE_ACTION	K	NONE	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	Hier; mit lokalem X-Zeichen-/Namenskern; Einheit.	Im laufenden Satz ordne die Eintragseinheit zu; an der bezeichneten Stelle und mit dem lokalen X-Zeichen-/Namenskern.	NOT_IN_EXACT_CATALOG	STOP__UNSEEN_ATOM	STOP	NONE	NONE	UNSEEN:LOCAL_X	READ_CURRENT_LOCAL_X_OVERLAY	NONE	GDT446_PRE_LOCAL_X_DECK_STOP__GDT516_F66R_LOCAL_X_OVERLAY	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
8	chcpheor	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CH+CH+P+E+OR	5	OLD26_MIXED_CANONICAL_AND_LEARNED_RENDERERS	chcph→CH+CH+P | e→E | or→OR	chcph:LEARNED_SHORT_RENDERER:n17:share1.000000 | e:CANONICAL_AND_LEARNED:n1411:share0.920417 | or:CANONICAL_AND_LEARNED:n424:share0.959276	YES	3	2	1	3	4	4	NONE	SELF_CONTAINED	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	FOCUS:P<-E|FOCUS:P<-OR|PAIR:CH>CH|PAIR:CH>P	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
10	cheda	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CHD+A_ADDR	2	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ched→CHD | a→A_ADDR	ched:CANONICAL_AND_LEARNED:n178:share0.978022 | a:CANONICAL_AND_LEARNED:n121:share0.923664	YES	2	2	0	1	1	0	CHD>A_ADDR	SELF_CONTAINED	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Bearbeiten; hier.	Bearbeite; an der bezeichneten Stelle.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	NONE	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
11	chedaiir	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CHD+IIN+R	3	CURRENT30_DOMINANT_SHORT_RENDERER	ched→CHD | aiir→IIN+R	aiir 17/20 (0.850000), high-confidence top mapping	YES	2	1	1	0	2	1	CHD>IIN	REQUIRES_ACTIVE_ARGUMENT	NONE	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Bearbeiten und markieren; auf der bezeichneten Stufe.	Bearbeite den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	NONE	NONE	NONE	READ_FACTOR_GREEN	AIIN+R remains 3/20; full known card retains final recipe	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
12	cheeo	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CH+EE+O	3	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ch→CH | ee→EE | o→O	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | o:CANONICAL_AND_LEARNED:n1340:share0.949681	YES	3	3	0	2	2	2	NONE	REQUIRES_ACTIVE_ARGUMENT	NONE	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Nehmen; auf Grad II; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad II und zur Ausführung.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	FOCUS:CH<-EE	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
27	chpady	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CH+P+A_ADDR+DY	4	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ch→CH | p→P | a→A_ADDR | dy→DY	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | p:CANONICAL_AND_LEARNED:n372:share0.961240 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | dy:CANONICAL_STEM:n0:share0.000000	YES	4	4	0	2	3	1	P>A_ADDR|A_ADDR>DY	REQUIRES_ACTIVE_ARGUMENT	NONE	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Nehmen und einsetzen; hier; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	PAIR:CH>P|CLOSE:P	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
28	chxar	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CH+LOCAL_X+AR	3	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ch→CH | x→LOCAL_X | ar→AR	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | x:CANONICAL_STEM:n0:share0.000000 | ar:CANONICAL_AND_LEARNED:n590:share0.976821	YES	3	3	0	1	2	0	CH>LOCAL_X|LOCAL_X>AR	REQUIRES_ACTIVE_ARGUMENT	NONE	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Nehmen; mit lokalem X-Zeichen-/Namenskern; vom Ausgang.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; mit dem lokalen X-Zeichen-/Namenskern.	NOT_IN_EXACT_CATALOG	STOP__UNSEEN_ATOM	STOP	NONE	NONE	UNSEEN:LOCAL_X	READ_CURRENT_LOCAL_X_OVERLAY	NONE	GDT446_PRE_LOCAL_X_DECK_STOP__GDT516_F66R_LOCAL_X_OVERLAY	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
30	cphaiin	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	CH+P+AIIN	3	OLD26_MIXED_CANONICAL_AND_LEARNED_RENDERERS	cph→CH+P | aiin→AIIN	cph:LEARNED_SHORT_RENDERER:n79:share0.951807 | aiin:CANONICAL_AND_LEARNED:n474:share0.995798	YES	2	1	1	2	2	2	NONE	SELF_CONTAINED	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	Den Wert nehmen und einsetzen.	Nimm den Arbeitswert und setze den Arbeitswert ein.	PREDICTED_STRONG	FACTOR_GREEN_CROSS_PAGE	READ	FOCUS:P<-AIIN|PAIR:CH>P	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
34	da	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	DA	1	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	da→DA	da:CANONICAL_AND_LEARNED:n55:share0.808824	YES	1	1	0	1	0	0	NONE	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	S	AIIN	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	Auf der zweiten Stufe.	Im laufenden Satz wähle den Arbeitswert [wie zuvor]; auf der zweiten Stufe.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	NONE	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
43	dcheey	READ_KNOWN_ATOMIC_FACTOR_WORKING_CARD	D_ADDR+CH+EE+Y	4	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	d→D_ADDR | ch→CH | ee→EE | y→Y	d:CANONICAL_AND_LEARNED:n1129:share0.905373 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	YES	4	4	0	2	3	3	NONE	SELF_CONTAINED	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	Hier; den Posten nehmen; auf Grad II.	Nimm den Pflanzenposten; auf Grad II; an der bezeichneten Stelle.	NOT_IN_EXACT_CATALOG	FACTOR_GREEN_CROSS_PAGE	READ	FOCUS:CH<-EE|FOCUS:CH<-Y	NONE	NONE	READ_FACTOR_GREEN	NONE	NONE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_KNOWN_SURFACE_ONLY__NO_UNKNOWN_SURFACE_OR_NEW_MEANING
