metric	value
target_card_count	24
exact_surface_reconstruction_count	24
old26_exact_cover_target_count	21
old26_exact_cover_path_count	44
old26_all_canonical_target_count	16
old26_mixed_learned_renderer_target_count	5
bounded_special_route_count	3
current30_dominant_aiir_route_count	1
prefix_conditioned_aiis_route_count	1
local_q_null_route_count	1
direct_interface_count	52
old26_direct_interface_count	40
new_direct_interface_count	12
target_with_new_direct_interface_count	9
gdt446_factor_green_count	20
gdt446_factor_amber_count	1
gdt446_factor_stop_count	3
current_local_x_overlay_count	2
current_explicit_pair_default_count	1
current_readable_card_count	24
self_contained_card_count	11
active_action_card_count	1
active_argument_card_count	8
active_action_and_argument_card_count	4
new_pages	0
recipe_changes	0
root_meaning_changes	0
