target_ordinal	surface	final_recipe	cover_rank	selected_cover	segment_count	canonical_segment_count	learned_segment_count	alias_penalty_total	visible_trace	evidence_trace	guard
4	axor	A_ADDR+LOCAL_X+OR	1	YES	3	3	0	0.000000000	a→A_ADDR | x→LOCAL_X | or→OR	a:CANONICAL_AND_LEARNED:n121:share0.923664 | x:CANONICAL_STEM:n0:share0.000000 | or:CANONICAL_AND_LEARNED:n424:share0.959276	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
8	chcpheor	CH+CH+P+E+OR	1	YES	3	2	1	0.500000000	chcph→CH+CH+P | e→E | or→OR	chcph:LEARNED_SHORT_RENDERER:n17:share1.000000 | e:CANONICAL_AND_LEARNED:n1411:share0.920417 | or:CANONICAL_AND_LEARNED:n424:share0.959276	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
8	chcpheor	CH+CH+P+E+OR	2	NO	4	3	1	0.504939276	ch→CH | cph→CH+P | e→E | or→OR	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | cph:LEARNED_SHORT_RENDERER:n79:share0.951807 | e:CANONICAL_AND_LEARNED:n1411:share0.920417 | or:CANONICAL_AND_LEARNED:n424:share0.959276	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
8	chcpheor	CH+CH+P+E+OR	3	NO	3	2	1	0.511122564	ch→CH | cphe→CH+P+E | or→OR	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | cphe:LEARNED_SHORT_RENDERER:n17:share0.894737 | or:CANONICAL_AND_LEARNED:n424:share0.959276	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
10	cheda	CHD+A_ADDR	1	YES	2	2	0	0.000000000	ched→CHD | a→A_ADDR	ched:CANONICAL_AND_LEARNED:n178:share0.978022 | a:CANONICAL_AND_LEARNED:n121:share0.923664	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
12	cheeo	CH+EE+O	1	YES	3	3	0	0.000000000	ch→CH | ee→EE | o→O	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | o:CANONICAL_AND_LEARNED:n1340:share0.949681	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
12	cheeo	CH+EE+O	2	NO	2	1	1	0.007598591	ch→CH | eeo→EE+O	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | eeo:LEARNED_SHORT_RENDERER:n38:share0.926829	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
27	chpady	CH+P+A_ADDR+DY	1	YES	4	4	0	0.000000000	ch→CH | p→P | a→A_ADDR | dy→DY	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | p:CANONICAL_AND_LEARNED:n372:share0.961240 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | dy:CANONICAL_STEM:n0:share0.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
27	chpady	CH+P+A_ADDR+DY	2	NO	3	2	1	0.004652002	chp→CH+P | a→A_ADDR | dy→DY	chp:LEARNED_SHORT_RENDERER:n21:share0.954545 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | dy:CANONICAL_STEM:n0:share0.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
28	chxar	CH+LOCAL_X+AR	1	YES	3	3	0	0.000000000	ch→CH | x→LOCAL_X | ar→AR	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | x:CANONICAL_STEM:n0:share0.000000 | ar:CANONICAL_AND_LEARNED:n590:share0.976821	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
30	cphaiin	CH+P+AIIN	1	YES	2	1	1	0.504939276	cph→CH+P | aiin→AIIN	cph:LEARNED_SHORT_RENDERER:n79:share0.951807 | aiin:CANONICAL_AND_LEARNED:n474:share0.995798	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
30	cphaiin	CH+P+AIIN	2	NO	2	0	2	0.750000000	cp→CH+P | haiin→AIIN	cp:LEARNED_SHORT_RENDERER:n52:share1.000000 | haiin:LEARNED_RENDERER_ALIAS:n12:share1.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
34	da	DA	1	YES	1	1	0	0.000000000	da→DA	da:CANONICAL_AND_LEARNED:n55:share0.808824	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
43	dcheey	D_ADDR+CH+EE+Y	1	YES	4	4	0	0.000000000	d→D_ADDR | ch→CH | ee→EE | y→Y	d:CANONICAL_AND_LEARNED:n1129:share0.905373 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
43	dcheey	D_ADDR+CH+EE+Y	2	NO	3	2	1	0.001687804	d→D_ADDR | ch→CH | eey→EE+Y	d:CANONICAL_AND_LEARNED:n1129:share0.905373 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | eey:LEARNED_SHORT_RENDERER:n235:share0.983264	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
62	keeol	K+EE+OL	1	YES	3	3	0	0.000000000	k→K | ee→EE | ol→OL	k:CANONICAL_AND_LEARNED:n937:share0.961026 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | ol:CANONICAL_AND_LEARNED:n956:share0.965657	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
62	keeol	K+EE+OL	2	NO	2	1	1	0.000858374	kee→K+EE | ol→OL	kee:LEARNED_SHORT_RENDERER:n116:share0.991453 | ol:CANONICAL_AND_LEARNED:n956:share0.965657	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
62	keeol	K+EE+OL	3	NO	2	1	1	0.003390155	k→K | eeol→EE+OL	k:CANONICAL_AND_LEARNED:n937:share0.961026 | eeol:LEARNED_SHORT_RENDERER:n29:share0.966667	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
67	ld	L+D_ADDR	1	YES	2	2	0	0.000000000	l→L | d→D_ADDR	l:CANONICAL_AND_LEARNED:n534:share0.930314 | d:CANONICAL_AND_LEARNED:n1129:share0.905373	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
70	lpchees	L+P+CH+EE+S	1	YES	5	5	0	0.000000000	l→L | p→P | ch→CH | ee→EE | s→S	l:CANONICAL_AND_LEARNED:n534:share0.930314 | p:CANONICAL_AND_LEARNED:n372:share0.961240 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | s:CANONICAL_AND_LEARNED:n791:share0.743421	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
70	lpchees	L+P+CH+EE+S	2	NO	4	3	1	0.008701138	l→L | p→P | ch→CH | ees→EE+S	l:CANONICAL_AND_LEARNED:n534:share0.930314 | p:CANONICAL_AND_LEARNED:n372:share0.961240 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | ees:LEARNED_SHORT_RENDERER:n33:share0.916667	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
70	lpchees	L+P+CH+EE+S	3	NO	4	3	1	0.014518201	l→L | pch→P+CH | ee→EE | s→S	l:CANONICAL_AND_LEARNED:n534:share0.930314 | pch:LEARNED_SHORT_RENDERER:n64:share0.864865 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | s:CANONICAL_AND_LEARNED:n791:share0.743421	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
70	lpchees	L+P+CH+EE+S	4	NO	3	1	2	0.023219339	l→L | pch→P+CH | ees→EE+S	l:CANONICAL_AND_LEARNED:n534:share0.930314 | pch:LEARNED_SHORT_RENDERER:n64:share0.864865 | ees:LEARNED_SHORT_RENDERER:n33:share0.916667	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
82	pdaiin	P+AIIN	1	YES	2	1	1	0.284092659	p→P | daiin→AIIN	p:CANONICAL_AND_LEARNED:n372:share0.961240 | daiin:LEARNED_RENDERER_ALIAS:n128:share0.711111	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
97	qotedal	OT+E+AL	1	YES	3	1	2	0.525136409	qot→OT | e→E | dal→AL	qot:LEARNED_RENDERER_ALIAS:n226:share0.974138 | e:CANONICAL_AND_LEARNED:n1411:share0.920417 | dal:LEARNED_RENDERER_ALIAS:n99:share0.798387	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
97	qotedal	OT+E+AL	2	NO	2	0	2	0.530212276	qote→OT+E | dal→AL	qote:LEARNED_SHORT_RENDERER:n25:share0.925926 | dal:LEARNED_RENDERER_ALIAS:n99:share0.798387	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
102	shain	SH+AIN	1	YES	2	2	0	0.000000000	sh→SH | ain→AIN	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | ain:CANONICAL_AND_LEARNED:n282:share0.992958	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
105	shd	SH+D_ADDR	1	YES	2	2	0	0.000000000	sh→SH | d→D_ADDR	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | d:CANONICAL_AND_LEARNED:n1129:share0.905373	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
105	shd	SH+D_ADDR	2	NO	1	0	1	0.016705408	shd→SH+D_ADDR	shd:LEARNED_SHORT_RENDERER:n33:share0.846154	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
106	shddy	SH+D_ADDR+DY	1	YES	3	3	0	0.000000000	sh→SH | d→D_ADDR | dy→DY	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | d:CANONICAL_AND_LEARNED:n1129:share0.905373 | dy:CANONICAL_STEM:n0:share0.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
106	shddy	SH+D_ADDR+DY	2	NO	2	1	1	0.016705408	shd→SH+D_ADDR | dy→DY	shd:LEARNED_SHORT_RENDERER:n33:share0.846154 | dy:CANONICAL_STEM:n0:share0.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
123	shso	SH+S+O	1	YES	3	3	0	0.000000000	sh→SH | s→S | o→O	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | s:CANONICAL_AND_LEARNED:n791:share0.743421 | o:CANONICAL_AND_LEARNED:n1340:share0.949681	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
123	shso	SH+S+O	2	NO	2	1	1	0.012136086	sh→SH | so→S+O	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | so:LEARNED_SHORT_RENDERER:n31:share0.885714	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
124	shtchy	SH+T+CH+Y	1	YES	4	4	0	0.000000000	sh→SH | t→T | ch→CH | y→Y	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | t:CANONICAL_AND_LEARNED:n636:share0.940828 | ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
124	shtchy	SH+T+CH+Y	2	NO	3	2	1	0.045783309	sh→SH | tch→T+CH | y→Y	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | tch:LEARNED_SHORT_RENDERER:n31:share0.632653 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
124	shtchy	SH+T+CH+Y	3	NO	3	1	2	0.758918647	sh→SH | tc→T+CH | hy→Y	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | tc:LEARNED_SHORT_RENDERER:n21:share0.954545 | hy:LEARNED_RENDERER_ALIAS:n390:share0.958231	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
129	tocpheey	T+O+CH+P+EE+Y	1	YES	5	4	1	0.504939276	t→T | o→O | cph→CH+P | ee→EE | y→Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | cph:LEARNED_SHORT_RENDERER:n79:share0.951807 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
129	tocpheey	T+O+CH+P+EE+Y	2	NO	4	2	2	0.506627080	t→T | o→O | cph→CH+P | eey→EE+Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | cph:LEARNED_SHORT_RENDERER:n79:share0.951807 | eey:LEARNED_SHORT_RENDERER:n235:share0.983264	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
129	tocpheey	T+O+CH+P+EE+Y	3	NO	5	3	2	0.751025650	t→T | oc→O+CH | ph→P | ee→EE | y→Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | oc:LEARNED_SHORT_RENDERER:n97:share0.989796 | ph:LEARNED_RENDERER_ALIAS:n53:share1.000000 | ee:CANONICAL_AND_LEARNED:n630:share0.915698 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
129	tocpheey	T+O+CH+P+EE+Y	4	NO	4	1	3	0.752713454	t→T | oc→O+CH | ph→P | eey→EE+Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | oc:LEARNED_SHORT_RENDERER:n97:share0.989796 | ph:LEARNED_RENDERER_ALIAS:n53:share1.000000 | eey:LEARNED_SHORT_RENDERER:n235:share0.983264	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
130	todeeey	T+O+D_ADDR+EEE+Y	1	YES	5	5	0	0.000000000	t→T | o→O | d→D_ADDR | eee→EEE | y→Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | d:CANONICAL_AND_LEARNED:n1129:share0.905373 | eee:CANONICAL_AND_LEARNED:n58:share0.950820 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
130	todeeey	T+O+D_ADDR+EEE+Y	2	NO	4	3	1	0.000000000	t→T | o→O | d→D_ADDR | eeey→EEE+Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | d:CANONICAL_AND_LEARNED:n1129:share0.905373 | eeey:LEARNED_SHORT_RENDERER:n23:share1.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
130	todeeey	T+O+D_ADDR+EEE+Y	3	NO	4	3	1	0.016296131	t→T | od→O+D_ADDR | eee→EEE | y→Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | od:LEARNED_SHORT_RENDERER:n226:share0.849624 | eee:CANONICAL_AND_LEARNED:n58:share0.950820 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
130	todeeey	T+O+D_ADDR+EEE+Y	4	NO	3	1	2	0.016296131	t→T | od→O+D_ADDR | eeey→EEE+Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | od:LEARNED_SHORT_RENDERER:n226:share0.849624 | eeey:LEARNED_SHORT_RENDERER:n23:share1.000000	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
