formula_card_id	component_recipe	portable_atomic_core_de	surface_variants	surface_variant_count	events_including_local	physical_pages	decision	teaching_rule_de
F001	CHD+Y	UMSETZEN · DIES	chedy|chdy|chedchy	3	52	f55v|f56r|f69v|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F002	SHED+DY	ABSETZEN · SCHLIESSEN	shedy	1	46	f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F003	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	qokedy|okedy	2	45	f69v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F004	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	qokeedy|okeedy	2	45	f55v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F005	OK+Y	SETZEN · DIES	qoky|oky|qokchy|choky|okchy|okchey	6	41	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F006	OK+AIN	SETZEN · EINHEIT	qokain|okain|chokain	3	37	f55v|f67r2|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F007	OK+EE+Y	SETZEN · LÄNGER · DIES	qokeey|okeey|chokeey	3	30	f56r|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F008	OK+AIIN	SETZEN · SOLLWERT	qokaiin|okaiin	2	26	f55v|f56r|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F009	OK+AL	SETZEN · ZIEL	qokal|okal|chokal	3	26	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F010	SH+E+Y	HALTEN · KURZ · DIES	shey|tshey	2	26	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F011	OT+Y	DANACH · DIES	qoty|oty|qotchy|otchey	4	24	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F012	D_ADDR+AR	TEIL · QUELLE	dar	1	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F013	OK+AR	SETZEN · QUELLE	okar|qokar	2	21	f55v|f56r|f67r2|f69v|f75r|f81v|f82r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F014	SH+EE+Y	HALTEN · LÄNGER · DIES	cheey|sheey	2	21	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F015	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	lchedy	1	20	f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F016	OT+AR	DANACH · QUELLE	otar|qotar	2	19	f10r|f55v|f67r2|f70v|f75r|f81v|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F017	OK+E+Y	SETZEN · KURZ · DIES	qokey|okey	2	15	f67r2|f69v|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F018	OL+DY	FORTSETZEN · SCHLIESSEN	oldy|qoldy	2	14	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F019	CHEO+L	AUSZUG · LEITEN	cheol	1	13	f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F020	CKH+Y	DURCHLASS · DIES	chckhy|ckhy|qckhsy	3	13	f10r|f13r|f55v|f75r|f81v|f82r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
