formula_card_id	component_recipe	portable_atomic_core_de	surface_variants	surface_variant_count	events_including_local	physical_pages	decision	teaching_rule_de
F028	CH+OR	NEHMEN · SATZ	chor	1	9	f10r|f13r|f56r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F029	S+AIN	AUSWÄHLEN · EINHEIT	sain	1	9	f67r2|f75r|f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F030	CHK+E+Y	BEHANDELN · KURZ · DIES	cheky|chekey	2	7	f55v|f70v|f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F031	S+AL	AUSWÄHLEN · ZIEL	sal	1	7	f67r2|f70v|f75r|f81v|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F032	SH+EE+DY	HALTEN · LÄNGER · SCHLIESSEN	sheedy	1	7	f75r|f81v|f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F033	SH+OL	HALTEN · FORTSETZEN	shol	1	7	f13r|f56r|f70v|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F034	CHEO+R	AUSZUG · MARKIEREN	cheor	1	6	f68r1|f69v|f82r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F037	OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	qokchdy|okchdy|okchedy	3	8	f68r1|f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F038	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	olchedy|qolchedy	2	7	f75r|f81v|f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F040	D_ADDR+OL	TEIL · FORTSETZEN	dol|dchol	2	6	f11r|f13r|f81v|f82r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F041	LSH+E+DY	SPÜLEN · KURZ · SCHLIESSEN	lshedy	1	6	f75r|f81v|f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F042	SH+E+DY	HALTEN · KURZ · SCHLIESSEN	dshedy	1	6	f75r|f81v|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F043	SH+E+OL	HALTEN · KURZ · FORTSETZEN	sheol|dsheol	2	6	f75r|f81v|f82r|f83r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F044	CHK+EE+Y	BEHANDELN · LÄNGER · DIES	cheeky|chkeey	2	5	f55v|f75r|f81v|f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F045	D_ADDR+OR	TEIL · SATZ	dor	1	5	f11r|f13r|f75r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F046	K+AR	GEBEN · QUELLE	kar|skar	2	5	f55v|f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F047	K+OL	GEBEN · FORTSETZEN	kchol|kol	2	5	f11r|f13r|f56r|f75r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F048	S+OR	AUSWÄHLEN · SATZ	sor	1	5	f10r|f67r2|f75r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F049	SOLK+EE+DY	AUFFANGEN · LÄNGER · SCHLIESSEN	olkeedy	1	5	f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F050	SOLK+EE+Y	AUFFANGEN · LÄNGER · DIES	olkeey|solkeey	2	5	f75r|f81v|f83r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F051	OK+SH+E+DY	SETZEN · HALTEN · KURZ · SCHLIESSEN	qokshedy|okshedy	2	5	f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F052	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLIESSEN	pchedy	1	5	f75r|f81v|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F053	Y+T+Y	DIES · EINSTELLEN · DIES	ytchy|yty|ytshy	3	5	f10r|f11r|f13r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F054	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	qockhey|ockhey	2	4	f82r|f83r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F055	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	olshedy|solshedy	2	4	f75r|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F056	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	otchol|qotchol	2	4	f10r|f13r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F057	T+CHD+Y	EINSTELLEN · UMSETZEN · DIES	tchedy	1	4	f75r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F058	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · DIES	checkhy	1	3	f75r|f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F059	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · DIES	chody	1	3	f11r|f56r|f88r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F060	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	chos	1	3	f56r|f67r2	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F061	D_ADDR+CHD+Y	TEIL · UMSETZEN · DIES	dchedy	1	3	f75r|f81v|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F062	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLIESSEN	lkedy	1	3	f82r|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F063	OT+CH+OR	DANACH · NEHMEN · SATZ	otchor|qotchor	2	3	f10r|f13r|f56r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F064	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	shckhedy	1	3	f81v|f83r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F065	Y+K+EE+Y	DIES · GEBEN · LÄNGER · DIES	ykeey	1	5	f69v|f70v|f75r|f81v|f82r	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
F066	Y+K+OR	DIES · GEBEN · SATZ	ykor	1	3	f13r|f67r2|f68r1	READ_PRODUCTIVELY_FROM_ROOTS	Nicht auswendig lernen; Stammfolge sichtbar zusammensetzen.
