statement_id	page	record	y_valent_recipe_sequence	formula_completed_recipe_sequence	observed_recipe_sequence_after_reveal	applied_rules	baseline_cards	formula_cards	observed_cards	baseline_exact	formula_exact	newly_fixed	newly_harmed
H1-S001	f10r	H1	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | CH+AIR | OT+Y | OL | OK+AIIN | E+T+Y	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	NONE	9	9	10	NO	NO	NO	NO
H1-S002	f10r	H1	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	OK+Y | OT+CH+OL | OL | CTH+Y	NONE	4	4	4	YES	YES	NO	NO
H2-S001	f10r	H2	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | AIIN | OL+Y	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	NONE	5	5	9	NO	NO	NO	NO
H2-S002	f10r	H2	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OL+OR | AIIN | AR | OL	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	NONE	5	5	8	NO	NO	NO	NO
H2-S003	f10r	H2	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | Y | K+IIN | CH+O+AIIN	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	NONE	5	5	7	NO	NO	NO	NO
H3-S001	f11r	H3	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	OL+AL+Y | SH | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | UNPACKED(CH) | UNPACKED(DY)	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	NONE	8	8	7	NO	NO	NO	NO
H3-S002	f11r	H3	SH+O+Y+T+Y	SH+O+Y+T+Y	SH+O+Y+T+Y	NONE	1	1	1	YES	YES	NO	NO
H3-S003	f11r	H3	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y+K+AIIN	RESUME_CARD | Y | K+Y | Y | AIIN	NONE	2	2	5	NO	NO	NO	NO
H3-S004	f11r	H3	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y	OT+Y | OK+OL | CTH+Y | Y	NONE	3	3	4	NO	NO	NO	NO
H4-S001	f55v	H4	AIIN | OK+Y | AIN | Y+K+AN | O+DY	AIIN | OK+Y | AIN | Y+K+AN | O+DY	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	NONE	5	5	5	NO	NO	NO	NO
H4-S002	f55v	H4	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	AIIN | CHD+Y | TALAM	NONE	3	3	3	YES	YES	NO	NO
H4-S003	f55v	H4	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	NONE	4	4	4	YES	YES	NO	NO
H4-S004	f55v	H4	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR+AIN	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	NONE	4	4	6	NO	NO	NO	NO
H5-S001	f56r	H5	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	NONE	6	6	9	NO	NO	NO	NO
H5-S002	f56r	H5	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	NONE	4	4	4	NO	NO	NO	NO
H5-S003	f56r	H5	HO | SH | K+E+Y | OK+Y	HO | SH | K+E+Y | OK+Y	SH | HO | K+E+Y | OK+OK+Y	NONE	4	4	4	NO	NO	NO	NO
