statement_id	page	register	event_count	component_atom_count	category_count	categories_used	unknown_atoms	sheet_result
P1009-S001	f10r	HERBAL	39	105	22	CHANNEL_01|CHANNEL_04|CONTROL_01|CONTROL_04|CONTROL_05|CONTROL_07|CORE_01|CORE_02|CORE_03|CORE_04|CORE_05|CORE_06|CORE_07|CORE_08|CORE_09|CORE_10|CORE_11|CORE_13|CORE_15|CORE_17|CORE_18|CORE_19	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S002	f10r	HERBAL	53	125	21	CHANNEL_01|CHANNEL_02|CONTROL_01|CONTROL_05|CONTROL_06|CONTROL_07|CORE_01|CORE_02|CORE_03|CORE_04|CORE_06|CORE_07|CORE_08|CORE_09|CORE_10|CORE_11|CORE_13|CORE_15|CORE_16|CORE_17|CORE_19	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S003	f11r	HERBAL	7	22	12	CHANNEL_01|CONTROL_01|CONTROL_04|CONTROL_05|CORE_01|CORE_03|CORE_05|CORE_06|CORE_07|CORE_10|CORE_15|CORE_18	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S004	f11r	HERBAL	52	115	17	CHANNEL_01|CONTROL_05|CONTROL_06|CORE_01|CORE_02|CORE_03|CORE_04|CORE_06|CORE_07|CORE_09|CORE_10|CORE_11|CORE_13|CORE_14|CORE_15|CORE_16|CORE_19	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S005	f13r	HERBAL	42	102	18	CHANNEL_01|CHANNEL_02|CONTROL_03|CONTROL_04|CONTROL_05|CORE_01|CORE_03|CORE_04|CORE_05|CORE_06|CORE_07|CORE_08|CORE_09|CORE_10|CORE_11|CORE_13|CORE_15|CORE_18	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S006	f13r	HERBAL	16	31	13	CHANNEL_01|CONTROL_04|CONTROL_05|CONTROL_07|CORE_01|CORE_02|CORE_03|CORE_04|CORE_06|CORE_09|CORE_10|CORE_13|CORE_15	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S007	f13r	HERBAL	10	20	13	CHANNEL_01|CHANNEL_03|CONTROL_04|CONTROL_05|CORE_01|CORE_02|CORE_03|CORE_06|CORE_09|CORE_10|CORE_11|CORE_13|CORE_15	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S008	f13r	HERBAL	6	16	12	CHANNEL_01|CONTROL_01|CONTROL_04|CONTROL_05|CONTROL_07|CORE_01|CORE_02|CORE_03|CORE_05|CORE_06|CORE_07|CORE_09	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S009	f13r	HERBAL	3	9	6	CORE_01|CORE_02|CORE_04|CORE_09|CORE_11|CORE_13	NONE	FULLY_READABLE_FROM_ONE_SHEET
P1009-S010	f17r	HERBAL	1	4	4	CHANNEL_01|CONTROL_04|CONTROL_05|CORE_07	NONE	FULLY_READABLE_FROM_ONE_SHEET
