statement_id	locus_span	event_count	surface_card_sequence	component_card_sequence	controls_used	local_channels_used	resegmentations_used	literal_core_reading_de	fluent_rad_table_reading_de	unexplained_by_one_page_sheet_de	roundtrip_status
P1009-S031	f67r2.13|f67r2.14	7	opodchol s ain aldy soeey doiin oldy	O+P+O+D_ADDR+OL | S | AIN | AL+D_ADDR+Y | S+O+EE+Y | D_ADDR+O+IIN | OL+DY	O|EE|IIN|DY	LOCAL_PLACE=HIER	NONE	AUSFÜHRUNG + EINSETZEN + AUSFÜHRUNG + HIER + FORTSETZEN | WÄHLEN | ANTEIL | ZIELORT + HIER + AKTIVER POSTEN | WÄHLEN + AUSFÜHRUNG + GRAD II + AKTIVER POSTEN | HIER + AUSFÜHRUNG + STUFE | FORTSETZEN + SCHLUSS	Am bezeichneten Platz einen Eintrag einsetzen und fortführen. Einen Anteil wählen, ihn dem örtlichen Zielplatz zuordnen, den aktiven Posten in Grad II auswählen, auf der bezeichneten Stufe fortsetzen und schließen.	Welcher Sektor oder Ringplatz HIER und ZIELORT ist und ob ANTEIL Fläche, Position oder Tabellenunterteilung bezeichnet.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S032	f67r2.16|f67r2.17|f67r2.18|f67r2.19|f67r2.20|f67r2.21	19	odaeiin okoes oekain y otchey soraiir dy qopchy daiin dal ydchos ain ar amy chocfhy saral sain am ar	O+DA+E+IIN | OK+O+E+S | O+E+K+AIN | Y | OT+Y | S+OR+AIIN+R | Y | O+P+Y | AIIN | AL | Y+D_ADDR+CH+O+S | AIN | AR | AM_ADDR+Y | CH+O+CH+LOCAL_CHAR_F+Y | S+AR+AL | S+AIN | AM_ADDR | AR	O|E|IIN|DA	LOCAL_PLACE=HIER	CFH=CH+LOCAL_F	AUSFÜHRUNG + ZWEITE STUFE + GRAD I + STUFE | SETZEN + AUSFÜHRUNG + GRAD I + WÄHLEN | AUSFÜHRUNG + GRAD I + GEBEN + ANTEIL | AKTIVER POSTEN | DANACH + AKTIVER POSTEN | WÄHLEN + EINHEIT + WERT + MARKIEREN | AKTIVER POSTEN | AUSFÜHRUNG + EINSETZEN + AKTIVER POSTEN | WERT | ZIELORT | AKTIVER POSTEN + HIER + NEHMEN + AUSFÜHRUNG + WÄHLEN | ANTEIL | AUSGANG | HIER + AKTIVER POSTEN | NEHMEN + AUSFÜHRUNG + NEHMEN + HIER + AKTIVER POSTEN | WÄHLEN + AUSGANG + ZIELORT | WÄHLEN + ANTEIL | HIER | AUSGANG	Auf der zweiten Stufe in Grad I wählen und einen Anteil geben. Danach den aktiven Eintrag wieder aufnehmen, seine Einheit und seinen Wert wählen und markieren, ihn mit dem angegebenen Wert am Zielplatz einsetzen und am bezeichneten Platz Anteil, Ausgang und Ziel auswählen; an der sichtbaren Grenze enden.	Bindung der mehrfachen Posten, lokaler Platz von CFH und gemeinsame oder getrennte Zugehörigkeit der letzten Ausgangs- und Zielkarten; kein BEGINNMARKER für eine erfundene neue Reihe.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S033	f67r2.23|f67r2.24|f67r2.25|f67r2.26|f67r2.27	13	oparchy salsain sodar ofar ar ydam yteoor yto ykor okeo r aiin am	O+P+AR+CH+Y | S+AL+S+AIN | S+O+DA+R | O+LOCAL_CHAR_F+AR | AR | Y+DA+AM_ADDR | Y+T+E+O+OR | Y+T+O | Y+K+OR | OK+E+O | R | AIIN | AM_ADDR	O|E|DA	LOCAL_PLACE=HIER	NONE	AUSFÜHRUNG + EINSETZEN + AUSGANG + NEHMEN + AKTIVER POSTEN | WÄHLEN + ZIELORT + WÄHLEN + ANTEIL | WÄHLEN + AUSFÜHRUNG + ZWEITE STUFE + MARKIEREN | AUSFÜHRUNG + HIER + AUSGANG | AUSGANG | AKTIVER POSTEN + ZWEITE STUFE + HIER | AKTIVER POSTEN + EINSTELLEN + GRAD I + AUSFÜHRUNG + EINHEIT | AKTIVER POSTEN + EINSTELLEN + AUSFÜHRUNG | AKTIVER POSTEN + GEBEN + EINHEIT | SETZEN + GRAD I + AUSFÜHRUNG | MARKIEREN | WERT | HIER	Den aktiven Posten am Ausgang einsetzen und nehmen, Zielort und Anteil wählen und auf der zweiten Stufe markieren. Den bezeichneten Ausgang und den örtlichen Posten übernehmen; die aktuelle Einheit in Grad I einstellen, geben und setzen, dann Wert und lokale Stelle markieren; an der sichtbaren Grenze enden.	Welcher wiederholte Ausgang gemeint ist und wie HIER, WERT und EINHEIT auf Ring, Sektor oder Tabellenzeile verteilt werden.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S034	f67r2.29	1	ytody	Y+T+O+DY	O|DY	NONE	NONE	AKTIVER POSTEN + EINSTELLEN + AUSFÜHRUNG + SCHLUSS	Den aktiven Posten einstellen, ausführen und schließen.	Der aktive Posten muss aus dem vorherigen lokalen Kontext erinnert werden.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S035	f67r2.29|f67r2.30	3	saiin ochol olol	S+AIIN | O+OL | OL+OL	O	NONE	NONE	WÄHLEN + WERT | AUSFÜHRUNG + FORTSETZEN | FORTSETZEN + FORTSETZEN	Den Wert wählen und die Eintragsfolge bis zur sichtbaren Grenze fortsetzen.	Ob WERT Zahl, Position, Kategorie oder Phase ist und welche konkrete sichtbare Grenze gilt.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S036	f67r2.32|f67r2.33	7	dosar odas air alaiin dokan oear odal	D_ADDR+O+S+AR | O+DA+S | AIR | AL+AIIN | D_ADDR+OK+AN | O+E+AR | O+DA+L	O|E|DA	LOCAL_PLACE=HIER|LOCAL_CLASS=KLASSE	NONE	HIER + AUSFÜHRUNG + WÄHLEN + AUSGANG | AUSFÜHRUNG + ZWEITE STUFE + WÄHLEN | LAUF | ZIELORT + WERT | HIER + SETZEN + KLASSE | AUSFÜHRUNG + GRAD I + AUSGANG | AUSFÜHRUNG + ZWEITE STUFE + VERBINDUNG	Am bezeichneten Platz den Ausgang wählen. Auf der zweiten Stufe den Lauf und den Zielwert auswählen, die örtliche Klasse setzen und in Grad I Ausgang sowie die Verbindung der zweiten Stufe ausführen; an der sichtbaren Grenze enden.	Lokale Klasse und Zuordnung von AUSGANG, LAUF, ZIELORT und VERBINDUNG zu den beiden getrennten Rädern; keine Richtung ist codiert.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S037	f67r2.35|f67r2.36	6	chol giin okol ytor daiin or	OL | LOCAL_CHAR_G+IIN | OK+OL | Y+T+OR | AIIN | OR	IIN	LOCAL_INDEX=VARIANTE	NONE	FORTSETZEN | VARIANTE + STUFE | SETZEN + FORTSETZEN | AKTIVER POSTEN + EINSTELLEN + EINHEIT | WERT | EINHEIT	Bei der örtlich benannten Variante und Stufe fortsetzen. Die Fortsetzung setzen und die aktuelle Einheit einstellen; danach folgen Wert und Einheit. An der sichtbaren Grenze enden.	Identität des lokalen Himmelsnamens und ob die zwei EINHEIT-Karten dieselbe oder verschiedene Ring- beziehungsweise Eintragsgruppen bezeichnen.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S038	f67r2.38|f67r2.39|f67r2.40|f67r2.41|f67r2.42|f67r2.43|f67r2.44	18	otoldos octhole sor chedaiin dy yteos oiin og ytoeopchey chekody sosho chos ockhy daiin aiin os qsg ofydy	OT+OL+D_ADDR+O+S | O+CH+T+OL+E | S+OR | CHD+AIIN | Y | Y+T+E+O+S_ADDR | O+IIN | O+G_LABEL | Y+T+O+E+O+P+CH+E+Y | CH+K+O+D_ADDR+Y | S+O+SH+O | CH+O+S | O+CH+K+Y | AIIN | AIIN | OS | CARRIER_Q+S+G_LABEL | O+LOCAL_CHAR_F+Y+DY	O|E|IIN|Q|DY	LOCAL_PLACE=HIER|LOCAL_INDEX=VARIANTE|LOCAL_REFERENCE=VORBEZUG	CTH=CH+T|CHK=CH+K|CKH=CH+K	DANACH + FORTSETZEN + HIER + AUSFÜHRUNG + WÄHLEN | AUSFÜHRUNG + NEHMEN + EINSTELLEN + FORTSETZEN + GRAD I | WÄHLEN + EINHEIT | UMSETZEN + WERT | AKTIVER POSTEN | AKTIVER POSTEN + EINSTELLEN + GRAD I + AUSFÜHRUNG + HIER | AUSFÜHRUNG + STUFE | AUSFÜHRUNG + VARIANTE | AKTIVER POSTEN + EINSTELLEN + AUSFÜHRUNG + GRAD I + AUSFÜHRUNG + EINSETZEN + NEHMEN + GRAD I + AKTIVER POSTEN | NEHMEN + GEBEN + AUSFÜHRUNG + HIER + AKTIVER POSTEN | WÄHLEN + AUSFÜHRUNG + HALTEN + AUSFÜHRUNG | NEHMEN + AUSFÜHRUNG + WÄHLEN | AUSFÜHRUNG + NEHMEN + GEBEN + AKTIVER POSTEN | WERT | WERT | VORBEZUG | BEGINNMARKER + WÄHLEN + VARIANTE | AUSFÜHRUNG + HIER + AKTIVER POSTEN + SCHLUSS	Danach am bezeichneten Platz fortsetzen und wählen; in Grad I nehmen, einstellen und fortsetzen. Eine Einheit wählen und ihren Wert umsetzen. Den aktiven Posten am örtlichen Platz und auf der Stufe einstellen, dann die lokal benannte Variante verwenden. Den Posten in Grad I einstellen, einsetzen, nehmen, geben und halten; zwei Werte übernehmen, den örtlichen Vorbezug wieder aufnehmen, einen variantbenannten Eintrag beginnen und am bezeichneten Posten schließen.	Antezedent von VORBEZUG, Zugehörigkeit der zwei Werte und Geltungsbereich des späten BEGINNMARKERS; CTH, CHK und CKH liefern keine Richtung oder Rotation.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S039	f67r2.44|f67r2.45|f67r2.46	7	sheody aiin ycheody es odaiiin yekees oraly	SH+E+O+D_ADDR+Y | AIIN | Y+CH+E+O+D_ADDR+Y | E+S | O+DA+LOCAL_CHAR_I+IIN | Y+E+K+EE+S | OR+AL+Y	O|E|EE|IIN|DA	LOCAL_PLACE=HIER|LOCAL_INDEX=VARIANTE	CHEO=CH+E+O	HALTEN + GRAD I + AUSFÜHRUNG + HIER + AKTIVER POSTEN | WERT | AKTIVER POSTEN + NEHMEN + GRAD I + AUSFÜHRUNG + HIER + AKTIVER POSTEN | GRAD I + WÄHLEN | AUSFÜHRUNG + ZWEITE STUFE + VARIANTE + STUFE | AKTIVER POSTEN + GRAD I + GEBEN + GRAD II + WÄHLEN | EINHEIT + ZIELORT + AKTIVER POSTEN	Den aktiven Posten am bezeichneten Platz in Grad I halten; danach folgt sein Wert. Den Posten dort in Grad I nehmen und wählen; auf der zweiten Stufe die lokal benannte Variante verwenden, den Posten zwischen Grad I und Grad II geben und wählen. Die Folge endet mit Einheit, Zielplatz und aktivem Posten an der sichtbaren Grenze.	Lokale Variante, konkreter Wert und Geltungsbereich des Gradwechsels; CHEO fügt keinen eigenen Operator hinzu.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
P1009-S040	f67r2.48|f67r2.49|f67r2.50|f67r2.51	9	todaiin dain dy os choer aiin choeea sal dadaiin	T+O+AIIN | AIN | Y | OS | CH+O+E+R | AIIN | CH+O+EE+A_ADDR | S+AL | DA+D_ADDR+AIIN	O|E|EE|DA	LOCAL_REFERENCE=VORBEZUG|LOCAL_PLACE=HIER	NONE	EINSTELLEN + AUSFÜHRUNG + WERT | ANTEIL | AKTIVER POSTEN | VORBEZUG | NEHMEN + AUSFÜHRUNG + GRAD I + MARKIEREN | WERT | NEHMEN + AUSFÜHRUNG + GRAD II + HIER | WÄHLEN + ZIELORT | ZWEITE STUFE + HIER + WERT	Wert und Anteil des aktiven Postens einstellen, den örtlichen Vorbezug aufnehmen, in Grad I einen Wert nehmen und markieren, in Grad II den bezeichneten Wert nehmen und den Zielplatz wählen. Es folgen zweite Stufe, örtliche Stelle und Wert; an der sichtbaren Grenze enden.	Antezedent des VORBEZUGS und ob die drei Werte identisch, gestuft oder verschiedenen Einträgen zugeordnet sind.	COMPLETE_CARD_COVERAGE_LOCAL_BINDING_OPEN
