category_id	category_type	graphic_signs	short_value_de	syntax_role	apprentice_rule_de	forbidden_overreading_de	running_atom_mentions	teaching_order
CORE_01	PORTABLE_CORE	Y	AKTIVER POSTEN	REFERENT	den aktuell gemeinten Bild-, Stations- oder Eintragsposten weitertragen	kein Schlusszeichen	1390	I_DAILY
CORE_02	PORTABLE_CORE	OK	SETZEN	HANDLUNG	den rechts folgenden Posten, Anteil, Wert oder Ort in den Gang setzen	kein bestimmter Stoffprozess	690	I_DAILY
CORE_03	PORTABLE_CORE	OL	FORTSETZEN	FOLGE	den laufenden Gang oder die folgende Handlung fortsetzen	kein Stoffwort	573	I_DAILY
CORE_04	PORTABLE_CORE	OT	DANACH	FOLGE	die rechts folgende Handlung, Adresse oder Stufe als nächsten Schritt lesen	kein eigenes Aktionsverb	306	I_DAILY
CORE_05	PORTABLE_CORE	AL	ZIELORT	RELATION	die Handlung an den bezeichneten Zielort binden	kein bestimmtes Körperteil oder Gefäß	315	I_DAILY
CORE_06	PORTABLE_CORE	CH	NEHMEN	HANDLUNG	den bezeichneten Posten, Anteil, Wert oder Ort nehmen	kein bestimmtes Material	709	I_DAILY
CORE_07	PORTABLE_CORE	SH	HALTEN	HANDLUNG	den bezeichneten Posten in der folgenden Stufe halten	kein universelles Ruhen oder Absetzen	503	I_DAILY
CORE_08	PORTABLE_CORE	AR	AUSGANG	RELATION	die Handlung an den bezeichneten Ausgang binden	keine Richtung und kein Vorratsstoff	257	II_COMMON
CORE_09	PORTABLE_CORE	K	GEBEN	HANDLUNG	den Posten weitergeben oder zwei Handlungsteile durch Übergabe verbinden	kein bestimmtes Ziel	415	I_DAILY
CORE_10	PORTABLE_CORE	AIIN	WERT	ARGUMENT	den vorgegebenen Mengen-, Arbeits-, Positions- oder Tabellenwert einsetzen	nicht überall Maß oder Dosis	371	I_DAILY
CORE_11	PORTABLE_CORE	S	WÄHLEN	HANDLUNG	den rechts bezeichneten Posten, Anteil, Wert oder Ort wählen	kein bestimmtes Auswahlkriterium	240	II_COMMON
