shell_id	shell_shape	prefix_channel_id	prefix_stem	prefix_recipe	internal_channel_id	internal_stem	internal_recipe	suffix_channel_id	suffix_stem	suffix_recipe	surface_template	flattened_recipe_trace	literal_working_reading_de	exact_channel_signature
G467-S0001	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C13	olaiin	OL+AIIN	otal{NAME_CORE}olaiin	OT+AL+OL+AIIN	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · FORTSETZEN · WERT	G466-C01+G466-C13
G467-S0002	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C14	daiin	AIIN	otal{NAME_CORE}daiin	OT+AL+AIIN	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · WERT	G466-C01+G466-C14
G467-S0003	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C15	aiin	AIIN	otal{NAME_CORE}aiin	OT+AL+AIIN	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · WERT	G466-C01+G466-C15
G467-S0004	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C16	ainy	AIN+Y	otal{NAME_CORE}ainy	OT+AL+AIN+Y	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · ANTEIL · POSTEN	G466-C01+G466-C16
G467-S0005	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C17	alor	AL+OR	otal{NAME_CORE}alor	OT+AL+AL+OR	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · ZIELORT · EINHEIT	G466-C01+G466-C17
G467-S0006	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C18	cfhy	CH+LOCAL_CHAR_F+Y	otal{NAME_CORE}cfhy	OT+AL+CH+LOCAL_CHAR_F+Y	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · NEHMEN · HIER · POSTEN	G466-C01+G466-C18
G467-S0007	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C19	cphy	CH+P+Y	otal{NAME_CORE}cphy	OT+AL+CH+P+Y	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · NEHMEN · EINSETZEN · POSTEN	G466-C01+G466-C19
G467-S0008	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C20	cthy	CH+T+Y	otal{NAME_CORE}cthy	OT+AL+CH+T+Y	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · NEHMEN · EINSTELLEN · POSTEN	G466-C01+G466-C20
G467-S0009	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C21	oiin	O+IIN	otal{NAME_CORE}oiin	OT+AL+O+IIN	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · AUSFÜHRUNG · STUFE	G466-C01+G466-C21
G467-S0010	PREFIX_CORE_SUFFIX	G466-C01	otal	OT+AL	NONE	NONE	NONE	G466-C22	ain	AIN	otal{NAME_CORE}ain	OT+AL+AIN	DANACH · ZIELORT · [OWNER_NAME:NAME_CORE] · ANTEIL	G466-C01+G466-C22
