collision_id	collision_kind	signature	member_count	distinct_recipe_count	shell_ids	surface_templates	exact_channel_signatures	disposition
G467-K0001	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AIIN	2	1	G467-S0094|G467-S0095	al{NAME_CORE}daiin|al{NAME_CORE}aiin	G466-C05+G466-C14|G466-C05+G466-C15	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0002	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AIR+AIIN	2	1	G467-S1106|G467-S1107	al{NAME_CORE_1}air{NAME_CORE_2}daiin|al{NAME_CORE_1}air{NAME_CORE_2}aiin	G466-C05+G466-C36+G466-C14|G466-C05+G466-C36+G466-C15	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0003	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AIR+AL	2	1	G467-S1116|G467-S1123	al{NAME_CORE_1}air{NAME_CORE_2}dal|al{NAME_CORE_1}air{NAME_CORE_2}al	G466-C05+G466-C36+G466-C24|G466-C05+G466-C36+G466-C31	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0004	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AIR+O+IIN	2	1	G467-S1113|G467-S1118	al{NAME_CORE_1}air{NAME_CORE_2}oiin|al{NAME_CORE_1}air{NAME_CORE_2}oin	G466-C05+G466-C36+G466-C21|G466-C05+G466-C36+G466-C26	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0005	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL	2	1	G467-S0104|G467-S0111	al{NAME_CORE}dal|al{NAME_CORE}al	G466-C05+G466-C24|G466-C05+G466-C31	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0006	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL+AIIN	2	1	G467-S1175|G467-S1176	al{NAME_CORE_1}al{NAME_CORE_2}daiin|al{NAME_CORE_1}al{NAME_CORE_2}aiin	G466-C05+G466-C39+G466-C14|G466-C05+G466-C39+G466-C15	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0007	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL+AL	2	1	G467-S1185|G467-S1192	al{NAME_CORE_1}al{NAME_CORE_2}dal|al{NAME_CORE_1}al{NAME_CORE_2}al	G466-C05+G466-C39+G466-C24|G466-C05+G466-C39+G466-C31	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0008	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL+O+IIN	2	1	G467-S1182|G467-S1187	al{NAME_CORE_1}al{NAME_CORE_2}oiin|al{NAME_CORE_1}al{NAME_CORE_2}oin	G466-C05+G466-C39+G466-C21|G466-C05+G466-C39+G466-C26	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0009	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL+OR	2	1	G467-S0097|G467-S1196	al{NAME_CORE}alor|al{NAME_CORE_1}al{NAME_CORE_2}or	G466-C05+G466-C17|G466-C05+G466-C39+G466-C35	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
G467-K0010	SAME_FLATTENED_RECIPE__MULTIPLE_CHANNEL_FACTORIZATIONS	AL+AL+Y	2	1	G467-S0103|G467-S1190	al{NAME_CORE}aly|al{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C05+G466-C23|G466-C05+G466-C39+G466-C29	KEEP_EXACT_CHANNEL_TRACE__READING_VALUE_UNCHANGED
