probe_id	shell_id	shell_shape	core_marker	synthetic_surface	expected_channel_ids	observed_channel_ids	expected_known_character_count	observed_known_character_count	expected_learned_character_count	observed_learned_character_count	observed_route	observed_reading_de	precedence_collision	probe_pass
G467-P00001	G467-S0001	PREFIX_CORE_SUFFIX	x	otalxolaiin	G466-C01+G466-C13	G466-C01+G466-C13	10	10	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · FORTSETZEN · WERT	NO	YES
G467-P00002	G467-S0001	PREFIX_CORE_SUFFIX	zx	otalzxolaiin	G466-C01+G466-C13	G466-C01+G466-C13	10	10	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:zx] · FORTSETZEN · WERT	NO	YES
G467-P00003	G467-S0001	PREFIX_CORE_SUFFIX	xvz	otalxvzolaiin	G466-C01+G466-C13	G466-C01+G466-C13	10	10	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:xvz] · FORTSETZEN · WERT	NO	YES
G467-P00004	G467-S0002	PREFIX_CORE_SUFFIX	x	otalxdaiin	G466-C01+G466-C14	G466-C01+G466-C14	9	9	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · WERT	NO	YES
G467-P00005	G467-S0002	PREFIX_CORE_SUFFIX	zx	otalzxdaiin	G466-C01+G466-C14	G466-C01+G466-C14	9	9	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:zx] · WERT	NO	YES
G467-P00006	G467-S0002	PREFIX_CORE_SUFFIX	xvz	otalxvzdaiin	G466-C01+G466-C14	G466-C01+G466-C14	9	9	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:xvz] · WERT	NO	YES
G467-P00007	G467-S0003	PREFIX_CORE_SUFFIX	x	otalxaiin	G466-C01+G466-C15	G466-C01+G466-C15	8	8	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · WERT	NO	YES
G467-P00008	G467-S0003	PREFIX_CORE_SUFFIX	zx	otalzxaiin	G466-C01+G466-C15	G466-C01+G466-C15	8	8	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:zx] · WERT	NO	YES
G467-P00009	G467-S0003	PREFIX_CORE_SUFFIX	xvz	otalxvzaiin	G466-C01+G466-C15	G466-C01+G466-C15	8	8	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:xvz] · WERT	NO	YES
G467-P00010	G467-S0004	PREFIX_CORE_SUFFIX	x	otalxainy	G466-C01+G466-C16	G466-C01+G466-C16	8	8	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · ANTEIL · POSTEN	NO	YES
G467-P00011	G467-S0004	PREFIX_CORE_SUFFIX	zx	otalzxainy	G466-C01+G466-C16	G466-C01+G466-C16	8	8	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:zx] · ANTEIL · POSTEN	NO	YES
G467-P00012	G467-S0004	PREFIX_CORE_SUFFIX	xvz	otalxvzainy	G466-C01+G466-C16	G466-C01+G466-C16	8	8	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:xvz] · ANTEIL · POSTEN	NO	YES
G467-P00013	G467-S0005	PREFIX_CORE_SUFFIX	x	otalxalor	G466-C01+G466-C17	G466-C01+G466-C17	8	8	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · ZIELORT · EINHEIT	NO	YES
G467-P00014	G467-S0005	PREFIX_CORE_SUFFIX	zx	otalzxalor	G466-C01+G466-C17	G466-C01+G466-C17	8	8	2	2	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:zx] · ZIELORT · EINHEIT	NO	YES
G467-P00015	G467-S0005	PREFIX_CORE_SUFFIX	xvz	otalxvzalor	G466-C01+G466-C17	G466-C01+G466-C17	8	8	3	3	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:xvz] · ZIELORT · EINHEIT	NO	YES
G467-P00016	G467-S0006	PREFIX_CORE_SUFFIX	x	otalxcfhy	G466-C01+G466-C18	G466-C01+G466-C18	8	8	1	1	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	DANACH · ZIELORT · [PFLANZENNAME:x] · NEHMEN · HIER · POSTEN	NO	YES
