channel_id	channel_kind	surface_stem	component_recipe	literal_working_value_de	expected_pair_probe_count	expected_triple_probe_count	expected_total_probe_count	selected_total_probe_count	missed_probe_count	coverage_status
G466-C01	PREFIX	otal	OT+AL	DANACH · ZIELORT	69	621	690	690	0	COMPLETE
G466-C02	PREFIX	otol	OT+OL	DANACH · FORTSETZEN	69	621	690	690	0	COMPLETE
G466-C03	PREFIX	kor	K+OR	GEBEN · EINHEIT	69	621	690	690	0	COMPLETE
G466-C04	PREFIX	yky	Y+K+Y	POSTEN · GEBEN · POSTEN	69	621	690	690	0	COMPLETE
G466-C05	PREFIX	al	AL	ZIELORT	69	621	690	690	0	COMPLETE
G466-C06	PREFIX	ar	AR	AUSGANG	69	621	690	690	0	COMPLETE
G466-C07	PREFIX	of	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER	69	621	690	690	0	COMPLETE
G466-C08	PREFIX	ok	OK	SETZEN	69	621	690	690	0	COMPLETE
G466-C09	PREFIX	ol	OL	FORTSETZEN	69	621	690	690	0	COMPLETE
G466-C10	PREFIX	or	OR	EINHEIT	69	621	690	690	0	COMPLETE
G466-C11	PREFIX	ot	OT	DANACH	69	621	690	690	0	COMPLETE
G466-C12	PREFIX	sh	SH	HALTEN	69	621	690	690	0	COMPLETE
G466-C13	SUFFIX	olaiin	OL+AIIN	FORTSETZEN · WERT	36	324	360	360	0	COMPLETE
G466-C14	SUFFIX	daiin	AIIN	WERT	36	324	360	360	0	COMPLETE
G466-C15	SUFFIX	aiin	AIIN	WERT	36	324	360	360	0	COMPLETE
G466-C16	SUFFIX	ainy	AIN+Y	ANTEIL · POSTEN	36	324	360	360	0	COMPLETE
G466-C17	SUFFIX	alor	AL+OR	ZIELORT · EINHEIT	36	324	360	360	0	COMPLETE
G466-C18	SUFFIX	cfhy	CH+LOCAL_CHAR_F+Y	NEHMEN · HIER · POSTEN	36	324	360	360	0	COMPLETE
G466-C19	SUFFIX	cphy	CH+P+Y	NEHMEN · EINSETZEN · POSTEN	36	324	360	360	0	COMPLETE
G466-C20	SUFFIX	cthy	CH+T+Y	NEHMEN · EINSTELLEN · POSTEN	36	324	360	360	0	COMPLETE
G466-C21	SUFFIX	oiin	O+IIN	AUSFÜHRUNG · STUFE	36	324	360	360	0	COMPLETE
G466-C22	SUFFIX	ain	AIN	ANTEIL	36	324	360	360	0	COMPLETE
G466-C23	SUFFIX	aly	AL+Y	ZIELORT · POSTEN	36	324	360	360	0	COMPLETE
G466-C24	SUFFIX	dal	AL	ZIELORT	36	324	360	360	0	COMPLETE
G466-C25	SUFFIX	eey	EE+Y	GRAD II · POSTEN	36	324	360	360	0	COMPLETE
G466-C26	SUFFIX	oin	O+IIN	AUSFÜHRUNG · STUFE	36	324	360	360	0	COMPLETE
G466-C27	SUFFIX	oly	OL+Y	FORTSETZEN · POSTEN	36	324	360	360	0	COMPLETE
G466-C28	SUFFIX	ory	OR+Y	EINHEIT · POSTEN	36	324	360	360	0	COMPLETE
G466-C29	SUFFIX	shy	Y	POSTEN	36	324	360	360	0	COMPLETE
G466-C30	SUFFIX	ydy	Y+DY	POSTEN · SCHLUSS	36	324	360	360	0	COMPLETE
G466-C31	SUFFIX	al	AL	ZIELORT	36	324	360	360	0	COMPLETE
G466-C32	SUFFIX	am	AM_ADDR	HIER	36	324	360	360	0	COMPLETE
G466-C33	SUFFIX	ar	AR	AUSGANG	36	324	360	360	0	COMPLETE
G466-C34	SUFFIX	ol	OL	FORTSETZEN	36	324	360	360	0	COMPLETE
G466-C35	SUFFIX	or	OR	EINHEIT	36	324	360	360	0	COMPLETE
G466-C36	INTERNAL	air	AIR	BAHN	0	828	828	828	0	COMPLETE
G466-C37	INTERNAL	cth	CH+T	NEHMEN · EINSTELLEN	0	828	828	828	0	COMPLETE
G466-C38	INTERNAL	dar	D_ADDR+AR	HIER · AUSGANG	0	828	828	828	0	COMPLETE
G466-C39	INTERNAL	al	AL	ZIELORT	0	828	828	828	0	COMPLETE
G466-C40	INTERNAL	ar	AR	AUSGANG	0	828	828	828	0	COMPLETE
G466-C41	INTERNAL	ok	OK	SETZEN	0	828	828	828	0	COMPLETE
G466-C42	INTERNAL	ol	OL	FORTSETZEN	0	828	828	828	0	COMPLETE
G466-C43	INTERNAL	ot	OT	DANACH	0	828	828	828	0	COMPLETE
G466-C44	INTERNAL	sh	SH	HALTEN	0	828	828	828	0	COMPLETE
