edition	grammar	model	mix_events	complete_input_sets	missing_seconds	events_with_other_debts	written_second_not_used_by_mix	unused_second_without_other_operation	conditional_join_then_separate	row_status
ZL3b	B	U	5	5	0	4	1	1	0	recorded
ZL3b	B	D	5	1	4	4	0	0	0	recorded
ZL3b	J	U	5	5	0	3	2	1	0	recorded
ZL3b	J	D	5	2	3	3	0	0	1	recorded
ZL3b	M	U	5	5	0	3	2	1	0	recorded
ZL3b	M	D	5	2	3	3	0	0	1	recorded
IT2a	B	U	5	5	0	4	1	1	0	recorded
IT2a	B	D	5	1	4	4	0	0	0	recorded
IT2a	J	U	5	5	0	3	2	1	0	recorded
IT2a	J	D	5	2	3	3	0	0	1	recorded
IT2a	M	U	5	5	0	3	2	1	0	recorded
IT2a	M	D	5	2	3	3	0	0	1	recorded
RF1b	B	U	5	5	0	4	1	1	0	recorded
RF1b	B	D	5	1	4	4	0	0	0	recorded
RF1b	J	U	5	5	0	3	2	1	0	recorded
RF1b	J	D	5	2	3	3	0	0	1	recorded
RF1b	M	U	5	5	0	3	2	1	0	recorded
RF1b	M	D	5	2	3	3	0	0	1	recorded
