edition	grammar	paragraph	operation	form	mention	material	same_form_as_input	identity	independently_bound_composition	row_status
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.11:2	char	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.11:3	otam	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.11:4	ctho	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.12:4	cthy	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.13:2	cthy	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.13:4	chor	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.14:3	cthol	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.16:2	cthar	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.16:4	cthy	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.17:4	cthodam	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.18:1	ytchocthol	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.19:1	ocholy	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.20:1	dchor	False	DIFFERENT_FORM_NO_PRODUCT_BINDING	False	recorded
