edition	paragraph	lines	groups	mix_events	row_status
ZL3b	f6v|f6v.6-f6v.21	16	71	2	recorded
ZL3b	f9v|f9v.5-f9v.12	8	48	0	recorded
ZL3b	f17v|f17v.1-f17v.23	23	135	0	recorded
ZL3b	f19v|f19v.8-f19v.14	7	41	0	recorded
ZL3b	f22v|f22v.6-f22v.16	11	44	2	recorded
ZL3b	f23r|f23r.4-f23r.5	2	21	0	recorded
ZL3b	f24r|f24r.1-f24r.20	20	110	1	recorded
ZL3b	f45v|f45v.5-f45v.11	7	48	0	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	8	76	0	recorded
ZL3b	f93r|f93r.1-f93r.32	32	152	0	recorded
ZL3b	f99r|f99r.47-f99r.52	6	43	0	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	10	93	0	recorded
ZL3b	f106r|f106r.8-f106r.9	2	18	0	recorded
IT2a	f6v|f6v.6-f6v.21	16	70	2	recorded
IT2a	f9v|f9v.5-f9v.12	8	47	0	recorded
IT2a	f17v|f17v.1-f17v.23	23	134	0	recorded
IT2a	f19v|f19v.8-f19v.14	7	40	0	recorded
IT2a	f22v|f22v.6-f22v.16	11	44	2	recorded
IT2a	f23r|f23r.4-f23r.5	2	21	0	recorded
IT2a	f24r|f24r.1-f24r.20	20	107	1	recorded
IT2a	f45v|f45v.5-f45v.11	7	49	0	recorded
IT2a	f86v5|f86v5.18-f86v5.25	8	75	0	recorded
IT2a	f93r|f93r.1-f93r.32	32	152	0	recorded
IT2a	f99r|f99r.47-f99r.52	6	46	0	recorded
IT2a	f102v2|f102v2.30-f102v2.39	10	94	0	recorded
IT2a	f106r|f106r.8-f106r.9	2	17	0	recorded
RF1b	f6v|f6v.6-f6v.21	16	68	2	recorded
RF1b	f9v|f9v.5-f9v.12	8	47	0	recorded
RF1b	f17v|f17v.1-f17v.23	23	133	0	recorded
RF1b	f19v|f19v.8-f19v.14	7	39	0	recorded
RF1b	f22v|f22v.6-f22v.16	11	43	2	recorded
RF1b	f23r|f23r.4-f23r.5	2	20	0	recorded
RF1b	f24r|f24r.1-f24r.20	20	108	1	recorded
RF1b	f45v|f45v.5-f45v.11	7	46	0	recorded
RF1b	f86v5|f86v5.18-f86v5.25	8	76	0	recorded
RF1b	f93r|f93r.1-f93r.32	32	155	0	recorded
RF1b	f99r|f99r.47-f99r.52	6	44	0	recorded
RF1b	f102v2|f102v2.30-f102v2.39	10	92	0	recorded
RF1b	f106r|f106r.8-f106r.9	2	18	0	recorded
