edition	grammar	paragraph	operation	form	next_operation	next_form	next_patient	next_second	identical_written_inputs	same_form_input_classes	next_debts	next_grammar_assumption	output_binding	row_status
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.12:3	qokam	f6v.12:4						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.14:1	qokor	f6v.13:4				IMPLICIT_SUBJECT_CONTINUATION		NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.14:2	chol	f6v.14:3						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.15:1	chockhy	f6v.14:3				IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.16:1	ochy	f6v.16:2						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.17:3	ckhal	f6v.17:4						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.18:2	ches	f6v.18:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.19:2	kchos	f6v.19:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.21:3	octham	f6v.21:2						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	f6v.16:1	ochy	f6v.16:2						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	f6v.17:3	ckhal	f6v.17:4						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	f6v.18:2	ches	f6v.18:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	f6v.19:2	kchos	f6v.19:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	B	f6v|f6v.6-f6v.21	f6v.15:1	chockhy	f6v.21:3	octham	f6v.21:2						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.12:3	qokam	f6v.12:4						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.14:1	qokor	f6v.14:3					COMMON_ARGUMENT_OF_ADJACENT_ASSUMED_VERBS	NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.14:2	chol	f6v.14:3					COMMON_ARGUMENT_OF_ADJACENT_ASSUMED_VERBS	NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.15:1	chockhy	f6v.14:3				IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT		NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.16:1	ochy	f6v.16:2						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.17:3	ckhal	f6v.17:4						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.18:2	ches	f6v.18:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
ZL3b	J	f6v|f6v.6-f6v.21	f6v.10:2	ychear	f6v.19:2	kchos	f6v.19:1						NO_AUTOMATIC_MIX_OUTPUT_CARRY	recorded
