boundary_id	record_unit_id	from_statement	to_statement	from_phase_sequence	to_phase_sequence	dominant_pair	boundary_relation	reading_de
SB001	H1	H1-S001	H1-S002	MATERIAL>SOURCE>SPECIAL>SOURCE>APPLY_CONTACT>MEASURE_STAGE>CONTINUE	APPLY_CONTACT>CONTINUE>READY	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB002	H2	H2-S001	H2-S002	MATERIAL>READY>MATERIAL>MEASURE_STAGE>CONTINUE>ITEM>MEASURE_STAGE>ITEM	MATERIAL>CONTINUE>MATERIAL>CONTINUE>MEASURE_STAGE>SOURCE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB003	H2	H2-S002	H2-S003	MATERIAL>CONTINUE>MATERIAL>CONTINUE>MEASURE_STAGE>SOURCE	MATERIAL>ITEM>MEASURE_STAGE>ITEM>MEASURE_STAGE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB004	H3	H3-S001	H3-S002	MATERIAL>WASH_FILTER>SETTLE_COLLECT>WASH_FILTER>THERMAL	SOURCE	MIXED>SOURCE	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB005	H3	H3-S002	H3-S003	SOURCE	SPECIAL>ITEM>SPECIAL>ITEM>MEASURE_STAGE	SOURCE>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB006	H3	H3-S003	H3-S004	SPECIAL>ITEM>SPECIAL>ITEM>MEASURE_STAGE	CONTINUE>APPLY_CONTACT>READY>ITEM	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB007	H4	H4-S001	H4-S002	APPLY_CONTACT>MEASURE_STAGE>THERMAL	MEASURE_STAGE>TRANSFER>CONTINUE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB008	H4	H4-S002	H4-S003	MEASURE_STAGE>TRANSFER>CONTINUE	MEASURE_STAGE>SOURCE>THERMAL>CONTINUE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB009	H4	H4-S003	H4-S004	MEASURE_STAGE>SOURCE>THERMAL>CONTINUE	MEASURE_STAGE>APPLY_CONTACT>SOURCE>MATERIAL>ITEM>MEASURE_STAGE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB010	H5	H5-S001	H5-S002	MATERIAL>TARGET>MEASURE_STAGE>MATERIAL>CONTINUE>MATERIAL>APPLY_CONTACT>TARGET	SPECIAL>MATERIAL>APPLY_CONTACT	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB011	H5	H5-S002	H5-S003	SPECIAL>MATERIAL>APPLY_CONTACT	MATERIAL>SPECIAL>APPLY_CONTACT	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB012	H5	H5-S003	H5-S004	MATERIAL>SPECIAL>APPLY_CONTACT	APPLY_CONTACT>TARGET	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB013	H5	H5-S004	H5-S005	APPLY_CONTACT>TARGET	MATERIAL>APPLY_CONTACT>MATERIAL>CONTINUE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB014	H5	H5-S005	H5-S006	MATERIAL>APPLY_CONTACT>MATERIAL>CONTINUE	CONTINUE>MEASURE_STAGE	MIXED>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
SB015	B1	B1-S001	B1-S002	APPLY_CONTACT	APPLY_CONTACT>SPECIAL>APPLY_CONTACT>SOURCE>CONTINUE>MEASURE_STAGE>TARGET>CONTINUE>MATERIAL>CONTINUE>PASS_FILTER>MEASURE_STAGE>APPLY_CONTACT>MEASURE_STAGE>PASS_FILTER>TRANSFER	APPLY_CONTACT>MIXED	MIXED_STATEMENT_BOUNDARY	neuer oder gemischter Arbeitsschritt
