statement_id	record_unit_id	page	event_count	phase_sequence	dominant_phase	phase_count	event_phase_trace	formula_ids	fluent_imperative_de
H1-S001	H1	f10r	10	MATERIAL>SOURCE>SPECIAL>SOURCE>APPLY_CONTACT>MEASURE_STAGE>CONTINUE	MIXED	7	E001:MATERIAL|E002:MATERIAL|E003:SOURCE|E004:SPECIAL|E005:SPECIAL|E006:SPECIAL|E007:SOURCE|E008:APPLY_CONTACT|E009:MEASURE_STAGE|E010:CONTINUE	F06	Nimm die Wurzel; dann stelle den Ansatz bereit; dann nimm davon; dann nimm den bezeichneten Teil; dann stelle das Aufnahmegefäß bereit; dann gieße das laufende Medium zu; dann nimm danach den folgenden Teil; dann setze den Posten ein; dann arbeite nach dem vorgeschriebenen Maß; dann nimm den kleinen Rest ↪
H1-S002	H1	f10r	4	APPLY_CONTACT>CONTINUE>READY	MIXED	3	E011:APPLY_CONTACT|E012:CONTINUE|E013:CONTINUE|E014:READY	NONE	Setze den laufenden Posten ein und bearbeite ihn weiter; dann wechsle zum Folgegang; dann arbeite weiter; dann halte ihn bereit …
H2-S001	H2	f10r	9	MATERIAL>READY>MATERIAL>MEASURE_STAGE>CONTINUE>ITEM>MEASURE_STAGE>ITEM	MIXED	8	E015:MATERIAL|E016:READY|E017:MATERIAL|E018:MEASURE_STAGE|E019:CONTINUE|E020:ITEM|E021:ITEM|E022:MEASURE_STAGE|E023:ITEM	F01	Verwende den laufenden Auszugsansatz; dann halte ihn bereit; dann verwende den Ansatz; dann stelle die vorgeschriebene Vorbereitung ein; dann arbeite danach mit diesem Posten weiter; dann halte diesen Posten aktiv; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv ↪
H2-S002	H2	f10r	8	MATERIAL>CONTINUE>MATERIAL>CONTINUE>MEASURE_STAGE>SOURCE	MIXED	6	E024:MATERIAL|E025:MATERIAL|E026:CONTINUE|E027:CONTINUE|E028:MATERIAL|E029:CONTINUE|E030:MEASURE_STAGE|E031:SOURCE	F10	Wechsle zum folgenden Ansatz; dann verwende den Ansatz; dann arbeite danach im selben Gang weiter; dann arbeite weiter; dann verwende denselben Ansatz weiter; dann arbeite weiter; dann arbeite nach dem vorgeschriebenen Maß; dann nimm davon ↪
H2-S003	H2	f10r	7	MATERIAL>ITEM>MEASURE_STAGE>ITEM>MEASURE_STAGE	MIXED	5	E032:MATERIAL|E033:MATERIAL|E034:MATERIAL|E035:ITEM|E036:MEASURE_STAGE|E037:ITEM|E038:MEASURE_STAGE	F03	Stelle das Ansatzgefäß bereit; dann verwende den Ansatz; dann verwende den Ansatz; dann halte diesen Posten aktiv; dann stelle die Arbeitsstufe ein; dann halte diesen Posten aktiv; dann gib die vorgeschriebene Menge zu …
H3-S001	H3	f11r	7	MATERIAL>WASH_FILTER>SETTLE_COLLECT>WASH_FILTER>THERMAL	MIXED	5	E039:MATERIAL|E040:MATERIAL|E041:WASH_FILTER|E042:SETTLE_COLLECT|E043:WASH_FILTER|E044:WASH_FILTER|E045:THERMAL	NONE	Setze das Kochgut an; dann bereite den Sudansatz; dann wringe den Posten aus; dann lass ihn die vorgeschriebene Zeit stehen; dann seihe ihn danach erneut; dann nimm den klaren Ablauf; dann stelle ihn kalt;
H3-S002	H3	f11r	1	SOURCE	SOURCE	1	E046:SOURCE	NONE	Nimm den Teil für die Zugabe ↪
H3-S003	H3	f11r	5	SPECIAL>ITEM>SPECIAL>ITEM>MEASURE_STAGE	MIXED	5	E047:SPECIAL|E048:ITEM|E049:SPECIAL|E050:ITEM|E051:MEASURE_STAGE	NONE	Nimm ihn aus dem vorigen Arbeitsgang; dann halte diesen Posten aktiv; dann bearbeite den laufenden Posten; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß ↪
H3-S004	H3	f11r	4	CONTINUE>APPLY_CONTACT>READY>ITEM	MIXED	4	E052:CONTINUE|E053:APPLY_CONTACT|E054:READY|E055:ITEM	NONE	Wechsle zum nächsten Posten; dann setze die Fortsetzung ein; dann halte ihn bereit; dann halte diesen Posten aktiv …
H4-S001	H4	f55v	5	APPLY_CONTACT>MEASURE_STAGE>THERMAL	MIXED	3	E056:APPLY_CONTACT|E057:MEASURE_STAGE|E058:MEASURE_STAGE|E059:MEASURE_STAGE|E060:THERMAL	NONE	Messe den Posten ab; dann arbeite nach dem vorgeschriebenen Maß; dann nimm die erste Portion; dann nimm die zweite Portion; dann nimm ihn aus der Wärme und lass ihn abkühlen;
H4-S002	H4	f55v	3	MEASURE_STAGE>TRANSFER>CONTINUE	MIXED	3	E061:MEASURE_STAGE|E062:TRANSFER|E063:CONTINUE	NONE	Arbeite nach dem vorgeschriebenen Maß; dann führe den Posten über; dann verwahre ihn;
