instruction_id	source_instruction_de	master_card_id	master_form	registered_surface_count	registered_surfaces	construction_class	component_parse	writing_rule
I001	abführen; Schluss	MC155	lchedy	1	lchedy	PRODUCTIVE_COMPOSITION	L_OUT+CHED_TRANSFER+TERMINAL	compose or retrieve master card, then apply hand/position renderer
I002	Abführgut	MC008	lchy	1	lchy	PRODUCTIVE_COMPOSITION	LCH_WITHDRAW+Y_ITEM	compose or retrieve master card, then apply hand/position renderer
I003	Abführpassage	MC168	lcheckhy	1	lcheckhy	PRODUCTIVE_COMPOSITION	L_OUT+CKH_THROUGH+Y_ITEM	compose or retrieve master card, then apply hand/position renderer
I004	Abführung	MC127	lched	1	lched	PRODUCTIVE_COMPOSITION	L_OUT+CHED_TRANSFER	compose or retrieve master card, then apply hand/position renderer
I005	Abführung; Schluss	MC167	lochedy	1	lochedy	PRODUCTIVE_COMPOSITION	L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	compose or retrieve master card, then apply hand/position renderer
I006	abziehen; Schluss	MC004	ldy	1	ldy	PRODUCTIVE_COMPOSITION	L_OUT+CLOSE_EXACT	compose or retrieve master card, then apply hand/position renderer
I007	Abzug	MC030	lo	1	lo	PRODUCTIVE_COMPOSITION	L_OUT+O_RESIDUAL_BRANCH	compose or retrieve master card, then apply hand/position renderer
I008	aktuelle Zutat	MC131	choy	1	choy	PRODUCTIVE_COMPOSITION	CHO + Y	compose or retrieve master card, then apply hand/position renderer
I009	aktueller Auszugsansatz	MC075	ycheor	1	ycheor	PRODUCTIVE_COMPOSITION	Y + CHEO + OR	compose or retrieve master card, then apply hand/position renderer
I010	am Ziel absetzen	MC113	shedal	1	shedal	PRODUCTIVE_COMPOSITION	SHED_SETTLE+AL_TO	compose or retrieve master card, then apply hand/position renderer
I011	an der Zielstelle bearbeiten	MC077	kchal	1	kchal	PRODUCTIVE_COMPOSITION	K + AL	compose or retrieve master card, then apply hand/position renderer
I012	Ansatz	MC080	chor	4	chor|or|shor|sor	FRAME_PLUS_LOCAL_CORE	OR_BATCH	compose or retrieve master card, then apply hand/position renderer
I013	Anschluss	MC016	rol	1	rol	PRODUCTIVE_COMPOSITION	R_FRAME+OL_CONTINUE	compose or retrieve master card, then apply hand/position renderer
I014	Anteil zugeben	MC017	okain	2	okain|qokain	PRODUCTIVE_COMPOSITION	OK+AIN_PORTION	compose or retrieve master card, then apply hand/position renderer
I015	Anteilstransfer	MC145	chedain	1	chedain	PRODUCTIVE_COMPOSITION	CHED_TRANSFER+AIN_PORTION	compose or retrieve master card, then apply hand/position renderer
I016	Arbeitsstufe	MC033	oiiin	2	oiiin|soiiin	PRODUCTIVE_COMPOSITION	IIN_TARGET_STAGE	compose or retrieve master card, then apply hand/position renderer
I017	Auffanggefäß	MC118	ly	1	ly	WHOLE_SIGN	MEMORIZED_VESSEL_CARD	compose or retrieve master card, then apply hand/position renderer
I018	AUFNAHMEFELD_ODER_UMSCHLUSS	MC159	os	1	os	FRAME_PLUS_LOCAL_CORE	OS	compose or retrieve master card, then apply hand/position renderer
I019	auftragen; Schluss	MC099	cheeckhody	1	cheeckhody	WHOLE_SIGN	CHEECKHO + DY	compose or retrieve master card, then apply hand/position renderer
I020	Auslass	MC065	ls	1	ls	PRODUCTIVE_COMPOSITION	L_OUT+S_PORT	compose or retrieve master card, then apply hand/position renderer
I021	auswringen	MC129	cfhy	1	cfhy	WHOLE_SIGN	CFHY	compose or retrieve master card, then apply hand/position renderer
I022	Auszug aus der Quelle	MC085	cheoar	1	cheoar	PRODUCTIVE_COMPOSITION	CHEO + AR	compose or retrieve master card, then apply hand/position renderer
I023	Auszug einsetzen	MC006	chokcheo	1	chokcheo	PRODUCTIVE_COMPOSITION	OK + CHEO	compose or retrieve master card, then apply hand/position renderer
I024	bearbeiteter Quellauszug	MC136	kchoar	1	kchoar	FRAME_PLUS_LOCAL_CORE	K + CHO + AR	compose or retrieve master card, then apply hand/position renderer
I025	Beckenlauf	MC023	kair	1	kair	PRODUCTIVE_COMPOSITION	K_BASIN+AIR_WATER	compose or retrieve master card, then apply hand/position renderer
I026	befestigen; Schluss	MC164	qokylddy	1	qokylddy	WHOLE_SIGN	OK+Y_ITEM+LDDY_FASTEN_CLOSE	compose or retrieve master card, then apply hand/position renderer
I027	bemessen	MC120	okaiin	2	okaiin|qokaiin	FRAME_PLUS_LOCAL_CORE	OK_SET+AIIN_TARGET_MEASURE	compose or retrieve master card, then apply hand/position renderer
I028	bereit	MC161	checthy	3	checthy|cthy|shcthy	FRAME_PLUS_LOCAL_CORE	CTH_READY+Y_CURRENT	compose or retrieve master card, then apply hand/position renderer
I029	Bereitungsanteil	MC072	orain	1	orain	PRODUCTIVE_COMPOSITION	OR + AIN	compose or retrieve master card, then apply hand/position renderer
I030	danach dorthin	MC093	otal	2	otal|qotal	PRODUCTIVE_COMPOSITION	OT_NEXT+AL_TO	compose or retrieve master card, then apply hand/position renderer
I031	danach im selben Gang weiter	MC053	otol	1	otol	PRODUCTIVE_COMPOSITION	OT_FOLLOW+OL_CONTINUE_WITHIN_ACTIVE_SEQUENCE	compose or retrieve master card, then apply hand/position renderer
I032	danach mit diesem Posten weiter	MC115	qoctholy	1	qoctholy	PRODUCTIVE_COMPOSITION	OT_FOLLOW+OL_CONTINUE+Y_CURRENT_ITEM	compose or retrieve master card, then apply hand/position renderer
I033	das nächste	MC171	otchey	1	otchey	FRAME_PLUS_LOCAL_CORE	OT_FOLLOW+Y_CURRENT_ITEM	compose or retrieve master card, then apply hand/position renderer
I034	davon	MC055	char	3	char|dar|sar	FRAME_PLUS_LOCAL_CORE	AR_FROM	compose or retrieve master card, then apply hand/position renderer
I035	den Ansatz bereitstellen	MC158	cthoor	1	cthoor	PRODUCTIVE_COMPOSITION	CTH + OR	compose or retrieve master card, then apply hand/position renderer
I036	den laufenden Posten bearbeiten	MC117	kchy	1	kchy	PRODUCTIVE_COMPOSITION	K + Y	compose or retrieve master card, then apply hand/position renderer
I037	den laufenden Posten einsetzen und weiterbearbeiten	MC103	chokchy	3	chokchy|okchy|qokchy	PRODUCTIVE_COMPOSITION	OK + Y	compose or retrieve master card, then apply hand/position renderer
I038	den laufenden Posten kurz bearbeiten	MC122	kchey	1	kchey	PRODUCTIVE_COMPOSITION	K + E + Y	compose or retrieve master card, then apply hand/position renderer
I039	denselben Posten erneut einsetzen	MC015	qokokchy	1	qokokchy	PRODUCTIVE_COMPOSITION	OK + OK + Y	compose or retrieve master card, then apply hand/position renderer
